

公告,#genre#
民视台湾台,https://smart.pendy.dpdns.org/Smart.php?id=ftvtaiwan_twn
民视第一台,https://smart.pendy.dpdns.org/Smart.php?id=lunghuajingdian_twn
民视综艺台,http://litv.zapi.us.kg/?id=4gtv-4gtv004
民视影剧台,http://litv.zapi.us.kg/?id=litv-ftv09
中天亚洲台,http://livetv.skycf.eu.org/live.m3u8?c=3
中视菁采,http://litv.zapi.us.kg/?id=4gtv-4gtv064
美亚C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
MOMO TV,rtmp://f13h.mine.nu/sat/tv761
纬来日本,rtmp://f13h.mine.nu/sat/tv771
纬来电影,http://live4play.uk/livehttpplay?channel_id=20199
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来精采,http://61.221.215.25:8800/hls/48/index.m3u8
大爱1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大立电视台,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
TVBS新闻台,http://61.221.215.25:8800/hls/9/index.m3u8
TVBS欢乐台,http://litv.zapi.us.kg/?id=4gtv-4gtv068
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
八大戏剧台,http://61.221.215.25:8800/hls/39/index.m3u8
AMC电影台,http://122.117.71.103:8559/http/61.222.53.250:8092/upload/115/AMC_TS-1111_1.m3u8
CAT电影,http://litv.zapi.us.kg/?id=4gtv-4gtv076
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龙华洋片,https://cdn8.163189.xyz/live/lhyp/stream.m3u8
龙华经典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龙华卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龙华偶像,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龙华日韩,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龙华戏剧,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
靖天电影,http://live4play.uk/livehttpplay?channel_id=12037
港台电视31,https://cdn5.163189.xyz/live/rthk31/stream.m3u8
港台电视32,https://cdn5.163189.xyz/live/rthk32/stream.m3u8
HOY78,http://cdn.163189.xyz/live/hoy/stream.m3u8
ASTRO AOD,http://cdn9.163189.xyz/smt1.1.php?id=Aodhd
DAZN体育1,rtmp://f13h.mine.nu/sat/tv731
DAZN体育2,rtmp://f13h.mine.nu/sat/tv741
ELEVEN体育1,https://smart.pendy.dpdns.org/Smart.php?id=eltasport1_twn
ELEVEN体育2,https://smart.pendy.dpdns.org/Smart.php?id=eltasport2_twn
ELEVEN体育3,https://smart.pendy.dpdns.org/Smart.php?id=eltasport3_twn
半岛新闻,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
韩国电影1,https://stream.ads.ottera.tv/playlist.m3u8?network_id=595
韩国电影2,https://stream.ads.ottera.tv/playlist.m3u8?network_id=743

赛事咪咕,#genre#
抖姐舞陪你看,http://lxajh.top/tv/douyu.php?id=11531165
赛事睛彩竞技,http://106.15.90.42:35455/itv/3000000020000011528.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000020000011528.m3u8?cdn=FifastbLive
赛事睛彩篮球,http://106.15.90.42:35455/itv/3000000020000011529.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000020000011529.m3u8?cdn=FifastbLive
赛事睛彩青少,http://106.15.90.42:35455/itv/3000000020000011525.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000020000011525.m3u8?cdn=FifastbLive
赛事睛彩广场,http://106.15.90.42:35455/itv/3000000020000011523.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000020000011523.m3u8?cdn=FifastbLive
赛事广竞抖播,http://101.126.22.199:35455/douyin/802006140488
赛事咪咕4k播,http://106.15.90.42:35455/itv/3000000010000015686.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000015686.m3u8?cdn=FifastbLive
赛事咪咕播01,http://106.15.90.42:35455/itv/3000000001000005308.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000001000005308.m3u8?cdn=FifastbLive
赛事咪咕播02,http://106.15.90.42:35455/itv/3000000001000005969.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000001000005969.m3u8?cdn=FifastbLive
赛事咪咕播03,http://106.15.90.42:35455/itv/3000000001000007218.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000001000007218.m3u8?cdn=FifastbLive
赛事咪咕播04,http://106.15.90.42:35455/itv/3000000001000008001.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000001000008001.m3u8?cdn=FifastbLive
赛事咪咕播05,http://106.15.90.42:35455/itv/3000000001000008176.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000001000008176.m3u8?cdn=FifastbLive
赛事咪咕播06,http://106.15.90.42:35455/itv/3000000001000008379.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000001000008379.m3u8?cdn=FifastbLive
赛事咪咕播07,http://106.15.90.42:35455/itv/3000000001000010129.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000001000010129.m3u8?cdn=FifastbLive
赛事咪咕播08,http://106.15.90.42:35455/itv/3000000001000010948.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000001000010948.m3u8?cdn=FifastbLive
赛事咪咕播09,http://106.15.90.42:35455/itv/3000000001000026778.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000001000026778.m3u8?cdn=FifastbLive
赛事咪咕播10,http://106.15.90.42:35455/itv/3000000001000028638.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000001000028638.m3u8?cdn=FifastbLive
赛事咪咕播11,http://106.15.90.42:35455/itv/3000000001000031494.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000001000031494.m3u8?cdn=FifastbLive
赛事咪咕播12,http://106.15.90.42:35455/itv/3000000010000000097.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000000097.m3u8?cdn=FifastbLive
赛事咪咕播13,http://106.15.90.42:35455/itv/3000000010000002019.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000002019.m3u8?cdn=FifastbLive
赛事咪咕播14,http://106.15.90.42:35455/itv/3000000010000002032.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000002032.m3u8?cdn=FifastbLive
赛事咪咕播15,http://106.15.90.42:35455/itv/3000000010000002809.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000002809.m3u8?cdn=FifastbLive
赛事咪咕播16,http://106.15.90.42:35455/itv/3000000010000003915.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000003915.m3u8?cdn=FifastbLive
赛事咪咕播17,http://106.15.90.42:35455/itv/3000000010000004193.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000004193.m3u8?cdn=FifastbLive
赛事咪咕播18,http://106.15.90.42:35455/itv/3000000010000004464.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000004464.m3u8?cdn=FifastbLive
赛事咪咕播19,http://106.15.90.42:35455/itv/3000000010000005837.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000005837.m3u8?cdn=FifastbLive
赛事咪咕播20,http://106.15.90.42:35455/itv/3000000010000006077.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000006077.m3u8?cdn=FifastbLive
赛事咪咕播21,http://106.15.90.42:35455/itv/3000000010000006658.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000006658.m3u8?cdn=FifastbLive
赛事咪咕播22,http://106.15.90.42:35455/itv/3000000010000006944.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000006944.m3u8?cdn=FifastbLive
赛事咪咕播23,http://106.15.90.42:35455/itv/3000000010000007692.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000007692.m3u8?cdn=FifastbLive
赛事咪咕播24,http://106.15.90.42:35455/itv/3000000010000009788.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000009788.m3u8?cdn=FifastbLive
赛事咪咕播25,http://106.15.90.42:35455/itv/3000000010000010833.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000010833.m3u8?cdn=FifastbLive
赛事咪咕播26,http://106.15.90.42:35455/itv/3000000010000011112.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000011112.m3u8?cdn=FifastbLive
赛事咪咕播27,http://106.15.90.42:35455/itv/3000000010000011297.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000011297.m3u8?cdn=FifastbLive
赛事咪咕播28,http://106.15.90.42:35455/itv/3000000010000011518.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000011518.m3u8?cdn=FifastbLive
赛事咪咕播29,http://106.15.90.42:35455/itv/3000000010000011763.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000011763.m3u8?cdn=FifastbLive
赛事咪咕播30,http://106.15.90.42:35455/itv/3000000010000011873.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000011873.m3u8?cdn=FifastbLive
赛事咪咕播31,http://106.15.90.42:35455/itv/3000000010000012398.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000012398.m3u8?cdn=FifastbLive
赛事咪咕播32,http://106.15.90.42:35455/itv/3000000010000012450.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000012450.m3u8?cdn=FifastbLive
赛事咪咕播33,http://106.15.90.42:35455/itv/3000000010000012558.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000012558.m3u8?cdn=FifastbLive
赛事咪咕播34,http://106.15.90.42:35455/itv/3000000010000012616.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000012616.m3u8?cdn=FifastbLive
赛事咪咕播35,http://106.15.90.42:35455/itv/3000000010000015470.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000015470.m3u8?cdn=FifastbLive
赛事咪咕播36,http://106.15.90.42:35455/itv/3000000010000015560.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000015560.m3u8?cdn=FifastbLive
赛事咪咕播37,http://106.15.90.42:35455/itv/3000000010000017389.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000017389.m3u8?cdn=FifastbLive
赛事咪咕播38,http://106.15.90.42:35455/itv/3000000010000017678.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000017678.m3u8?cdn=FifastbLive
赛事咪咕播39,http://106.15.90.42:35455/itv/3000000010000017997.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000017997.m3u8?cdn=FifastbLive
赛事咪咕播40,http://106.15.90.42:35455/itv/3000000010000019380.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000019380.m3u8?cdn=FifastbLive
赛事咪咕播41,http://106.15.90.42:35455/itv/3000000010000019839.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000019839.m3u8?cdn=FifastbLive
赛事咪咕播42,http://106.15.90.42:35455/itv/3000000010000020168.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000020168.m3u8?cdn=FifastbLive
赛事咪咕播43,http://106.15.90.42:35455/itv/3000000010000021904.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000021904.m3u8?cdn=FifastbLive
赛事咪咕播44,http://106.15.90.42:35455/itv/3000000010000023434.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000023434.m3u8?cdn=FifastbLive
赛事咪咕播45,http://106.15.90.42:35455/itv/3000000010000024205.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000024205.m3u8?cdn=FifastbLive
赛事咪咕播46,http://106.15.90.42:35455/itv/3000000010000024691.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000024691.m3u8?cdn=FifastbLive
赛事咪咕播47,http://106.15.90.42:35455/itv/3000000010000025380.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000025380.m3u8?cdn=FifastbLive
赛事咪咕播48,http://106.15.90.42:35455/itv/3000000010000025943.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000025943.m3u8?cdn=FifastbLive
赛事咪咕播49,http://106.15.90.42:35455/itv/3000000010000027318.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000027318.m3u8?cdn=FifastbLive
赛事咪咕播50,http://106.15.90.42:35455/itv/3000000010000027638.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000027638.m3u8?cdn=FifastbLive
赛事咪咕播51,http://106.15.90.42:35455/itv/3000000010000027691.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000027691.m3u8?cdn=FifastbLive
赛事咪咕播52,http://106.15.90.42:35455/itv/3000000010000031669.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000031669.m3u8?cdn=FifastbLive
赛事咪咕播53,http://106.15.90.42:35455/itv/3000000010000032106.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000032106.m3u8?cdn=FifastbLive
赛备睛彩竞技,http://106.15.90.42:35455/itv/3000000020000011530.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000020000011530.m3u8?cdn=FifastbLive
赛备睛彩篮球,http://106.15.90.42:35455/itv/3000000020000011531.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000020000011531.m3u8?cdn=FifastbLive
赛备睛彩青少,http://106.15.90.42:35455/itv/3000000020000031315.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000020000031315.m3u8?cdn=FifastbLive
赛备睛彩广场,http://106.15.90.42:35455/itv/3000000020000011524.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000020000011524.m3u8?cdn=FifastbLive
赛备咪咕4k播,http://106.15.90.42:35455/itv/3000000010000005180.m3u8?cdn=FifastbLive#http://110.42.41.130:35455/itv/3000000010000005180.m3u8?cdn=FifastbLive

地方台,#genre#
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=9e5008d4b91944fa76a957a93ae54870&txTime=1903e5f1cfd#http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8
广州影视,https://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=ec79a0d817981989c161f548c48c2954&txTime=1903e79e680
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=4c09e8c2d093bcb692e036ae54ff87c7&txTime=1903e37cd8a#http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3
广州竞赛,https://tencentplay.gztv.com/live/jingsai.m3u8?txSecret=9be68e7c35579d02d11f6968531343ea&txTime=1903ea2dd6a#http://8.138.7.223/tv/gzjs.m3u8#https://tencentplay.gztv.com/live/jingsai.m3u8?txSecret=a4d04c27d0d1d8b7efef2ed7ff1c3eae&txTime=191b60cc9ca
广州法治,https://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=040cda8ae37088f2b96bea7b68bd0eb5&txTime=1903e5b8abe#http://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=3e84cd8eba844b5dc2150612295c7a52&txTime=18d578f4493
广州南国都市,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
东莞综合,https://stream.sun0769.com/dgrtv1/mp4tv1_1500/index.m3u8
东莞生活资讯,http://139.155.142.13:9166/json/m3u8.php?jx=SkZOQTJ1dVBMS3VLL3dDS1ZqUGhpWS92dlhRSVB3RnM0TlN1ZFZXMFdPYzE3S3NpY0tMQ3RlSUI4UmkxWTFZbEVvSlhBNGd5OUVCTTBuOXBCOHl6eDBvVnJjQVpZVVpRbnJjT1Rzc3Jrekd3UlY2bEhpdkFoQT09.m3u8&vkey=9cb9bdc108f7c00b2a2e7b629245c0b6#https://stream.sun0769.com/dgrtv1/mp4tv2_800/index.m3u8
河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8#http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8#http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
韶关综合,https://www.sgmsw.cn/videos/tv/201805/1308/SB05RIYZOU8JR418AUQOF62CAJQ08D0E/hls/live.m3u8
番禺新闻,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv
浙江钱江都市,http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8#https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
