移动(网络有限制),#genre#
CCTV15,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8
CCTV17,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226198/1.m3u8
北京卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226222/index.m3u8$可回放
北京卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226222/1.m3u8$可回放
北京卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8$可回放
东方卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226217/index.m3u8$可回放
东方卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225797/index.m3u8$可回放
江苏卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225800/index.m3u8$可回放
江苏卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8$可回放
江苏卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226200/1.m3u8$可回放
深圳卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8$可回放
深圳卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225801/index.m3u8$可回放
湖南卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226211/index.m3u8$可回放
湖南卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225799/index.m3u8
浙江卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225798/index.m3u8$可回放
浙江卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226199/index.m3u8
浙江卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225798/1.m3u8
广东卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225803/index.m3u8$可回放
广东卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226216/index.m3u8
广东卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226216/1.m3u8
广西卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225770/index.m3u8
四川卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225768/index.m3u8
重庆卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226202/index.m3u8
安徽卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226203/index.m3u8
安徽卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226196/index.m3u8
天津卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226204/index.m3u8
天津卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225765/index.m3u8
河北卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225750/index.m3u8
山东卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226209/index.m3u8
河南卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225767/index.m3u8
山西卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225763/1.m3u8
陕西卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225821/index.m3u8
陕西卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226458/1.m3u8
东南卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225766/index.m3u8
海南卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8
厦门卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226219/index.m3u8
湖北卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226194/index.m3u8
湖北卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226206/index.m3u8
江西卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225764/index.m3u8
辽宁卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8
辽宁卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226210/index.m3u8
黑龙江卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225802/1.m3u8
黑龙江卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226215/index.m3u8
黑龙江卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8
吉林卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225792/index.m3u8
云南卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225751/index.m3u8
贵州卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225793/index.m3u8
宁夏卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225748/index.m3u8
蒙古卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225786/index.m3u8
甘肃卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225754/index.m3u8
西藏卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8
新疆卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225747/index.m3u8
新疆卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225747/1.m3u8
安多卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226228/index.m3u8
康巴卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226234/index.m3u8
兵团卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
延边卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226220/index.m3u8
大湾区卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8

央卫视,#genre#
CCTV1,http://1.83.124.91:8888/udp/239.112.205.59:5140
CCTV1,http://1.83.124.91:8888/udp/239.111.205.9:5140
CCTV2,http://1.83.124.91:8888/udp/239.112.205.2:5140
CCTV2,http://1.83.124.91:8888/udp/239.112.205.78:5140
CCTV3,http://1.83.124.91:8888/udp/239.112.205.221:5140
CCTV3,http://1.83.124.91:8888/udp/239.112.205.225:5140
CCTV4,http://1.83.124.91:8888/udp/239.112.205.202:5140
CCTV4,http://1.83.124.91:8888/udp/239.112.205.4:5140
CCTV4欧洲高清,http://1.83.124.91:8888/udp/239.111.205.83:5140
CCTV4美洲高清,http://1.83.124.91:8888/udp/239.111.205.84:5140
CCTV5＋高清,http://1.83.124.91:8888/udp/239.111.205.13:5140
CCTV5,http://1.83.124.91:8888/udp/239.112.205.222:5140
CCTV5,http://1.83.124.91:8888/udp/239.112.205.226:5140
CCTV6,http://1.83.124.91:8888/udp/239.112.205.223:5140
CCTV6,http://1.83.124.91:8888/udp/239.112.205.227:5140
CCTV7,http://1.83.124.91:8888/udp/239.112.205.83:5140
CCTV7,http://1.83.124.91:8888/udp/239.112.205.7:5140
CCTV8,http://1.83.124.91:8888/udp/239.112.205.224:5140
CCTV8,http://1.83.124.91:8888/udp/239.112.205.228:5140
CCTV9,http://1.83.124.91:8888/udp/239.112.205.85:5140
CCTV9,http://1.83.124.91:8888/udp/239.112.205.9:5140
CCTV10,http://1.83.124.91:8888/udp/239.112.205.86:5140
CCTV10,http://1.83.124.91:8888/udp/239.112.205.10:5140
CCTV11,http://1.83.124.91:8888/udp/239.112.205.11:5140
CCTV11,http://1.83.124.91:8888/udp/239.112.205.213:5140
CCTV12,http://1.83.124.91:8888/udp/239.112.205.88:5140
CCTV12,http://1.83.124.91:8888/udp/239.112.205.12:5140
CCTV13,http://1.83.124.91:8888/udp/239.111.205.53:5140
CCTV14,http://1.83.124.91:8888/udp/239.112.205.15:5140
CCTV14,http://1.83.124.91:8888/udp/239.112.205.91:5140
CCTV15,http://1.83.124.91:8888/udp/239.112.205.214:5140
CCTV16,http://1.83.124.91:8888/udp/239.111.205.133:5140
CCTV17,http://1.83.124.91:8888/udp/239.112.205.210:5140
CCTV17,http://1.83.124.91:8888/udp/239.112.205.211:5140
CCTV4K,http://1.83.124.91:8888/udp/239.111.205.38:5140
CETV1,http://1.83.124.91:8888/udp/239.109.205.47:8312
CETV2,http://1.83.124.91:8888/udp/239.109.205.48:8320
CETV4,http://1.83.124.91:8888/udp/239.109.205.49:8328
CHC影迷电影,http://1.83.124.91:8888/udp/239.112.205.206:5140
CHC家庭影院,http://1.83.124.91:8888/udp/239.112.205.205:5140
CHC动作电影,http://1.83.124.91:8888/udp/239.112.205.207:5140
第一剧场,http://1.83.124.91:8888/udp/239.111.205.65:5140
风云剧场,http://1.83.124.91:8888/udp/239.111.205.66:5140
风云足球,http://1.83.124.91:8888/udp/239.111.205.68:5140
风云音乐,http://1.83.124.91:8888/udp/239.111.205.69:5140
世界地理,http://1.83.124.91:8888/udp/239.111.205.71:5140
怀旧剧场,http://1.83.124.91:8888/udp/239.111.205.67:5140
兵器科技,http://1.83.124.91:8888/udp/239.111.205.74:5140
女性时尚,http://1.83.124.91:8888/udp/239.111.205.72:5140
重庆卫视,http://1.83.124.91:8888/udp/239.112.205.40:5140
重庆卫视,http://1.83.124.91:8888/udp/239.112.205.179:5140
江苏卫视,http://1.83.124.91:8888/udp/239.112.205.30:5140
江苏卫视,http://1.83.124.91:8888/udp/239.112.205.63:5140
浙江卫视,http://1.83.124.91:8888/udp/239.112.205.31:5140
浙江卫视,http://1.83.124.91:8888/udp/239.112.205.64:5140
东方卫视,http://1.83.124.91:8888/udp/239.112.205.61:5140
东方卫视,http://1.83.124.91:8888/udp/239.112.205.28:5140
深圳卫视,http://1.83.124.91:8888/udp/239.112.205.34:5140
深圳卫视,http://1.83.124.91:8888/udp/239.112.205.67:5140
北京卫视,http://1.83.124.91:8888/udp/239.112.205.65:5140
北京卫视,http://1.83.124.91:8888/udp/239.112.205.32:5140
山东卫视,http://1.83.124.91:8888/udp/239.112.205.70:5140
山东卫视,http://1.83.124.91:8888/udp/239.112.205.37:5140
天津卫视,http://1.83.124.91:8888/udp/239.112.205.74:5140
天津卫视,http://1.83.124.91:8888/udp/239.112.205.41:5140
贵州卫视,http://1.83.124.91:8888/udp/239.112.205.178:5140
贵州卫视,http://1.83.124.91:8888/udp/239.112.205.47:5140
四川卫视,http://1.83.124.91:8888/udp/239.112.205.184:5140
四川卫视,http://1.83.124.91:8888/udp/239.112.205.38:5140
云南卫视,http://1.83.124.91:8888/udp/239.112.205.58:5140
广西卫视,http://1.83.124.91:8888/udp/239.112.205.51:5140
黑龙江卫视,http://1.83.124.91:8888/udp/239.112.205.68:5140
黑龙江卫视,http://1.83.124.91:8888/udp/239.112.205.35:5140
安徽卫视,http://1.83.124.91:8888/udp/239.112.205.72:5140
安徽卫视,http://1.83.124.91:8888/udp/239.112.205.39:5140
山西卫视,http://1.83.124.91:8888/udp/239.112.205.46:5140
江西卫视,http://1.83.124.91:8888/udp/239.111.205.16:5140
江西卫视,http://1.83.124.91:8888/udp/239.112.205.44:5140
湖北卫视,http://1.83.124.91:8888/udp/239.112.205.36:5140
湖北卫视,http://1.83.124.91:8888/udp/239.112.205.69:5140
旅游卫视,http://1.83.124.91:8888/udp/239.112.205.50:5140
陕西卫视,http://1.83.124.91:8888/udp/239.112.205.17:5140
陕西卫视,http://1.83.124.91:8888/udp/239.111.205.35:5140
东南卫视,http://1.83.124.91:8888/udp/239.112.205.42:5140
东南卫视,http://1.83.124.91:8888/udp/239.112.205.182:5140
吉林卫视,http://1.83.124.91:8888/udp/239.112.205.183:5140
吉林卫视,http://1.83.124.91:8888/udp/239.112.205.45:5140
辽宁卫视,http://1.83.124.91:8888/udp/239.112.205.73:5140
辽宁卫视,http://1.83.124.91:8888/udp/239.112.205.52:5140
内蒙古卫视,http://1.83.124.91:8888/udp/239.112.205.55:5140
湖南卫视,http://1.83.124.91:8888/udp/239.112.205.62:5140
湖南卫视,http://1.83.124.91:8888/udp/239.112.205.29:5140
广东卫视,http://1.83.124.91:8888/udp/239.112.205.33:5140
广东卫视,http://1.83.124.91:8888/udp/239.112.205.66:5140
河南卫视,http://1.83.124.91:8888/udp/239.112.205.180:5140
河南卫视,http://1.83.124.91:8888/udp/239.112.205.43:5140
河北卫视,http://1.83.124.91:8888/udp/239.112.205.200:5140
河北卫视,http://1.83.124.91:8888/udp/239.112.205.57:5140
宁夏卫视,http://1.83.124.91:8888/udp/239.112.205.49:5140
甘肃卫视,http://1.83.124.91:8888/udp/239.112.205.48:5140
甘肃卫视,http://1.83.124.91:8888/udp/239.111.205.88:5140
青海卫视,http://1.83.124.91:8888/udp/239.112.205.53:5140
新疆卫视,http://1.83.124.91:8888/udp/239.112.205.56:5140
西藏卫视,http://1.83.124.91:8888/udp/239.112.205.54:5140
兵团卫视,http://1.83.124.91:8888/udp/239.112.205.198:5140
凤凰中文,http://1.83.124.91:8888/udp/239.111.205.78:5140
陕西1套高清,http://1.83.124.91:8888/udp/239.111.205.28:5140
陕西2套高清,http://1.83.124.91:8888/udp/239.111.205.42:5140
陕西3套高清,http://1.83.124.91:8888/udp/239.111.205.98:5140
陕西4套高清,http://1.83.124.91:8888/udp/239.111.205.99:5140
陕西5套高清,http://1.83.124.91:8888/udp/239.111.205.100:5140
陕西7套高清,http://1.83.124.91:8888/udp/239.111.205.36:5140
陕西8套高清,http://1.83.124.91:8888/udp/239.111.205.102:5140

地方频道,#genre#
财富天下,http://1.83.124.91:8888/udp/239.112.205.196:5140
IPTV相声小品,http://1.83.124.91:8888/udp/239.111.205.11:5140
爱生活,http://1.83.124.91:8888/udp/239.112.205.234:5140
高网,http://1.83.124.91:8888/udp/239.112.205.90:5140
爱上4K,http://1.83.124.91:8888/udp/239.112.205.186:5140
CCTV-16 4K 超高清测试,http://1.83.124.91:8888/udp/239.111.205.134:5140
CCTV-新闻,http://1.83.124.91:8888/udp/239.112.205.13:5140
CCTV-音乐,http://1.83.124.91:8888/udp/239.112.205.16:5140
IPTV3＋,http://1.83.124.91:8888/udp/239.112.205.116:5140
IPTV5＋,http://1.83.124.91:8888/udp/239.111.205.10:5140
IPTV6＋,http://1.83.124.91:8888/udp/239.112.205.118:5140
IPTV8＋,http://1.83.124.91:8888/udp/239.112.205.119:5140
三沙卫视,http://1.83.124.91:8888/udp/239.111.205.52:5140
上海纪实高清,http://1.83.124.91:8888/udp/239.112.205.204:5140
丝路频道,http://1.83.124.91:8888/udp/239.112.205.176:5140
中国教育-1,http://1.83.124.91:8888/udp/239.112.205.137:5140
中国教育-2,http://1.83.124.91:8888/udp/239.111.205.168:5140
中国教育-4,http://1.83.124.91:8888/udp/239.111.205.169:5140
全纪实,http://1.83.124.91:8888/udp/239.111.205.3:5140
农林卫视,http://1.83.124.91:8888/udp/239.112.205.27:5140
厦门卫视,http://1.83.124.91:8888/udp/239.112.205.60:5140
圆点导视,http://1.83.124.91:8888/udp/239.112.205.237:5140
圆点影视,http://1.83.124.91:8888/udp/239.111.205.64:5140
圆点生活,http://1.83.124.91:8888/udp/239.111.205.15:5140
央广购物,http://1.83.124.91:8888/udp/239.112.205.208:5140
央视台球,http://1.83.124.91:8888/udp/239.111.205.70:5140
央视文化精品,http://1.83.124.91:8888/udp/239.111.205.75:5140
山东教育,http://1.83.124.91:8888/udp/239.109.205.91:8664
山东教育,http://1.83.124.91:8888/udp/239.112.205.197:5140
快乐购,http://1.83.124.91:8888/udp/239.111.205.37:5140
教育1高清,http://1.83.124.91:8888/udp/239.112.205.201:5140
曲艺大观,http://1.83.124.91:8888/udp/239.111.205.31:5140
欢笑剧场,http://1.83.124.91:8888/udp/239.112.205.236:5140
法治天地,http://1.83.124.91:8888/udp/239.111.205.178:5140
游戏风云,http://1.83.124.91:8888/udp/239.111.205.4:5140
环球旅游,http://1.83.124.91:8888/udp/239.111.205.61:5140
生态环境,http://1.83.124.91:8888/udp/239.111.205.60:5140
生活时尚,http://1.83.124.91:8888/udp/239.111.205.176:5140
睛彩三秦,http://1.83.124.91:8888/udp/239.112.205.26:5140
纪实人文,http://1.83.124.91:8888/udp/239.111.205.14:5140
西安1套,http://1.83.124.91:8888/udp/239.111.205.242:5140
西安2套,http://1.83.124.91:8888/udp/239.111.205.243:5140
西安3套,http://1.83.124.91:8888/udp/239.112.205.174:5140
西安4套,http://1.83.124.91:8888/udp/239.112.205.175:5140
西安乐购高清,http://1.83.124.91:8888/udp/239.111.205.30:5140
西安教育台,http://1.83.124.91:8888/udp/239.112.205.142:5140
足球轮播,http://1.83.124.91:8888/udp/239.112.205.127:5140
车迷频道,http://1.83.124.91:8888/udp/239.111.205.63:5140
都市剧场,http://1.83.124.91:8888/udp/239.111.205.2:5140
金色频道,http://1.83.124.91:8888/udp/239.111.205.186:5140
金鹰纪实高清,http://1.83.124.91:8888/udp/239.112.205.203:5140
陕视直播,http://1.83.124.91:8888/udp/239.112.205.217:5140
高清测试2,http://1.83.124.91:8888/udp/239.111.205.82:5140
