http://txt.gt.tc/users/CNTV.txt

央卫1线,#genre#
CGTN-法语,http://kkk.888.3116598.xyz/api.php?n=tttt&id=eBWXZG&tk=tVegbWUIbUiV
CGTN-俄语,http://kkk.888.3116598.xyz/api.php?n=tttt&id=GyFz82&tk=tVegbWUIbUiV
CCTV老故事,http://kkk.888.3116598.xyz/api.php?n=tttt&id=ltwVm3&tk=tVegbWUIbUiV
CCTV发现之旅,http://kkk.888.3116598.xyz/api.php?n=tttt&id=4MwspO&tk=tVegbWUIbUiV
CCTV中学生,http://kkk.888.3116598.xyz/api.php?n=tttt&id=a44GUH&tk=tVegbWUIbUiV
CETV1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=Y8hRjP&tk=tVegbWUIbUiV
CETV2,http://kkk.888.3116598.xyz/api.php?n=tttt&id=1o28kK&tk=tVegbWUIbUiV
CETV4,http://kkk.888.3116598.xyz/api.php?n=tttt&id=suWfyY&tk=tVegbWUIbUiV
CGTN,http://kkk.888.3116598.xyz/api.php?n=tttt&id=IIKg74&tk=tVegbWUIbUiV
CGTN,http://kkk.888.3116598.xyz/api.php?n=tttt&id=vqJ8Ua&tk=tVegbWUIbUiV
CGTN,http://kkk.888.3116598.xyz/api.php?n=tttt&id=Bbl1ja&tk=tVegbWUIbUiV
CGTN,http://kkk.888.3116598.xyz/api.php?n=tttt&id=pcMOI0&tk=tVegbWUIbUiV
CGTN-法语,http://kkk.888.3116598.xyz/api.php?n=tttt&id=hI40iy&tk=tVegbWUIbUiV
CGTN-记录,http://kkk.888.3116598.xyz/api.php?n=tttt&id=tPnQfJ&tk=tVegbWUIbUiV
CGTN-纪录,http://kkk.888.3116598.xyz/api.php?n=tttt&id=FRLydE&tk=tVegbWUIbUiV
CGTN-纪录,http://kkk.888.3116598.xyz/api.php?n=tttt&id=vjEBqh&tk=tVegbWUIbUiV
CGTN-纪录,http://kkk.888.3116598.xyz/api.php?n=tttt&id=m2p0XE&tk=tVegbWUIbUiV
CGTN-纪录,http://kkk.888.3116598.xyz/api.php?n=tttt&id=vkf7b0&tk=tVegbWUIbUiV
CGTN-西班牙语,http://kkk.888.3116598.xyz/api.php?n=tttt&id=L5Lx4o&tk=tVegbWUIbUiV
CGTN英语,http://kkk.888.3116598.xyz/api.php?n=tttt&id=I8tAFk&tk=tVegbWUIbUiV
CGTN英语,http://kkk.888.3116598.xyz/api.php?n=tttt&id=0Aw9fM&tk=tVegbWUIbUiV
CGTN英语,http://kkk.888.3116598.xyz/api.php?n=tttt&id=YVMs4M&tk=tVegbWUIbUiV
兵团卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=NjmLhe&tk=tVegbWUIbUiV
兵团卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=oFRPmG&tk=tVegbWUIbUiV
兵团卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=2CNNYP&tk=tVegbWUIbUiV
山东教育卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=nYpIWT&tk=tVegbWUIbUiV
浙江卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=Od3xXw&tk=tVegbWUIbUiV
浙江卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=cwKhDj&tk=tVegbWUIbUiV
浙江卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=9N7DYy&tk=tVegbWUIbUiV
黑龙江卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=1709Rb&tk=tVegbWUIbUiV
蒙语卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=sZWoJZ&tk=tVegbWUIbUiV
大湾区卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=DlF8rq&tk=tVegbWUIbUiV
河南卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=CciIce&tk=tVegbWUIbUiV
河南卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=IHl0U2&tk=tVegbWUIbUiV
河南卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=Yx3sTL&tk=tVegbWUIbUiV
广东卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=wdzsEF&tk=tVegbWUIbUiV
北京卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=gaw5p5&tk=tVegbWUIbUiV
东方卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=LOxhpF&tk=tVegbWUIbUiV
吉林卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=6lHWyC&tk=tVegbWUIbUiV
青海卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=Q8G4J8&tk=tVegbWUIbUiV
陕西卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=kPvIqP&tk=tVegbWUIbUiV
农林卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=fseAEF&tk=tVegbWUIbUiV
河南卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=LhGFLm&tk=tVegbWUIbUiV
湖北卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=4Rv3H3&tk=tVegbWUIbUiV
江西卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=ZDHdrC&tk=tVegbWUIbUiV
江苏卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=Xp6Dz0&tk=tVegbWUIbUiV
东南卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=XvNCeT&tk=tVegbWUIbUiV
海峡卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=MdhFjU&tk=tVegbWUIbUiV
广东卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=HNbgTV&tk=tVegbWUIbUiV
大湾区卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=fSfxDT&tk=tVegbWUIbUiV
兵团卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=GFVAtX&tk=tVegbWUIbUiV
海南卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=cYfjhf&tk=tVegbWUIbUiV
CHC影迷电影,http://kkk.888.3116598.xyz/api.php?n=tttt&id=1VepzH&tk=tVegbWUIbUiV
上视东方影视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=5CHfYb&tk=tVegbWUIbUiV
上海新闻综合,http://kkk.888.3116598.xyz/api.php?n=tttt&id=LXJV8T&tk=tVegbWUIbUiV
上海第一财经,http://kkk.888.3116598.xyz/api.php?n=tttt&id=gp3PYn&tk=tVegbWUIbUiV
陕西新闻资讯,http://kkk.888.3116598.xyz/api.php?n=tttt&id=X8Ip65&tk=tVegbWUIbUiV
陕西都市青春,http://kkk.888.3116598.xyz/api.php?n=tttt&id=FDNFKY&tk=tVegbWUIbUiV
陕西体育休闲,http://kkk.888.3116598.xyz/api.php?n=tttt&id=pHv7gy&tk=tVegbWUIbUiV
陕西银龄,http://kkk.888.3116598.xyz/api.php?n=tttt&id=9dFKrO&tk=tVegbWUIbUiV
陕西秦腔,http://kkk.888.3116598.xyz/api.php?n=tttt&id=fy8MZs&tk=tVegbWUIbUiV
江苏城市,http://kkk.888.3116598.xyz/api.php?n=tttt&id=02meIl&tk=tVegbWUIbUiV
江苏影视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=UTwQ0U&tk=tVegbWUIbUiV
江苏综艺,http://kkk.888.3116598.xyz/api.php?n=tttt&id=eTN3CY&tk=tVegbWUIbUiV
江苏公共新闻,http://kkk.888.3116598.xyz/api.php?n=tttt&id=J61ECb&tk=tVegbWUIbUiV
江苏体育休闲,http://kkk.888.3116598.xyz/api.php?n=tttt&id=mVefqb&tk=tVegbWUIbUiV
江苏教育,http://kkk.888.3116598.xyz/api.php?n=tttt&id=f5UnrL&tk=tVegbWUIbUiV
江苏国际,http://kkk.888.3116598.xyz/api.php?n=tttt&id=RzZLtH&tk=tVegbWUIbUiV
优漫卡通,http://kkk.888.3116598.xyz/api.php?n=tttt&id=EGosUl&tk=tVegbWUIbUiV
财富天下,http://kkk.888.3116598.xyz/api.php?n=tttt&id=1c8sxb&tk=tVegbWUIbUiV
南京新闻综合,http://kkk.888.3116598.xyz/api.php?n=tttt&id=hrr4u7&tk=tVegbWUIbUiV
南京教科,http://kkk.888.3116598.xyz/api.php?n=tttt&id=g8KNUW&tk=tVegbWUIbUiV
南京十八,http://kkk.888.3116598.xyz/api.php?n=tttt&id=rquIAP&tk=tVegbWUIbUiV
淮安新闻综合,http://kkk.888.3116598.xyz/api.php?n=tttt&id=H1LUIm&tk=tVegbWUIbUiV
连云港新闻综合,http://kkk.888.3116598.xyz/api.php?n=tttt&id=aWNgnp&tk=tVegbWUIbUiV
南通新闻综合,http://kkk.888.3116598.xyz/api.php?n=tttt&id=DyJDKm&tk=tVegbWUIbUiV
四海钓鱼,http://kkk.888.3116598.xyz/api.php?n=tttt&id=RfF9cU&tk=tVegbWUIbUiV
宿迁新闻综合,http://kkk.888.3116598.xyz/api.php?n=tttt&id=QJxj1f&tk=tVegbWUIbUiV
泰州新闻综合,http://kkk.888.3116598.xyz/api.php?n=tttt&id=zW7S6n&tk=tVegbWUIbUiV
徐州新闻综合,http://kkk.888.3116598.xyz/api.php?n=tttt&id=ks8wj3&tk=tVegbWUIbUiV
盐城新闻综合,http://kkk.888.3116598.xyz/api.php?n=tttt&id=WAuoRP&tk=tVegbWUIbUiV
宜兴新闻综合,http://kkk.888.3116598.xyz/api.php?n=tttt&id=3k1vlE&tk=tVegbWUIbUiV
江阴新闻综合,http://kkk.888.3116598.xyz/api.php?n=tttt&id=pyzrnw&tk=tVegbWUIbUiV
溧水新闻综合,http://kkk.888.3116598.xyz/api.php?n=tttt&id=Q8ETWw&tk=tVegbWUIbUiV
广东影视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=pfmMnS&tk=tVegbWUIbUiV
嘉佳卡通,http://kkk.888.3116598.xyz/api.php?n=tttt&id=mRxSeL&tk=tVegbWUIbUiV
五环传奇,http://kkk.888.3116598.xyz/api.php?n=tttt&id=GKKjDZ&tk=tVegbWUIbUiV
掼蛋精英赛,http://kkk.888.3116598.xyz/api.php?n=tttt&id=RtuKwe&tk=tVegbWUIbUiV
咪咕24小时体育台,http://kkk.888.3116598.xyz/api.php?n=tttt&id=CU7bx9&tk=tVegbWUIbUiV
经典香港电影,http://kkk.888.3116598.xyz/api.php?n=tttt&id=nmCeUw&tk=tVegbWUIbUiV
抗战经典影片,http://kkk.888.3116598.xyz/api.php?n=tttt&id=AuAHsU&tk=tVegbWUIbUiV
新片放映厅,http://kkk.888.3116598.xyz/api.php?n=tttt&id=sRLvRD&tk=tVegbWUIbUiV
血色山河·抗日战争影像志,http://kkk.888.3116598.xyz/api.php?n=tttt&id=k0hd1c&tk=tVegbWUIbUiV
新动力量创一流,http://kkk.888.3116598.xyz/api.php?n=tttt&id=hYCHno&tk=tVegbWUIbUiV
钱塘江,http://kkk.888.3116598.xyz/api.php?n=tttt&id=0bxRGE&tk=tVegbWUIbUiV
钱塘江,http://kkk.888.3116598.xyz/api.php?n=tttt&id=lx4uXL&tk=tVegbWUIbUiV
熊猫频道1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=j7YUgB&tk=tVegbWUIbUiV
熊猫频道2,http://kkk.888.3116598.xyz/api.php?n=tttt&id=gFTppS&tk=tVegbWUIbUiV
熊猫频道3,http://kkk.888.3116598.xyz/api.php?n=tttt&id=rUVIMD&tk=tVegbWUIbUiV
熊猫频道4,http://kkk.888.3116598.xyz/api.php?n=tttt&id=m4d3wq&tk=tVegbWUIbUiV
熊猫频道5,http://kkk.888.3116598.xyz/api.php?n=tttt&id=4u8oIt&tk=tVegbWUIbUiV
熊猫频道6,http://kkk.888.3116598.xyz/api.php?n=tttt&id=H2fMoY&tk=tVegbWUIbUiV
熊猫频道7,http://kkk.888.3116598.xyz/api.php?n=tttt&id=mgRPlA&tk=tVegbWUIbUiV
熊猫频道8,http://kkk.888.3116598.xyz/api.php?n=tttt&id=P7PcBS&tk=tVegbWUIbUiV
熊猫频道9,http://kkk.888.3116598.xyz/api.php?n=tttt&id=iJH7Ap&tk=tVegbWUIbUiV
熊猫频道10,http://kkk.888.3116598.xyz/api.php?n=tttt&id=NH5rRN&tk=tVegbWUIbUiV
央卫2线,#genre#
CCTV-1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=xtTBT4&tk=tVegbWUIbUiV
CCTV-2,http://kkk.888.3116598.xyz/api.php?n=tttt&id=gNmpIf&tk=tVegbWUIbUiV
CCTV-3,http://kkk.888.3116598.xyz/api.php?n=tttt&id=n9A2uM&tk=tVegbWUIbUiV
CCTV-4,http://kkk.888.3116598.xyz/api.php?n=tttt&id=g4bJLe&tk=tVegbWUIbUiV
CCTV-5,http://kkk.888.3116598.xyz/api.php?n=tttt&id=mhxhWM&tk=tVegbWUIbUiV
CCTV-5+,http://kkk.888.3116598.xyz/api.php?n=tttt&id=8xyreP&tk=tVegbWUIbUiV
CCTV-6,http://kkk.888.3116598.xyz/api.php?n=tttt&id=Y63N1E&tk=tVegbWUIbUiV
CCTV-7,http://kkk.888.3116598.xyz/api.php?n=tttt&id=GLskA9&tk=tVegbWUIbUiV
CCTV-8,http://kkk.888.3116598.xyz/api.php?n=tttt&id=xS1mk0&tk=tVegbWUIbUiV
CCTV-9,http://kkk.888.3116598.xyz/api.php?n=tttt&id=XAYFmq&tk=tVegbWUIbUiV
CCTV-10,http://kkk.888.3116598.xyz/api.php?n=tttt&id=aQkqyJ&tk=tVegbWUIbUiV
CCTV-11,http://kkk.888.3116598.xyz/api.php?n=tttt&id=RaKinN&tk=tVegbWUIbUiV
CCTV-12,http://kkk.888.3116598.xyz/api.php?n=tttt&id=mI6vA2&tk=tVegbWUIbUiV
CCTV-13,http://kkk.888.3116598.xyz/api.php?n=tttt&id=0Acxs3&tk=tVegbWUIbUiV
CCTV-14,http://kkk.888.3116598.xyz/api.php?n=tttt&id=XYDJbp&tk=tVegbWUIbUiV
CCTV-15,http://kkk.888.3116598.xyz/api.php?n=tttt&id=51iMhp&tk=tVegbWUIbUiV
CCTV-17,http://kkk.888.3116598.xyz/api.php?n=tttt&id=JyhC1v&tk=tVegbWUIbUiV
CCTV-4美洲,http://kkk.888.3116598.xyz/api.php?n=tttt&id=LMc4JH&tk=tVegbWUIbUiV
CCTV-4欧洲,http://kkk.888.3116598.xyz/api.php?n=tttt&id=DHAByZ&tk=tVegbWUIbUiV
海南卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=YUSGVI&tk=tVegbWUIbUiV
江西卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=8xwL8T&tk=tVegbWUIbUiV
黑龙江卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=9y3sqH&tk=tVegbWUIbUiV
东南卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=HBTkhU&tk=tVegbWUIbUiV
湖北卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=aaTBf3&tk=tVegbWUIbUiV
山东卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=2uwTMM&tk=tVegbWUIbUiV
安徽卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=KFPmQg&tk=tVegbWUIbUiV
广东卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=Cu6gGZ&tk=tVegbWUIbUiV
北京卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=w1DOrv&tk=tVegbWUIbUiV
深圳卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=nlCt0w&tk=tVegbWUIbUiV
江苏卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=QKK7ba&tk=tVegbWUIbUiV
浙江卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=1LQw5w&tk=tVegbWUIbUiV
河北卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=zhYE67&tk=tVegbWUIbUiV
四川卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=VI1RO7&tk=tVegbWUIbUiV
辽宁卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=iTIuUu&tk=tVegbWUIbUiV
重庆卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=wlZviw&tk=tVegbWUIbUiV
湖南卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=oZlWuW&tk=tVegbWUIbUiV
河南卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=2KcJQi&tk=tVegbWUIbUiV
贵州卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=L05CkN&tk=tVegbWUIbUiV
广西卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=gNHERQ&tk=tVegbWUIbUiV
吉林卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=7H0UzY&tk=tVegbWUIbUiV
陕西卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=76WI8v&tk=tVegbWUIbUiV
天津卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=7L7fir&tk=tVegbWUIbUiV
青海卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=bC0qPl&tk=tVegbWUIbUiV
甘肃卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=0qV0D4&tk=tVegbWUIbUiV
新疆卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=B8lK1p&tk=tVegbWUIbUiV
山西卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=ZCQuJW&tk=tVegbWUIbUiV
东方卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=DAlutL&tk=tVegbWUIbUiV
央卫3线,#genre#
CCTV-1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=IYLRQu&tk=tVegbWUIbUiV
CCTV-3,http://kkk.888.3116598.xyz/api.php?n=tttt&id=GaSaIV&tk=tVegbWUIbUiV
CCTV-5,http://kkk.888.3116598.xyz/api.php?n=tttt&id=hT57fC&tk=tVegbWUIbUiV
CCTV-6,http://kkk.888.3116598.xyz/api.php?n=tttt&id=Ai36Dr&tk=tVegbWUIbUiV
CCTV-7,http://kkk.888.3116598.xyz/api.php?n=tttt&id=g63XoZ&tk=tVegbWUIbUiV
CCTV-9,http://kkk.888.3116598.xyz/api.php?n=tttt&id=LZKWMo&tk=tVegbWUIbUiV
CCTV-10,http://kkk.888.3116598.xyz/api.php?n=tttt&id=HSzXAl&tk=tVegbWUIbUiV
CCTV-11,http://kkk.888.3116598.xyz/api.php?n=tttt&id=jYxSxC&tk=tVegbWUIbUiV
CCTV-12,http://kkk.888.3116598.xyz/api.php?n=tttt&id=v8mKDy&tk=tVegbWUIbUiV
CCTV-13,http://kkk.888.3116598.xyz/api.php?n=tttt&id=yghoXt&tk=tVegbWUIbUiV
北京卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=500SEF&tk=tVegbWUIbUiV
浙江卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=ps8zTZ&tk=tVegbWUIbUiV
河南都市频道,http://kkk.888.3116598.xyz/api.php?n=tttt&id=XX7bCu&tk=tVegbWUIbUiV
河南卫视频道,http://kkk.888.3116598.xyz/api.php?n=tttt&id=qXDtPK&tk=tVegbWUIbUiV
河南民生频道,http://kkk.888.3116598.xyz/api.php?n=tttt&id=nTVbL6&tk=tVegbWUIbUiV
河南梨园频道,http://kkk.888.3116598.xyz/api.php?n=tttt&id=NEWQ6K&tk=tVegbWUIbUiV
央卫4线,#genre#
CCTV1-综合,http://kkk.888.3116598.xyz/api.php?n=tttt&id=adu3K1&tk=tVegbWUIbUiV
CCTV2-财经,http://kkk.888.3116598.xyz/api.php?n=tttt&id=6uqlLH&tk=tVegbWUIbUiV
CCTV3-综艺,http://kkk.888.3116598.xyz/api.php?n=tttt&id=0akvHV&tk=tVegbWUIbUiV
CCTV4-国际,http://kkk.888.3116598.xyz/api.php?n=tttt&id=lfzbl4&tk=tVegbWUIbUiV
CCTV5-体育,http://kkk.888.3116598.xyz/api.php?n=tttt&id=xu8I8t&tk=tVegbWUIbUiV
CCTV6-电影,http://kkk.888.3116598.xyz/api.php?n=tttt&id=JV9wJ7&tk=tVegbWUIbUiV
CCTV7-军农,http://kkk.888.3116598.xyz/api.php?n=tttt&id=gMFl72&tk=tVegbWUIbUiV
CCTV8-电视剧,http://kkk.888.3116598.xyz/api.php?n=tttt&id=95LqVD&tk=tVegbWUIbUiV
CCTV9-纪录,http://kkk.888.3116598.xyz/api.php?n=tttt&id=uIWGc9&tk=tVegbWUIbUiV
CCTV10-科教,http://kkk.888.3116598.xyz/api.php?n=tttt&id=3P0jAL&tk=tVegbWUIbUiV
CCTV11-戏曲,http://kkk.888.3116598.xyz/api.php?n=tttt&id=69yWjK&tk=tVegbWUIbUiV
CCTV12-社会与法,http://kkk.888.3116598.xyz/api.php?n=tttt&id=6nDJxQ&tk=tVegbWUIbUiV
CCTV13-新闻,http://kkk.888.3116598.xyz/api.php?n=tttt&id=ldWbw0&tk=tVegbWUIbUiV
CCTV14-少儿,http://kkk.888.3116598.xyz/api.php?n=tttt&id=ygGunE&tk=tVegbWUIbUiV
CCTV15-音乐,http://kkk.888.3116598.xyz/api.php?n=tttt&id=zBlagP&tk=tVegbWUIbUiV
CCTV16-奥林匹克,http://kkk.888.3116598.xyz/api.php?n=tttt&id=UzyUjD&tk=tVegbWUIbUiV
CCTV17-农村,http://kkk.888.3116598.xyz/api.php?n=tttt&id=kXepUm&tk=tVegbWUIbUiV
东方卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=4oedU7&tk=tVegbWUIbUiV
江西卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=5iWgBn&tk=tVegbWUIbUiV
江苏卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=5EfLHe&tk=tVegbWUIbUiV
新疆卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=geDZK1&tk=tVegbWUIbUiV
海南卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=sGG9Xw&tk=tVegbWUIbUiV
西藏卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=3sJEHW&tk=tVegbWUIbUiV
藏语卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=XHif0Z&tk=tVegbWUIbUiV
深圳卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=kNeEns&tk=tVegbWUIbUiV
三沙卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=w5NBhw&tk=tVegbWUIbUiV
海峡卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=zygvuM&tk=tVegbWUIbUiV
内蒙古卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=668pD2&tk=tVegbWUIbUiV
内蒙古语,http://kkk.888.3116598.xyz/api.php?n=tttt&id=zMjujR&tk=tVegbWUIbUiV
广东卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=dMqlBd&tk=tVegbWUIbUiV
咪咕视频,http://kkk.888.3116598.xyz/api.php?n=tttt&id=t4MAyS&tk=tVegbWUIbUiV
红色轮播,http://kkk.888.3116598.xyz/api.php?n=tttt&id=xfpVry&tk=tVegbWUIbUiV
军事迷,http://kkk.888.3116598.xyz/api.php?n=tttt&id=K4Ahm7&tk=tVegbWUIbUiV
CHC影迷,http://kkk.888.3116598.xyz/api.php?n=tttt&id=If9yBV&tk=tVegbWUIbUiV
CHC家庭,http://kkk.888.3116598.xyz/api.php?n=tttt&id=sFeLq1&tk=tVegbWUIbUiV
CHC动作,http://kkk.888.3116598.xyz/api.php?n=tttt&id=3v5P5Y&tk=tVegbWUIbUiV
央卫5线,#genre#
CCTV1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=64U1Io&tk=tVegbWUIbUiV
CCTV2,http://kkk.888.3116598.xyz/api.php?n=tttt&id=M8qZGq&tk=tVegbWUIbUiV
CCTV3,http://kkk.888.3116598.xyz/api.php?n=tttt&id=QMQssR&tk=tVegbWUIbUiV
CCTV4,http://kkk.888.3116598.xyz/api.php?n=tttt&id=CSZhH5&tk=tVegbWUIbUiV
CCTV5,http://kkk.888.3116598.xyz/api.php?n=tttt&id=ayMl4Y&tk=tVegbWUIbUiV
CCTV5+,http://kkk.888.3116598.xyz/api.php?n=tttt&id=meUWzs&tk=tVegbWUIbUiV
CCTV6,http://kkk.888.3116598.xyz/api.php?n=tttt&id=ldtJQq&tk=tVegbWUIbUiV
CCTV7,http://kkk.888.3116598.xyz/api.php?n=tttt&id=xeg8G4&tk=tVegbWUIbUiV
CCTV8,http://kkk.888.3116598.xyz/api.php?n=tttt&id=FP7QE5&tk=tVegbWUIbUiV
CCTV9,http://kkk.888.3116598.xyz/api.php?n=tttt&id=8C0b9V&tk=tVegbWUIbUiV
CCTV10,http://kkk.888.3116598.xyz/api.php?n=tttt&id=qATJN8&tk=tVegbWUIbUiV
CCTV11,http://kkk.888.3116598.xyz/api.php?n=tttt&id=9RJTwn&tk=tVegbWUIbUiV
CCTV12,http://kkk.888.3116598.xyz/api.php?n=tttt&id=OkNCoO&tk=tVegbWUIbUiV
