http://be.is-best.net/i/8/7499828.txt
http://ox.my.to/8/2246608.txt
明星电影,#genre#
虎牙_不挤影院,https://isus.cc/php/huya.php?id=11352897
虎牙_国产悬疑,https://isus.cc/php/huya.php?id=11342395
虎牙_快意江湖,https://isus.cc/php/huya.php?id=11342435
虎牙_黑帮斗争,https://isus.cc/php/huya.php?id=11342419
虎牙_嫣然影厅,https://isus.cc/php/huya.php?id=11601977
虎牙_许氏三杰,https://isus.cc/php/huya.php?id=11602033
虎牙_经典港片,https://isus.cc/php/huya.php?id=11352965

虎牙_谍战片,https://isus.cc/php/huya.php?id=21059585
射雕英雄,https://isus.cc/php/huya.php?id=23824164
神雕侠侣,https://isus.cc/php/huya.php?id=11352964


虎牙_天龙八部,https://isus.cc/php/huya.php?id=23903123

虎牙_雪豹,https://isus.cc/php/huya.php?id=20599549
亮剑,https://isus.cc/php/huya.php?id=30080238

斗鱼_吃米滴虫,http://zzy789.xyz/douyu1.php?id=315457
斗鱼_冰冰经典,http://zzy789.xyz/douyu1.php?id=74374
斗鱼_星爷影院,http://zzy789.xyz/douyu1.php?id=508118

斗鱼_神乐影院,http://zzy789.xyz/douyu1.php?id=122402
斗鱼_可乐影院,http://zzy789.xyz/douyu1.php?id=20415

斗鱼_國語電影,http://zzy789.xyz/douyu1.php?id=2436390

斗鱼_译制国语,http://zzy789.xyz/douyu1.php?id=2436390
斗鱼_特辑电影,http://zzy789.xyz/douyu1.php?id=3637778
斗鱼_奶虫影院,http://zzy789.xyz/douyu1.php?id=263824

斗鱼_花卷影院,http://zzy789.xyz/douyu1.php?id=52787
雪豹,http://zzy789.xyz/douyu1.php?id=508118

经典剧,#genre#
西游记,http://dns.yiandrive.com:13571/huya/26355861
三国演义,http://dns.yiandrive.com:13571/huya/11602081
爱情公寓,http://dns.yiandrive.com:13571/huya/11336726
爱情公寓,https://fmbox.cc/huya.php?id=11336726
家有儿女,http://dns.yiandrive.com:13571/huya/30523326
家有儿女,https://fmbox.cc/huya.php?id=11352872
魔幻手机,http://dns.yiandrive.com:13571/huya/11352966
活佛济公,http://dns.yiandrive.com:13571/huya/11342400
宝莲灯,http://dns.yiandrive.com:13571/huya/21059563
乡村爱情,http://dns.yiandrive.com:13571/huya/30080255
猫和老鼠,http://dns.yiandrive.com:13571/huya/11352879

小品综艺,#genre#
本山快乐营,http://lxajh.top/tv/douyu.php?id=9374865
欢乐饭米粒,http://lxajh.top/tv/douyu.php?id=9403690
辽视小品,http://lxajh.top/tv/douyu.php?id=9406416
赵本山经典小品,http://lxajh.top/tv/douyu.php?id=9817716
开心麻花经典小品,http://lxajh.top/tv/douyu.php?id=10153463
宋小宝小品,http://lxajh.top/tv/douyu.php?id=9817729
贾玲经典小品,http://lxajh.top/tv/douyu.php?id=10419541
1,https://f.video.weibocdn.com/o0/x4UvPAiBlx08pF1DVhws01041206GDY10E030.mp4?label=mp4_ld&template=640x360.25.0&media_id=5186266677837872&tp=8x8A3El:YTkl0eM8&us=0&ori=1&bf=2&ot=h&ps=3lckmu&uid=5Bm3J8&ab=13038-g1,17399-g1,15568-g4,8012-g2,8013-g0,3601-g41&Expires=1752067659&ssig=pO4rIywSbr&KID=unistore,video

经典歌曲,#genre#
点歌台1,http://zzy789.xyz/douyu1.php?id=3870925
点歌台2,https://live.iill.top/douyu/12401029
王心凌,https://txmov2.a.kwimgs.com/bs3/video-hls/5210946351305777158_hlsb.m3u8
邓紫棋,https://vd3.bdstatic.com/mda-pg3m9a9ppvgzqg76/sc/cae_h264/1688504490901841014/mda-pg3m9a9ppvgzqg76.mp4
金海心,https://txmov2.a.kwimgs.com/bs3/video-hls/5202783577818793385_hlsb.m3u8
徐怀钰,https://vd3.bdstatic.com/mda-paj26adxum0u1nzm/sc/cae_h264/1674181138806313046/mda-paj26adxum0u1nzm.mp4
陈百强,https://vd3.bdstatic.com/mda-nkg6zym5hmcmhcth/sc/cae_h264/1668667805400554098/mda-nkg6zym5hmcmhcth.mp4
周传雄,https://vd4.bdstatic.com/mda-paq1wctq73q8kv3k/sc/cae_h264/1674630332295698141/mda-paq1wctq73q8kv3k.mp4
郑中基,https://vd3.bdstatic.com/mda-paq1vuutbxj3nid7/sc/cae_h264/1674635667756668676/mda-paq1vuutbxj3nid7.mp4
庾澄庆,https://vd4.bdstatic.com/mda-pawe0vd3ni6nzh8m/hd/cae_h264/1675210890051408273/mda-pawe0vd3ni6nzh8m.mp4
罗文,https://vd4.bdstatic.com/mda-pas47g35beq7c8am/576p/h264/1674788386403294509/mda-pas47g35beq7c8am.mp4
陈小春,https://vd4.bdstatic.com/mda-paj3eqx7guxsieph/hd/cae_h264/1674186798675696922/mda-paj3eqx7guxsieph.mp4
罗大佑,https://vd3.bdstatic.com/mda-paj3bndqef0brg82/hd/cae_h264/1674182231284241416/mda-paj3bndqef0brg82.mp4
邰正宵,https://vd2.bdstatic.com/mda-pai1fgvqnzfshm79/hd/cae_h264/1674091705705323755/mda-pai1fgvqnzfshm79.mp4
张镐哲,https://vd3.bdstatic.com/mda-pai1autuhxiwv606/hd/cae_h264/1674091410698310238/mda-pai1autuhxiwv606.mp4
孟庭苇,https://vd4.bdstatic.com/mda-pah0g785da3bd8cg/hd/cae_h264/1674003403215729852/mda-pah0g785da3bd8cg.mp4
陈慧娴,https://vd2.bdstatic.com/mda-pag1mzva41p63jq5/hd/cae_h264/1673927648285556707/mda-pag1mzva41p63jq5.mp4
李宗盛,https://vd3.bdstatic.com/mda-pag1f6ssp0tz7u6w/hd/cae_h264/1673925651687172516/mda-pag1f6ssp0tz7u6w.mp4
郑钧,https://vd2.bdstatic.com/mda-pad3y0wrmxzapv2w/576p/h264/1673664549552774186/mda-pad3y0wrmxzapv2w.mp4
郑伊健,https://vd4.bdstatic.com/mda-pac8fmnv1a366vmr/hd/cae_h264/1673591592922356655/mda-pac8fmnv1a366vmr.mp4
蔡依林,https://vd4.bdstatic.com/mda-pac79inw7bdc065u/hd/cae_h264/1673588623519298769/mda-pac79inw7bdc065u.mp4
张学友,https://vd2.bdstatic.com/mda-nm6fky2jmywpcdj9/cae_h264/1670413517411532119/mda-nm6fky2jmywpcdj9.mp4
邝美云,https://vd2.bdstatic.com/mda-pbeexvuxcve5846s/sc/cae_h264/1676582560140953592/mda-pbeexvuxcve5846s.mp4
李玟,https://vd3.bdstatic.com/mda-jksqgenwiqib178f/sc/mda-jksqgenwiqib178f.mp4
汪苏泷,https://vd4.bdstatic.com/mda-pg1me33kyu0pp53k/sc/cae_h264/1688382703992389690/mda-pg1me33kyu0pp53k.mp4
周杰伦,https://vd3.bdstatic.com/mda-paq1xkb7rcjtii9v/sc/cae_h264/1674613587466498828/mda-paq1xkb7rcjtii9v.mp4
郑智化,https://vd2.bdstatic.com/mda-paq1ux0qf6sgmned/sc/cae_h264/1674636855608480381/mda-paq1ux0qf6sgmned.mp4
赵传,https://vd3.bdstatic.com/mda-paq1tepxqeiegjj4/sc/cae_h264/1674635604690258650/mda-paq1tepxqeiegjj4.mp4
郑秀文,https://vd4.bdstatic.com/mda-paq1uaga11j66k8k/sc/cae_h264/1674635527660020109/mda-paq1uaga11j66k8k.mp4
张宇,https://vd4.bdstatic.com/mda-paq1swz9kfiww0nf/720p/h264/1674609379540322499/mda-paq1swz9kfiww0nf.mp4
张信哲,https://vd4.bdstatic.com/mda-paq1rstx5psmnh4d/sc/cae_h264/1674629486930515540/mda-paq1rstx5psmnh4d.mp4
张惠妹,https://vd3.bdstatic.com/mda-paq1r1xeq684ghvi/sc/cae_h264/1674629389712621917/mda-paq1r1xeq684ghvi.mp4
杨千嬅,https://vd2.bdstatic.com/mda-paj28s7kxxta535a/sc/cae_h264/1674179921663865160/mda-paj28s7kxxta535a.mp4
许冠杰,https://vd2.bdstatic.com/mda-paj27ykdqysv2mtw/sc/cae_h264/1674179770185504208/mda-paj27ykdqysv2mtw.mp4
萧亚轩,https://vd3.bdstatic.com/mda-paj25d8nm4uc59es/sc/cae_h264/1674182542534082128/mda-paj25d8nm4uc59es.mp4
王杰,https://vd3.bdstatic.com/mda-paj24w3pip97yamz/sc/cae_h264/1674185355776462627/mda-paj24w3pip97yamz.mp4
谭咏麟,https://vd2.bdstatic.com/mda-paj231dq1mks423d/sc/cae_h264/1674179884142970651/mda-paj231dq1mks423d.mp4
孙燕姿,https://vd3.bdstatic.com/mda-paj227g2z43rby0b/sc/cae_h264/1674182747611865385/mda-paj227g2z43rby0b.mp4
梅艳芳,https://vd4.bdstatic.com/mda-paj21pmbsf1t5guw/720p/h264/1674178040534961503/mda-paj21pmbsf1t5guw.mp4
罗文,https://vd2.bdstatic.com/mda-paj209nnw25qxdd3/720p/h264/1674177933358236689/mda-paj209nnw25qxdd3.mp4
刘若英,https://vd4.bdstatic.com/mda-paj1zjmiy8f0u7e9/sc/cae_h264/1674182802321283228/mda-paj1zjmiy8f0u7e9.mp4
黄安,https://vd4.bdstatic.com/mda-paj1yviih627m7br/sc/cae_h264/1674182480562260368/mda-paj1yviih627m7br.mp4
郭富城,https://vd3.bdstatic.com/mda-paj1y1ffn07b81zr/sc/cae_h264/1674180953809875143/mda-paj1y1ffn07b81zr.mp4
齐秦,https://vd3.bdstatic.com/mda-nksbca2gxqm392y9/sc/cae_h264/1669538208173071679/mda-nksbca2gxqm392y9.mp4
莫文蔚,https://vd3.bdstatic.com/mda-nksbbcfasp641205/sc/cae_h264/1669538238470976198/mda-nksbbcfasp641205.mp4
林子祥,https://vd2.bdstatic.com/mda-nksbae509kuunmw5/sc/cae_h264/1669538414221805368/mda-nksbae509kuunmw5.mp4
林志颖,https://vd4.bdstatic.com/mda-nksb70tv5vt9d5ta/sc/cae_h264/1669539791287641428/mda-nksb70tv5vt9d5ta.mp4
梁咏琪,https://vd3.bdstatic.com/mda-nkm0vwwxem7nnicp/sc/cae_h264/1669097506610820128/mda-nkm0vwwxem7nnicp.mp4
梁静茹,https://vd2.bdstatic.com/mda-nkm0tccmp4h9mbzx/sc/cae_h264/1669099609536177298/mda-nkm0tccmp4h9mbzx.mp4
李克勤,https://vd3.bdstatic.com/mda-nkm0rfx2h01mecpb/sc/cae_h264/1669097663537218616/mda-nkm0rfx2h01mecpb.mp4
黎明,https://vd3.bdstatic.com/mda-nkm0q4v1cnx3dg0q/sc/cae_h264/1669099217121656933/mda-nkm0q4v1cnx3dg0q.mp4
黄莺莺,https://vd4.bdstatic.com/mda-nkm0h1vrypczxbtg/720p/h264/1669076515355370249/mda-nkm0h1vrypczxbtg.mp4
邓丽君,https://vd4.bdstatic.com/mda-nkg71nvnuzanh072/sc/cae_h264/1668667802847572861/mda-nkg71nvnuzanh072.mp4
草蜢,https://vd2.bdstatic.com/mda-nkg6xtz6ph8a421a/sc/cae_h264/1668671364539601937/mda-nkg6xtz6ph8a421a.mp4
张雨生,https://vd4.bdstatic.com/mda-nis0atuv091ryxg0/sc/cae_h264/1664442884366030417/mda-nis0atuv091ryxg0.mp4
迪克牛仔,https://vd2.bdstatic.com/mda-nibbumj3jzc16ej9/sc/cae_h264/1662975278800631180/mda-nibbumj3jzc16ej9.mp4
黄品源,https://vd2.bdstatic.com/mda-ni506bsvmmdm4bdv/sc/cae_h264/1662424001611264977/mda-ni506bsvmmdm4bdv.mp4
刘德华,https://vd2.bdstatic.com/mda-ni103pry5e4aqk39/sc/cae_h264/1662084584421447983/mda-ni103pry5e4aqk39.mp4
周华健,https://vd4.bdstatic.com/mda-nhw80v1ith9wa8e8/sc/cae_h264/1662013758665982272/mda-nhw80v1ith9wa8e8.mp4
伍佰,http://vd3.bdstatic.com/mda-pe07i71fkd531zj1/sc/bd265_cae_roi_v5/1682947766065803786/mda-pe07i71fkd531zj1.mp4
卓依婷,https://txmov2.a.kwimgs.com/bs3/video-hls/5252041701152345508_hlsb.m3u8
姜育恒,https://txmov2.a.kwimgs.com/bs3/video-hls/5228116320942620413_hlsb.m3u8
魏佳艺,https://txmov2.a.kwimgs.com/bs3/video-hls/5226427471582302532_hlsb.m3u8
云朵,https://txmov2.a.kwimgs.com/bs3/video-hls/5246412201505505933_hlsb.m3u8
韩宝仪,https://txmov2.a.kwimgs.com/bs3/video-hls/5250634324924434598_hlsb.m3u8
陈瑞,https://txmov2.a.kwimgs.com/bs3/video-hls/5204472429788093934_hlsb.m3u8
林俊杰,https://txmov2.a.kwimgs.com/bs3/video-hls/5231212549905475206_hlsb.m3u8
陶喆,https://txmov2.a.kwimgs.com/bs3/video-hls/5239938277375381611_hlsb.m3u8
汪明荃,https://txmov2.a.kwimgs.com/bs3/video-hls/5202502102851767269_hlsb.m3u8
林忆莲,https://txmov2.a.kwimgs.com/bs3/video-hls/5250071375165662691_hlsb.m3u8
腾格尔,https://txmov2.a.kwimgs.com/bs3/video-hls/5242471550986018227_hlsb.m3u8
许蒿,https://txmov2.a.kwimgs.com/bs3/video-hls/5246693673328160378_hlsb.m3u8
S.H.E,https://vd2.bdstatic.com/mda-nkg6vju7i34is8z3/sc/cae_h264/1668668139955974515/mda-nkg6vju7i34is8z3.mp4
Beyond1,https://vd4.bdstatic.com/mda-pdmaxg5vf0bmrpxx/sc/cae_h264/1682179055724322707/mda-pdmaxg5vf0bmrpxx.mp4
beyond2,https://vd3.bdstatic.com/mda-nm75269264v485fe/sc/cae_h264/1670475833350119754/mda-nm75269264v485fe.mp4
beyond3,https://vd2.bdstatic.com/mda-nmbduj4y5qrhr14v/576p/h264/1670838831995101004/mda-nmbduj4y5qrhr14v.mp4
王菲1,https://vd4.bdstatic.com/mda-pg3m9czi01sgmas7/sc/cae_h264/1688505868106382211/mda-pg3m9czi01sgmas7.mp4
王菲2,https://vd3.bdstatic.com/mda-paj24ccexzab4113/sc/cae_h264/1674182919884158754/mda-paj24ccexzab4113.mp4
刀郎1,https://vd3.bdstatic.com/mda-pat22g6vrma1n8b2/576p/h264/1674869354107877822/mda-pat22g6vrma1n8b2.mp4
刀郎2,https://vd3.bdstatic.com/mda-pat2dzrxjp4fkzdb/576p/h264/1674870199072291490/mda-pat2dzrxjp4fkzdb.mp4
张国荣1,https://vd3.bdstatic.com/mda-na9i15iap05efpff/sc/cae_h264_delogo/1641828605628346695/mda-na9i15iap05efpff.mp4
张国荣2,https://vd2.bdstatic.com/mda-na8hrvu9tk4svhrf/sc/cae_h264_delogo/1642260080397657076/mda-na8hrvu9tk4svhrf.mp4
童安格1,https://vd2.bdstatic.com/mda-paj23qqh5q1c86qg/sc/cae_h264/1674182613788241332/mda-paj23qqh5q1c86qg.mp4
童安格2,https://txmov2.a.kwimgs.com/bs3/video-hls/5251760219003853218_hlsb.m3u8
林志炫1,https://vd2.bdstatic.com/mda-ni40rrekfe43ip3f/sc/cae_h264/1662338985564650327/mda-ni40rrekfe43ip3f.mp4
林志炫2,https://txmov2.a.kwimgs.com/bs3/video-hls/5253449075409106514_hlsb.m3u8
任贤齐1,https://vd2.bdstatic.com/mda-nksbd58xaz4z1t64/sc/cae_h264/1669538442443360196/mda-nksbd58xaz4z1t64.mp4
任贤齐2,https://txmov2.a.kwimgs.com/bs3/video-hls/5254012023525680703_hlsb.m3u8
陈淑桦1,https://vd2.bdstatic.com/mda-paib4m1zb47fz3j0/sc/cae_h264/1674117441894799856/mda-paib4m1zb47fz3j0.mp4
陈淑桦2,https://txmov2.a.kwimgs.com/bs3/video-hls/5207850128833175307_hlsb.m3u8
后街男孩,https://vd2.bdstatic.com/mda-par8z6y3utptip75/hd/cae_h264/1674717583528229786/mda-par8z6y3utptip75.mp4
动力火车,https://vd3.bdstatic.com/mda-paf2igxsejppa5pp/hd/cae_h264/1673837006365021404/mda-paf2igxsejppa5pp.mp4
草蜢乐队,https://vd3.bdstatic.com/mda-pab6g9c7wiiqtrga/hd/cae_h264/1673505526767573188/mda-pab6g9c7wiiqtrga.mp4
小虎队,https://vd2.bdstatic.com/mda-paa30i5xz1kit41f/hd/cae_h264/1673418932656982871/mda-paa30i5xz1kit41f.mp4
五月天,https://vd2.bdstatic.com/mda-pa95ycptd1myw460/hd/cae_h264/1673353422131457347/mda-pa95ycptd1myw460.mp4

经典,https://txmov2.a.kwimgs.com/bs3/video-hls/5211790793651941963_hlsb.m3u8
串烧,https://txmov2.a.kwimgs.com/bs3/video-hls/5198561450301066675_hlsb.m3u8
网络神曲,https://alimov2.a.kwimgs.com/bs3/video-hls/5223049755640550547_hlsb.m3u8
国语老歌合集1,https://vd3.bdstatic.com/mda-peb3rhxk5uyvghpj/720p/h264/1683859549697235538/mda-peb3rhxk5uyvghpj.mp4
国语老歌合集2,https://vd2.bdstatic.com/mda-ped1sgxncbswrexk/720p/h264/1684027353141147241/mda-ped1sgxncbswrexk.mp4
国语老歌合集3,https://vd3.bdstatic.com/mda-peg3z4yjn9bkgz31/720p/h264/1684292099467092819/mda-peg3z4yjn9bkgz31.mp4
国语老歌合集4,https://vd3.bdstatic.com/mda-peg44n9z66qk9z38/1080p/cae_h264/1684481766710705634/mda-peg44n9z66qk9z38.mp4
国语老歌合集5,https://vd3.bdstatic.com/mda-peg4c13vtwdfmyhh/720p/h264/1684292959661351663/mda-peg4c13vtwdfmyhh.mp4
国语老歌合集6,https://vd3.bdstatic.com/mda-peg4gw5z4ijcmmb8/1080p/cae_h264/1684546102296835094/mda-peg4gw5z4ijcmmb8.mp4
影视金曲,https://alimov2.a.kwimgs.com/upic/2023/03/06/23/BMjAyMzAzMDYyMzQ4MzZfMTczNjU5NDY5N185NzY2NDI1OTk4Ml8yXzM=_b_Bfab0ef5176e29b8495df21d906feb6ed.mp4

歌曲欣赏,#genre#
王馨-无悔爱过这一回,https://vd3.bdstatic.com/mda-qep7kribusgquqdz/sc/cae_h264/1716528480621318659/mda-qep7kribusgquqdz.mp4
光头易-情花枯萎蝶流泪,https://vd3.bdstatic.com/mda-qmb50pbeeaguvp8e/sc/cae_h264/1733974690505875497/mda-qmb50pbeeaguvp8e.mp4
刘晓超-不能不想你,https://vd3.bdstatic.com/mda-rd62wrwhthqyz2tc/sc/cae_h264/1743991629642672021/mda-rd62wrwhthqyz2tc.mp4
霍云龙-不做神来不做仙,https://vd3.bdstatic.com/mda-pci24rjngg7g0wyz/sc/cae_h264/1679189734386679265/mda-pci24rjngg7g0wyz.mp4
樊少华-不再打扰不再联系,https://vd3.bdstatic.com/mda-rb475gx956v1t0hq/720p/h264/1738731874950418634/mda-rb475gx956v1t0hq.mp4
崔伟立&孙艺琪-对着月亮默默许个愿,https://vd3.bdstatic.com/mda-qat44negafxepaag/1080p/cae_h264/1706500206745324622/mda-qat44negafxepaag.mp4
王小威-曾经痴情爱过你,https://vd3.bdstatic.com/mda-qg877xqsdyvxjzz0/1080p/cae_h264/1720612443632801554/mda-qg877xqsdyvxjzz0.mp4
泽尔丹&扎西措-今生相爱,https://vd3.bdstatic.com/mda-pjtewj68ab2kfe1c/1080p/cae_h264/1698500353261730854/mda-pjtewj68ab2kfe1c.mp4
张怡诺-愿你天天心情好,https://vd3.bdstatic.com/mda-pmc1s4k4fju5tba8/1080p/cae_h264/1702443122070069470/mda-pmc1s4k4fju5tba8.mp4
马健涛-你本来就很美,https://vd3.bdstatic.com/mda-ra06uyj1s8j827qm/1080p/cae_h264/1735707181187381596/mda-ra06uyj1s8j827qm.mp4
满天-惋情,https://vd3.bdstatic.com/mda-rctgtgzzr5hggr2p/1080p/cae_h264/1743162943602332009/mda-rctgtgzzr5hggr2p.mp4
正云-你是我的情恋,https://vd3.bdstatic.com/mda-qjwg9s3kb2i55nxx/360p/h264/1730374201163824409/mda-qjwg9s3kb2i55nxx.mp4
央金兰泽-爱在思金拉措,https://vd3.bdstatic.com/mda-pdgiyut8q0vgjscp/sc/cae_h264/1681744072022982194/mda-pdgiyut8q0vgjscp.mp4
谭明-今生我在修佛缘,https://vd3.bdstatic.com/mda-pch9dhwrtvibvcv9/720p/h264/1679122475781114488/mda-pch9dhwrtvibvcv9.mp4
王馨-无悔爱过这一回,https://vd3.bdstatic.com/mda-qep7kribusgquqdz/1080p/cae_h264/1716528480808917658/mda-qep7kribusgquqdz.mp4
孙火火-不富也镇宅,https://vd3.bdstatic.com/mda-rbtafpcdwv2h3npw/1080p/cae_h264/1740729661987334150/mda-rbtafpcdwv2h3npw.mp4
蒋婴-酒醉风雨情,https://vd3.bdstatic.com/mda-me34x03gyk6b6hp3/sc/cae_h264/1620099970140419937/mda-me34x03gyk6b6hp3.mp4
笑天-海风轻轻吹我心,https://vd3.bdstatic.com/mda-qkpz2w1h4h6swsn3/1080p/cae_h264/1732490911402022870/mda-qkpz2w1h4h6swsn3.mp4
马建涛-手心有你,https://vd3.bdstatic.com/mda-rd46fvk1f2g7b78r/1080p/cae_h264/1743827762209693280/mda-rd46fvk1f2g7b78r.mp4
王小虎-不能不想你,https://vd3.bdstatic.com/mda-rcnk068vaxd51g1f/1080p/cae_h264/1742746726685174849/mda-rcnk068vaxd51g1f.mp4
望山妹妹,https://vd3.bdstatic.com/mda-pkkjb9m6dqyexs1p/sc/cae_h264/1700585262456048144/mda-pkkjb9m6dqyexs1p.mp4
沐瑶-伤情2025,https://vd3.bdstatic.com/mda-rcgz30zfhqi4bqb5/sc/cae_h264/1742255029833131857/mda-rcgz30zfhqi4bqb5.mp4
孙茹雪-情网2025,https://vd3.bdstatic.com/mda-rbf3zvz4xfn3nymc/sc/cae_h264/1739674423652059446/mda-rbf3zvz4xfn3nymc.mp4
马健涛-搀扶,https://vd3.bdstatic.com/mda-rah7fxu6j5gur02i/sc/cae_h264/1737178247115004649/mda-rah7fxu6j5gur02i.mp4
万里长城永不倒,https://vd3.bdstatic.com/mda-rbsegxgnw6zyyp7c/sc/cae_h264/1740655709928777059/mda-rbsegxgnw6zyyp7c.mp4
朋友,https://vd3.bdstatic.com/mda-rcdc7pt5tty7671n/sc/cae_h264/1741946598639279692/mda-rcdc7pt5tty7671n.mp4
刀郎 - 披着羊皮的狼,https://vd3.bdstatic.com/mda-ph4476p58bjfinxf/360p/h264/1691204432779011219/mda-ph4476p58bjfinxf.mp4#http://em.21dtv.com/songs/60033386.mkv
刀郎 - 2002年的第一场雪,https://vd3.bdstatic.com/mda-pjvjhgsrf4rasgaz/360p/h264/1698673855248987419/mda-pjvjhgsrf4rasgaz.mp4#http://em.21dtv.com/songs/60016343.mkv
刀郎 - 冲动的惩罚,https://vd3.bdstatic.com/mda-nhnmqt5a238nkvyv/sc/cae_h264/1661344311866718676/mda-nhnmqt5a238nkvyv.mp4#http://em.21dtv.com/songs/60012854.mkv
龙飘飘-惜别的海岸,http://em.21dtv.com/songs/60048020.mkv
龙飘飘-后悔爱上你,http://em.21dtv.com/songs/60021088.mkv
龙飘飘-成长的岁月,http://em.21dtv.com/songs/60012581.mkv
高胜美-山地情歌,http://em.21dtv.com/songs/60037603.mkv
高胜美-潇洒的走,http://em.21dtv.com/songs/60049457.mkv
姜育恒-跟往事干杯,http://em.21dtv.com/songs/60018626.mkv
姜育恒-再回首,http://em.21dtv.com/songs/60056761.mkv
黄品源-小薇,http://em.21dtv.com/songs/60049784.mkv
黄品源-你怎么舍得我难过,http://em.21dtv.com/songs/60139311.mkv
张蔷-爱你在心口难开,http://em.21dtv.com/songs/60008040.mkv
