钉钉日本频道,#genre#
TV Asahi Channel 2,https://ca01.utako.moe/ex_ch2/index.m3u8
Fuji TV ONE,https://ca01.utako.moe/fuji_one/index.m3u8
Fuji TV TWO,https://ca01.utako.moe/fuji_two/index.m3u8
Fuji TV NEXT,https://ca01.utako.moe/fuji_next/index.m3u8
Neco Channel,https://ca01.utako.moe/neco/index.m3u8
Dlife,https://ca01.utako.moe/dlife/index.m3u8
Toei Channel,https://ca01.utako.moe/toei/index.m3u8
Fighting TV Samurai,https://ca01.utako.moe/fighting_tv/index.m3u8
Entermei Tele,https://ca01.utako.moe/entermei_tele/index.m3u8
Sport Live Plus,https://ca01.utako.moe/sport_live_plus/index.m3u8
Home Drama Channel,https://ca01.utako.moe/homedrama/index.m3u8
Channel Ginga,https://ca01.utako.moe/gingach/index.m3u8
Tabi Channel,https://ca01.utako.moe/tabi/index.m3u8

钉钉香港频道,#genre#
凤凰中文,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=OlLZMz&tk=R0LSTARpFa6S
凤凰资讯,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=lesj0P&tk=R0LSTARpFa6S
凤凰香港,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=KQWUdI&tk=R0LSTARpFa6S
凤凰中文,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=UzSuTO&tk=R0LSTARpFa6S
凤凰资讯,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=unzUKo&tk=R0LSTARpFa6S
凤凰香港,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=l8ExA1&tk=R0LSTARpFa6S
星空卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dLn5HM&tk=R0LSTARpFa6S
高清HD剧场,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=54TbPL&tk=R0LSTARpFa6S
钉钉法界,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=4PfKrZ&tk=R0LSTARpFa6S
TVB翡翠,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QuK0jD&tk=R0LSTARpFa6S
TVB翡翠(新加坡),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Mc2E4Y&tk=R0LSTARpFa6S
TVB翡翠(马来),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=aYtkwi&tk=R0LSTARpFa6S
TVB无线新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=m4hoOC&tk=R0LSTARpFa6S
TVB明珠(英),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6vFwo4&tk=R0LSTARpFa6S
TVB_Plus,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=p1N2dR&tk=R0LSTARpFa6S
TVB娱乐新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=WSNN8g&tk=R0LSTARpFa6S
TVB生活,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=I8Fytb&tk=R0LSTARpFa6S
ViuTV,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=EjHhBo&tk=R0LSTARpFa6S
ViuTV6,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fJq2iu&tk=R0LSTARpFa6S
HOY76,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=cuIJvs&tk=R0LSTARpFa6S
HOY77,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1HgIAJ&tk=R0LSTARpFa6S
HOY78,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CxKBlc&tk=R0LSTARpFa6S
RTHK31,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=rbJTo5&tk=R0LSTARpFa6S
RTHK32,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=kHl8qP&tk=R0LSTARpFa6S
Now新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=RN59Wr&tk=R0LSTARpFa6S
Now财经,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=mECB5t&tk=R0LSTARpFa6S
Now星影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QK2meU&tk=R0LSTARpFa6S
Now爆谷台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=iWrMCs&tk=R0LSTARpFa6S
Now紫金国际,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=etNMYZ&tk=R0LSTARpFa6S
Now华剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=nImJ78&tk=R0LSTARpFa6S
Now剧集台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=WaszG2&tk=R0LSTARpFa6S
Now_英超,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0dc2x1&tk=R0LSTARpFa6S
Now_sport1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=yEuP5t&tk=R0LSTARpFa6S
Now_sport2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=nsl6ao&tk=R0LSTARpFa6S
Now_sport3,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=5FwlpU&tk=R0LSTARpFa6S
NowSports4,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=bR7bft&tk=R0LSTARpFa6S
NowSports5,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=BFU3en&tk=R0LSTARpFa6S
NowSports6,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=tgnw2T&tk=R0LSTARpFa6S
NowSports7,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=xqqM51&tk=R0LSTARpFa6S
TVB-Sports,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=vlNn2i&tk=R0LSTARpFa6S
TVB1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=lIXnD6&tk=R0LSTARpFa6S
TVBJ1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6AVc30&tk=R0LSTARpFa6S
TVBE,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=rtKc9W&tk=R0LSTARpFa6S
TVB明珠剧集,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=jExOQU&tk=R0LSTARpFa6S
TVB翡翠剧集,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=iuaBc4&tk=R0LSTARpFa6S
TVB黄金华剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=cjkMfn&tk=R0LSTARpFa6S
TVB星河(粤),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ADA4zU&tk=R0LSTARpFa6S
TVB星河(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=37ZrOR&tk=R0LSTARpFa6S
TVB功夫(粤),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=f0tqi5&tk=R0LSTARpFa6S
TVB功夫(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dLTE6n&tk=R0LSTARpFa6S
TVB千禧经典,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GbhQ7g&tk=R0LSTARpFa6S
MYTV_SUPER黄金翡翠,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=93w1sI&tk=R0LSTARpFa6S
MYTV_SUPER经典,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qCCeE7&tk=R0LSTARpFa6S
MYTV_SUPER黄金华剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=4Jw4zL&tk=R0LSTARpFa6S
MYTV_SUPER亚洲剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dJsiDB&tk=R0LSTARpFa6S
MYTV_SUPER少儿,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XjMsMX&tk=R0LSTARpFa6S
MYTV_SUPER_FREE,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=mIQo95&tk=R0LSTARpFa6S
MYTV_SUPER粤语片,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=5gnaZL&tk=R0LSTARpFa6S
MYTV_SUPER戏曲,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1ufewr&tk=R0LSTARpFa6S
天映经典,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=HZQ4rR&tk=R0LSTARpFa6S
天映经典2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ZfomnC&tk=R0LSTARpFa6S
天映频道,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=5zppDP&tk=R0LSTARpFa6S
天映频道2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=zQRTdP&tk=R0LSTARpFa6S
天映cm+,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gOyPWl&tk=R0LSTARpFa6S
龙祥电影(粤),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=rUcA1O&tk=R0LSTARpFa6S
龙祥时代(粤),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=FyzM5r&tk=R0LSTARpFa6S
东森电影(粤),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6VYlnM&tk=R0LSTARpFa6S
PopC电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=q3lsm6&tk=R0LSTARpFa6S
创世电视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=i9dtCm&tk=R0LSTARpFa6S
美亚电影(港),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=aaSpfy&tk=R0LSTARpFa6S
中国电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=VAoGNm&tk=R0LSTARpFa6S
重温经典,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=de1qg1&tk=R0LSTARpFa6S
88赛马,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=PuBiMg&tk=R0LSTARpFa6S
有线18赛马,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=K1w4TR&tk=R0LSTARpFa6S
无线18赛马,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Yo1iwu&tk=R0LSTARpFa6S
28AI赛马,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=MxoE2n&tk=R0LSTARpFa6S
Now668赛马,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=jcXCBs&tk=R0LSTARpFa6S
新加坡MU,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=EVJXki&tk=R0LSTARpFa6S
新加坡M5,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=N2CMLp&tk=R0LSTARpFa6S
新加坡M8,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=yrrxh0&tk=R0LSTARpFa6S
Hub娱家,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qrfu11&tk=R0LSTARpFa6S
Hub都会,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=IV3pwB&tk=R0LSTARpFa6S
八度空间(新加坡),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7JGoWx&tk=R0LSTARpFa6S
新时代1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=q8mmVl&tk=R0LSTARpFa6S
新时代2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=hoyJXc&tk=R0LSTARpFa6S
澳门频道,#genre#
澳视澳门,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XJxkIm&tk=R0LSTARpFa6S
澳门Macau,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=4lN8ku&tk=R0LSTARpFa6S
澳门资讯,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fs8DHP&tk=R0LSTARpFa6S
澳门莲花,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=JdSgQB&tk=R0LSTARpFa6S
澳门体育,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=xwpMCk&tk=R0LSTARpFa6S
澳门综艺,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=OJaXWg&tk=R0LSTARpFa6S




🌲钉钉台湾晴天,#genre#
中视,http://123.51.136.80:8301/0.ts
中视新闻,http://123.51.136.80:8302/0.ts
原住民卫视,http://123.51.136.80:8303/0.ts
公视,http://123.51.136.80:8305/0.ts
公视台语,http://123.51.136.80:8306/0.ts
客家卫视,http://123.51.136.80:8307/0.ts
民视,http://123.51.136.80:8308/0.ts
民视第一,http://123.51.136.80:8309/0.ts
民视新闻,http://123.51.136.80:8310/0.ts
民视台湾,http://123.51.136.80:8311/0.ts
小公视,http://123.51.136.80:8312/0.ts
台视,http://123.51.136.80:8313/0.ts
台视新闻,http://123.51.136.80:8314/0.ts
台视财经,http://123.51.136.80:8315/0.ts
台视综合,http://123.51.136.80:8316/0.ts
华视,http://123.51.136.80:8317/0.ts
华视教育体育文化,http://123.51.136.80:8318/0.ts
华视新闻,http://123.51.136.80:8319/0.ts
中视经典,http://123.51.136.80:8321/0.ts
中视菁采,http://123.51.136.80:8322/0.ts



TVBS新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=YI1auS&tk=R0LSTARpFa6S
TVBSNew,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=zwzjS3&tk=R0LSTARpFa6S







LIVE三立,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dMc0lI&tk=R0LSTARpFa6S
三立iNEWS,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=PIPIin&tk=R0LSTARpFa6S
中视新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XpGgnY&tk=R0LSTARpFa6S
台视新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=9tsTon&tk=R0LSTARpFa6S
中天新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=DNWzXP&tk=R0LSTARpFa6S
东森新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Jf4Wj9&tk=R0LSTARpFa6S
东森新闻(美),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dkv7on&tk=R0LSTARpFa6S
寰宇新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=9zAFmz&tk=R0LSTARpFa6S
寰宇新闻台湾,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ApjH7C&tk=R0LSTARpFa6S
民视新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=WLkzwc&tk=R0LSTARpFa6S
公视新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=4Wchet&tk=R0LSTARpFa6S
华视新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Id6EFA&tk=R0LSTARpFa6S
年代新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=tD9t41&tk=R0LSTARpFa6S
非凡新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=M9PQAz&tk=R0LSTARpFa6S
摬新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=cXL7q4&tk=R0LSTARpFa6S
中天CTI+,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=mXTxrB&tk=R0LSTARpFa6S
民视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1mzs5d&tk=R0LSTARpFa6S
中视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dv5BvP&tk=R0LSTARpFa6S
华视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=iIEeuY&tk=R0LSTARpFa6S
公视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=nShtwm&tk=R0LSTARpFa6S
台视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=S6zKhe&tk=R0LSTARpFa6S
中旺电视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=H4LvyR&tk=R0LSTARpFa6S
TVBS HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=y5rpcr&tk=R0LSTARpFa6S
TVBS欢乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=U4U9sU&tk=R0LSTARpFa6S
TVBS亚洲,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=OALi69&tk=R0LSTARpFa6S
TVBS精采,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GzYult&tk=R0LSTARpFa6S
TVBS综艺,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qj4f2z&tk=R0LSTARpFa6S
TVBS台剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gPrHtZ&tk=R0LSTARpFa6S
中天娱乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0m9sPd&tk=R0LSTARpFa6S
中天综合,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0itzDP&tk=R0LSTARpFa6S
中天亚洲,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Suvyx0&tk=R0LSTARpFa6S
八大第一,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=LGAhaX&tk=R0LSTARpFa6S
八大综合,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=F2jAr0&tk=R0LSTARpFa6S
八大戏剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=RkW4Sz&tk=R0LSTARpFa6S
八大娱乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=v32Spf&tk=R0LSTARpFa6S
八大精采,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7Pcuw2&tk=R0LSTARpFa6S
三立台湾,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6iVnAs&tk=R0LSTARpFa6S
三立综合,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=nMMmec&tk=R0LSTARpFa6S
三立都会,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=VCsCsj&tk=R0LSTARpFa6S
东森LIVE,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Qutf1h&tk=R0LSTARpFa6S
东森综合,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=vuJoTe&tk=R0LSTARpFa6S
东森戏剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=8dUcQO&tk=R0LSTARpFa6S
东森超视34.5,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=KQSCB5&tk=R0LSTARpFa6S
华视新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GdGDYl&tk=R0LSTARpFa6S
东森美洲,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7NYc7O&tk=R0LSTARpFa6S
东森电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=OmZkeg&tk=R0LSTARpFa6S
东森洋片,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=TU6y16&tk=R0LSTARpFa6S
东森Yoyo,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=NtHeTu&tk=R0LSTARpFa6S
民事第一,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=phlbMB&tk=R0LSTARpFa6S
民视台湾,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Iw7SdB&tk=R0LSTARpFa6S
民事综艺,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=3VYTMw&tk=R0LSTARpFa6S
民视旅遊,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=oj9kca&tk=R0LSTARpFa6S
民视戏剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=pnA6UU&tk=R0LSTARpFa6S
台视综合,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=hHLI9k&tk=R0LSTARpFa6S
中视经典,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=HV2xdS&tk=R0LSTARpFa6S
中视菁采,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=lmhyYc&tk=R0LSTARpFa6S
华艺中文,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=COfFUq&tk=R0LSTARpFa6S
智林体育,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ALLefj&tk=R0LSTARpFa6S
纬来体育,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6hoUPi&tk=R0LSTARpFa6S
纬来日本,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=TGxkSW&tk=R0LSTARpFa6S
纬来电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=NYvr95&tk=R0LSTARpFa6S
纬来综合,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QojpBR&tk=R0LSTARpFa6S
纬来精采,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=YXhkBD&tk=R0LSTARpFa6S
爱尔达影剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=RYimpu&tk=R0LSTARpFa6S
爱尔达娱乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1KtGTh&tk=R0LSTARpFa6S
爱尔达日韩,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Zn2Ofe&tk=R0LSTARpFa6S
爱尔达综合,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=sv0Olb&tk=R0LSTARpFa6S
靖天国际台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CVIil9&tk=R0LSTARpFa6S
靖天卡通,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1yx49A&tk=R0LSTARpFa6S
爱奇艺,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=aQ7BMU&tk=R0LSTARpFa6S
美亚电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7QLtZH&tk=R0LSTARpFa6S
龙华电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Cq3eoA&tk=R0LSTARpFa6S
龙华戏剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=5Elf6v&tk=R0LSTARpFa6S
龙华洋片,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GZxQB0&tk=R0LSTARpFa6S
龙华偶像,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=OhNrYb&tk=R0LSTARpFa6S
龙华日韩,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=N0rwv9&tk=R0LSTARpFa6S
龙华经典,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2b7KgF&tk=R0LSTARpFa6S
龙华卡通,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Xy9GMa&tk=R0LSTARpFa6S
龙祥时代,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XbCfXC&tk=R0LSTARpFa6S
好莱乌电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=8Lb1r6&tk=R0LSTARpFa6S
公视戏剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=r47dbT&tk=R0LSTARpFa6S
靖洋戲劇,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0UeKoq&tk=R0LSTARpFa6S
靖洋卡通,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=8Dexbt&tk=R0LSTARpFa6S
靖天卡通,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7qbN6E&tk=R0LSTARpFa6S
靖天戲劇,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=in4hZA&tk=R0LSTARpFa6S
靖天綜合,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Hht0Wb&tk=R0LSTARpFa6S
靖天日本,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=OnCUg2&tk=R0LSTARpFa6S
靖天育樂,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0MNe0b&tk=R0LSTARpFa6S
靖天國際,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7FMxG3&tk=R0LSTARpFa6S
靖天歡樂,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=sR6gh9&tk=R0LSTARpFa6S
靖天資訊,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GtmkOx&tk=R0LSTARpFa6S
靖天映畫,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=EUH6Vc&tk=R0LSTARpFa6S
靖天電影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ySVuNR&tk=R0LSTARpFa6S
壹电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=RXaASc&tk=R0LSTARpFa6S
采昌影剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uDKRwP&tk=R0LSTARpFa6S
国兴卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7XiQ2e&tk=R0LSTARpFa6S
猪哥亮歌厅秀,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=pyzfjL&tk=R0LSTARpFa6S
TTV,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ba63KF&tk=R0LSTARpFa6S
探索频道,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=UI7vNh&tk=R0LSTARpFa6S
台湾戏剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ZKTYop&tk=R0LSTARpFa6S
HBO_HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=g5OWI0&tk=R0LSTARpFa6S
HBO,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=e12MCj&tk=R0LSTARpFa6S
HBO_Signature,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=UL1TXa&tk=R0LSTARpFa6S
HBO_Hits,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1qSXnz&tk=R0LSTARpFa6S
