https://www.pantxt.top/f/vxquA/mjyy.txt
创建于
2024-08-11 
04:04:37
正式版修改于
2024/10/30 
15:25:49

友情提示,#genre#
2025-7-19,https://txmov2.a.kwimgs.com/upic/2023/07/24/10/BMjAyMzA3MjQxMDE1MzhfMzM5Njk4MTMyNl8xMDg3Mzg1MDIyNDlfMF8z_b_B619755058caa32de37dc1757898da485.mp4?clientCacheKey=3xnyr7n3qatxncg_b.mp4&tt=b&di=75b3b1ea&bp=10000
AlanWalker-feat,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg9qiM5gUo-tns8Qc.mp4

战马(女声版),https://pan.miaogongzi.net/f/VkRcp/%E6%88%98%E9%A9%AC.mp4
苹果香,https://pan.miaogongzi.net/f/3WBCn/%E8%8B%B9%E6%9E%9C%E9%A6%99.mp4
红枣树,https://kq.bgp.68tool.com/video/m3u8/2022/08/17/e4ce2ac7/playlist.m3u8
点歌 ,http://103.193.151.146/douyu1.php?id=3186217
今日DJ,https://vd4.bdstatic.com/mda-pjn3sa7dmtyshen0/sc/cae_h264/1698033977064729599/mda-pjn3sa7dmtyshen0.mp4
群友分享↓,
我夜夜夜难熬,https://txmov2.a.kwimgs.com/bs3/video-hls/5218546229898501298_hlsb.m3u8
爱情伤伤伤,https://txmov2.a.kwimgs.com/bs3/video-hls/5250915852086961243_hlsb.m3u8
音乐,https://txmov2.a.kwimgs.com/bs3/video-hls/5199124456992407253_hlsb.m3u8
半生,https://txmov2.a.kwimgs.com/upic/2025/02/27/20/BMjAyNTAyMjcyMDQzMjlfODQ5NjExMzg2XzE1Nzk5MzA1NTYxNF8yXzM=_b_B588fac84267e49e99b6e882224ebd7f5.mp4
天不下雨天不刮风天上有太阳,https://txmov2.a.kwimgs.com/bs3/video-hls/5210101979046879577_hlsb.m3u8
追逐梦想.绽放光芒,https://alimov2.a.kwimgs.com/bs3/video-hls/5196309706308017534_hlsb.m3u8
没有你我也可以过得更好,https://txmov2.a.kwimgs.com/bs3/video-hls/5215450004341382981_hlsb.m3u8
活力四射.魅力无限,https://txmov2.a.kwimgs.com/bs3/video-hls/5220516553981128406_hlsb.m3u8
粉红色的回忆,https://txmov2.a.kwimgs.com/bs3/video-hls/5255982399452049294_hlsb.m3u8
小妖怪,https://txmov2.a.kwimgs.com/upic/2025/02/23/11/BMjAyNTAyMjMxMTMxMjBfODQ5NjExMzg2XzE1NzY1NDQwNzU0Nl8yXzM=_b_Bd79b4e3dba218aa525b458ff36e77a7d.mp4
魔鬼爱人,https://txmov2.a.kwimgs.com/bs3/video-hls/5237123576880111406_hlsb.m3u8
没空听你画的大饼,https://txmov2.a.kwimgs.com/upic/2025/03/26/05/BMjAyNTAzMjYwNTU2MTJfODQ5NjExMzg2XzE2MDEyOTUxMTM3OF8yXzM=_b_B7d770be91b4b3ae40e980e3fbf52b3de.mp4
魅力无限。尽在舞台之上,https://txmov2.a.kwimgs.com/bs3/video-hls/5258234200219854618_hlsb.m3u8
大步的走,https://txmov2.a.kwimgs.com/bs3/video-hls/5211509350282812370_hlsb.m3u8
串烧DJ,https://txmov2.a.kwimgs.com/bs3/video-hls/5209539028919996765_hlsb.m3u8
在你的心里早已没了我,https://txmov2.a.kwimgs.com/bs3/video-hls/5207850178015970928_hlsb.m3u8
爱情错觉,https://txmov2.a.kwimgs.com/upic/2021/12/03/17/BMjAyMTEyMDMxNzUzMzZfMTAyMTczODk5MF82MjAwNTc5ODc1MF8yXzM=_b_B9501f37b5a1fd5ce0863dbf40c56c696.mp4
三月里的小雨vs回心转意,https://txmov2.a.kwimgs.com/bs3/video-hls/5204753954033282074_hlsb.m3u8
风中花雨楼,https://txmov2.a.kwimgs.com/bs3/video-hls/5243878978295213368_hlsb.m3u8
渴望,https://txmov2.a.kwimgs.com/bs3/video-hls/5253449127853304916_hlsb.m3u8
歌声与微笑,https://txmov2.a.kwimgs.com/upic/2025/04/08/09/BMjAyNTA0MDgwOTUxMzVfMjQ4MTA5ODU2NF8xNjEyMjM3ODc2NDJfMF8z_b_Be1245885ba83007b4e80ef5e9a97148e.mp4
爱上你我无怨无悔,https://txmov2.a.kwimgs.com/bs3/video-hls/5235434734056109630_fc824f044779b55a_9557_hlsb.m3u8
采蘑菇的小姑娘,https://txmov2.a.kwimgs.com/bs3/video-hls/5219390653252764057_hlsb.m3u8
春风何时来,https://vd3.bdstatic.com/mda-qekcb6t1fa63g6k5/1080p/cae_h264/1716328880007152145/mda-qekcb6t1fa63g6k5.mp4
迟来的爱,https://txmov2.a.kwimgs.com/bs3/video-hls/5254856510499730120_79dfa33eaf9a127e_1433_hlsb.m3u8
心雨,https://txmov2.a.kwimgs.com/bs3/video-hls/5237968006713049276_90ec950889775036_3174_hlsb.m3u8
歌曲,https://vd2.bdstatic.com/mda-mi1dd05gmhwejdwn/sc/cae_h264/1630576203346678103/mda-mi1dd05gmhwejdwn.mp4
恋曲1990,https://txmov2.a.kwimgs.com/bs3/video-hls/5253730609802108605_713d59747affac25_7919_hlsb.m3u8
甜蜜蜜,https://txmov2.a.kwimgs.com/bs3/video-hls/5237968013253389356_5cea678509b08697_8014_hlsb.m3u8
套马杆,https://txmov2.a.kwimgs.com/bs3/video-hls/5189554316341465838_560e5c96dffb4205_8383_hlsb.m3u8
童年,https://txmov2.a.kwimgs.com/bs3/video-hls/5190680214735045593_007f07d98dcb44fa_3728_hlsb.m3u8
特别的爱给特别的你,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086712236144840_647ff69abcc24407_6789_hlsb.m3u8
最美情缘,https://txmov2.a.kwimgs.com/bs3//video-hls/5225020159880159328_6b734db3aeeeef4c_8153_hlsb.m3u8
擦肩而过,https://txmov2.a.kwimgs.com/bs3/video-hls/5220516561874888671_54c79d855f898b4b_1690_hlsb.m3u8
九九女儿红,https://vd3.bdstatic.com/mda-nicgxbtr1z3mapqa/sc/cae_h264/1663070801277101183/mda-nicgxbtr1z3mapqa.mp4?pd=19&vt=1
人间第一情,https://vd3.bdstatic.com/mda-qcc6mc1wrsw3ddfh/hd/cae_h264/1710405234921058706/mda-qcc6mc1wrsw3ddfh.mp4?pd=19&vt=1
万爱千恩,https://vd3.bdstatic.com/mda-qb9ipxjp5rskxf5z/sc/cae_h264/1707725631158440695/mda-qb9ipxjp5rskxf5z.mp4?pd=19&vt=1
满天星辰不及你,https://vd7.bdstatic.com/mda-pcea0pjybya97xsx/sc/cae_h264/1678864519543864753/mda-pcea0pjybya97xsx.mp4
爱象一首歌,https://vd3.bdstatic.com/mda-pk09z725cb5rmn9c/sc/cae_h264/1698831667790022873/mda-pk09z725cb5rmn9c.mp4?pd=19&vt=1
漫步人生路,https://vdse.bdstatic.com//28c9125c518477334c38ea948874e57b.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-08-23T19%3A43%3A22Z%2F-1%2Fhost%2F41d87fc263a70d9a22f45218a5f8cafa0d36512d454bc0d1a11b08badaec1275&vid=16778566915440458106
传灯,https://vd3.bdstatic.com/mda-pdps8cf5sj9gaihd/360p/h264/1682361234575040308/mda-pdps8cf5sj9gaihd.mp4
真真假假,https://vd3.bdstatic.com/mda-mdgg5s6wandthftm/360p/h264_cae/1620935029022536135/mda-mdgg5s6wandthftm.mp4
武侠影视歌曲,https://vd3.bdstatic.com/mda-pedphgdraf4r0hyr/cae_h264/1684171951280384003/mda-pedphgdraf4r0hyr.mp4
音乐欣赏,https://vd3.bdstatic.com/mda-pekbzwejzv6m3h6d/hd/cae_h264/1684832121402940833/mda-pekbzwejzv6m3h6d.mp4
又见山里红,https://vd3.bdstatic.com/mda-qhnnduc8w72ejyjb/sc/cae_h264/1724458110295042483/mda-qhnnduc8w72ejyjb.mp4?pd=19&vt=1
红颜知己,https://vdse.bdstatic.com//252a77dd63cb8fd4130bbc5c8190b4a0.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-11-08T06%3A41%3A34Z%2F-1%2Fhost%2F95ef3c6ccd30ed6cf547063e6d65d82f23a0672414638afd26833d6604027fcf&vid=16956617984407267953
西海情歌,https://vd3.bdstatic.com/mda-njf2y1ydzkkp2naw/sc/cae_h264/1665887374587228332/mda-njf2y1ydzkkp2naw.mp4?pd=19&vt=1
爱是你我,https://vd3.bdstatic.com/mda-qie68n1jizaqdwwp/sc/cae_h264/1726376036444653133/mda-qie68n1jizaqdwwp.mp4?pd=19&vt=1
等你等了那么久,https://vd3.bdstatic.com/mda-qh69a8xssnud2grk/hd/cae_h264/1723013015183209280/mda-qh69a8xssnud2grk.mp4?pd=19&vt=1
醉酒的蝴蝶,https://vd3.bdstatic.com/mda-nc0wcbmfvi6tq2tp/360p/h264_delogo/1646170591789675685/mda-nc0wcbmfvi6tq2tp.mp4?pd=19&vt=1
万爱千恩,http://em.21dtv.com/songs/60171731.mkv
站着等你三千年,http://em.21dtv.com/songs/60170285.mkv
飘雪,https://vdse.bdstatic.com//185110fe36cdabbe52cb5d42d5d51731.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2025-01-24T07%3A38%3A23Z%2F-1%2Fhost%2Fe0fa6f3279a2e7ffd702c81350490eafceb100d8cedc995ce3721589163e38b7&vid=9698093003597951199
如愿,https://vd3.bdstatic.com/mda-rge43033a8tdhhbr/sc/cae_h264/1752549072808875831/mda-rge43033a8tdhhbr.mp4?pd=19&vt=1

1,https://txmov2.a.kwimgs.com/bs3/video-hls/5241064182578720047_hlsb.m3u8
2,https://txmov2.a.kwimgs.com/bs3/video-hls/5212072260092057079_hlsb.m3u8
3,https://txmov2.a.kwimgs.com/bs3/video-hls/5242753034343486289_hlsb.m3u8
4,https://txmov2.a.kwimgs.com/bs3/video-hls/5198842939603054058_hlsb.m3u8
5,https://txmov2.a.kwimgs.com/bs3/video-hls/5198561464421856962_hlsb.m3u8
6,https://txmov2.a.kwimgs.com/bs3/video-hls/5224738634289133629_hlsb.m3u8
7,https://txmov2.a.kwimgs.com/bs3/video-hls/5248945482836176798_hlsb.m3u8
8,https://txmov2.a.kwimgs.com/bs3/video-hls/5190680162007026195_hlsb.m3u8
9,https://txmov2.a.kwimgs.com/bs3/video-hls/5193213438727387855_hlsb.m3u8
车模MV,https://txmov2.a.kwimgs.com/bs3/video-hls/5190680162007026195_hlsb.m3u8
车模MV1,https://txmov2.a.kwimgs.com/bs3/video-hls/5224738634289133629_hlsb.m3u8
车模MV2,https://txmov2.a.kwimgs.com/bs3/video-hls/5198561464421856962_hlsb.m3u8
车模MV3,https://txmov2.a.kwimgs.com/bs3/video-hls/5241064182578720047_hlsb.m3u8
车模MV4,https://txmov2.a.kwimgs.com/bs3/video-hls/5248945482836176798_hlsb.m3u8
车模MV5,https://txmov2.a.kwimgs.com/bs3/video-hls/5242753034343486289_hlsb.m3u8
车模MV6,https://txmov2.a.kwimgs.com/bs3/video-hls/5198842939603054058_hlsb.m3u8
车模MV7,https://txmov2.a.kwimgs.com/bs3/video-hls/5193213438727387855_hlsb.m3u8
车模MV8,https://txmov2.a.kwimgs.com/bs3/video-hls/5212072260092057079_hlsb.m3u8
荷东-超强劲爆重低音舞曲,https://vd3.bdstatic.com/mda-pcccssp7ygnfcvkh/720p/h264/1678698256888850991/mda-pcccssp7ygnfcvkh.mp4
十二大美女,http://jsmov2.a.yximgs.com/bs3/video-hls/5207287104753371853_hlsb.m3u8
秋月剪水,http://zzy789.xyz/douyu1.php?id=9588891
未来频道,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8

香港功夫台,http://huanqiuzhibo.cn/manifest/douyu.php?id=9548850
邵氏影院,http://jiaojirentv.top/2020/dy.php?id=4246519
港视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236227/index.m3u8?

央视频道,#genre#
CCTV-1综合频道,http://[2409:8087:1a15:10d1::36]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-1综合频道,http://[2409:8087:1a15:10d1::34]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV-2财经频道,http://[2409:8087:1a15:10d1::38]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-3综艺频道,http://[2409:8087:1a15:10d1::36]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4中文国际频道,http://[2409:8087:1a15:10d1::38]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5体育频道,http://[2409:8087:1a15:10d1::39]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+体育赛事频道,http://[2409:8087:1a15:10d1::37]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6电影频道,http://[2409:8087:1a15:10d1::34]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7国防军事频道,http://[2409:8087:1a15:10d1::37]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226398/index.m3u8
CCTV-7国防军事频道,http://[2409:8087:1a15:10d1::35]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8电视剧频道,http://[2409:8087:1a15:10d1::38]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9纪录频道,http://[2409:8087:1a15:10d1::34]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10科教频道,http://[2409:8087:1a15:10d1::33]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11戏曲频道,http://[2409:8087:1a15:10d1::34]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV-12社会与法频道,http://[2409:8087:1a15:10d1::34]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-12社会与法频道,http://[2409:8087:1a15:10d1::36]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8
CCTV-13新闻频道,http://[2409:8087:1a15:10d1::35]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14少儿频道,http://[2409:8087:1a15:10d1::37]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8
CCTV-15音乐频道,http://[2409:8087:1a15:10d1::36]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-16奥林匹克频道,http://[2409:8087:1a15:10d1::35]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17农业农村频道,http://[2409:8087:1a15:10d1::36]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CETV1,http://[2409:8087:1a15:10d1::35]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8



卫视频道,#genre#
北京卫视,http://[2409:8087:1a15:10d1::38]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
东方卫视,http://[2409:8087:1a15:10d1::37]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
深圳卫视,http://[2409:8087:1a15:10d1::33]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8

重庆卫视,http://[2409:8087:1a15:10d1::36]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
江苏卫视,http://[2409:8087:1a15:10d1::33]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
浙江卫视,http://[2409:8087:1a15:10d1::36]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8

山东卫视,http://[2409:8087:1a15:10d1::33]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
天津卫视,http://[2409:8087:1a15:10d1::36]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
贵州卫视,http://[2409:8087:1a15:10d1::34]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
四川卫视,http://[2409:8087:1a15:10d1::34]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
云南卫视,http://[2409:8087:1a15:10d1::39]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
黑龙江卫视,http://[2409:8087:1a15:10d1::33]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
安徽卫视,http://[2409:8087:1a15:10d1::39]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
山西卫视,http://[2409:8087:1a15:10d1::38]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8
江西卫视,http://[2409:8087:1a15:10d1::34]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
湖北卫视,http://[2409:8087:1a15:10d1::36]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
旅游卫视,http://[2409:8087:1a15:10d1::38]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226445/index.m3u8
陕西卫视,http://[2409:8087:1a15:10d1::37]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
东南卫视,http://[2409:8087:1a15:10d1::39]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
吉林卫视,http://[2409:8087:1a15:10d1::36]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
辽宁卫视,http://[2409:8087:1a15:10d1::37]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
内蒙古卫视,http://[2409:8087:1a15:10d1::35]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8
湖南卫视,http://[2409:8087:1a15:10d1::35]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
广东卫视,http://[2409:8087:1a15:10d1::37]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
河南卫视,http://[2409:8087:1a15:10d1::36]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
河北卫视,http://[2409:8087:1a15:10d1::38]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
青海卫视,http://[2409:8087:1a15:10d1::39]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
西藏卫视,http://[2409:8087:1a15:10d1::39]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8
甘肃卫视,http://[2409:8087:1a15:10d1::31]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
兵团卫视,http://[2409:8087:1a15:10d1::39]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
CCTV中视购物,http://[2409:8087:1a15:10d1::34]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226091/index.m3u8
CGTN记录,http://[2409:8087:1a15:10d1::34]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8


中国功夫,http://[2409:8087:1a15:10d1::34]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
卡酷少儿,http://[2409:8087:1a15:10d1::33]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
哈哈炫动,http://[2409:8087:1a15:10d1::39]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
家庭剧场,http://[2409:8087:1a15:10d1::36]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
山东教育卫视,http://[2409:8087:1a15:10d1::33]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225655/index.m3u8
康巴卫视,http://[2409:8087:1a15:10d1::38]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
延边卫视,http://[2409:8087:1a15:10d1::39]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
炫舞未来,http://[2409:8087:1a15:10d1::34]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225719/index.m3u8
爱情喜剧,http://[2409:8087:1a15:10d1::36]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
