https://freetv.fun/test_channels_hong_kong_new.txt
#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


綜藝,#genre#
TVB Plus,https://stream1.freetv.fun/atv-plus-3.m3u8
TVB Plus[geo-blocked],https://stream1.freetv.fun/tvbplus-2.ctv
TVB Plus,https://stream1.freetv.fun/tvbplus-3.m3u8
TVB Plus,https://stream1.freetv.fun/etv-plus-2.m3u8
TVB Plus,https://stream1.freetv.fun/ntv-plus-2.m3u8
TVB娛樂新聞(MAS),https://stream1.freetv.fun/tvbyu-le-xin-wen-6.ctv
ViuTV HD,https://stream1.freetv.fun/viutv-6.m3u8
ViuTV HD,https://stream1.freetv.fun/viutv-11.m3u8
ViuTV HD,https://stream1.freetv.fun/viutv-10.ctv
ViuTV HD,https://stream1.freetv.fun/viutv-7.m3u8
ViuTV HD,https://stream1.freetv.fun/viutv6-3.m3u8
ViuTV HD[geo-blocked],https://stream1.freetv.fun/viutv1-2.ctv
ViuTV HD,https://stream1.freetv.fun/viutv--r-1.m3u8
ViuTV HD,https://stream1.freetv.fun/viutv-9.ctv
ViuTV HD,https://stream1.freetv.fun/viutv-1.ctv
ViuTVsix,https://stream1.freetv.fun/viutvsix--r-1.m3u8
ViuTVsix,https://stream1.freetv.fun/viutvsix--r-2.m3u8
星空衛視[geo-blocked],https://stream1.freetv.fun/xing-kong-wei-shi-2.ctv
星空衛視,https://stream1.freetv.fun/xing-kong-wei-shi-13.m3u8
星空衛視,https://stream1.freetv.fun/xing-kong-wei-shi-4.ctv
星空衛視,https://stream1.freetv.fun/xing-kong-wei-shi-1.ctv
香港衛視文藝臺,https://stream1.freetv.fun/xiang-gang-wei-shi-6.m3u8
香港衛視文藝臺,https://stream1.freetv.fun/xiang-gang-wei-shi-10.m3u8
香港衛視文藝臺,https://stream1.freetv.fun/xiang-gang-wei-shi-wen-yi-1.m3u8
綜合,#genre#
ATV WORLD,https://stream1.freetv.fun/tvri-world-3.m3u8
Now TV,https://stream1.freetv.fun/now-tv-1.m3u8
Now TV,https://stream1.freetv.fun/now-tv-2.m3u8
翡翠台,https://stream1.freetv.fun/fei-cui-14.ctv
翡翠台,https://stream1.freetv.fun/fei-cui-18.m3u8
翡翠台,https://stream1.freetv.fun/fei-cui-16.ctv
翡翠台[geo-blocked],https://stream1.freetv.fun/fei-cui-22.ctv
翡翠台,https://stream1.freetv.fun/fei-cui-10.ctv
翡翠台,https://stream1.freetv.fun/fei-cui-12.m3u8
鳳凰衛視FHD,https://stream1.freetv.fun/feng-huang-wei-shi-xiang-gang-4.m3u8
鳳凰衛視FHD,https://stream1.freetv.fun/feng-huang-wei-shi---r-2.m3u8
鳳凰衛視FHD,https://stream1.freetv.fun/feng-huang-wei-shi---r-1.m3u8
鳳凰衛視FHD,https://stream1.freetv.fun/feng-huang-wei-shi-xiang-gang-5.ctv
鳳凰衛視FHD,https://stream1.freetv.fun/feng-huang-wei-shi-5.m3u8
鳳凰衛視中文,https://stream1.freetv.fun/feng-huang-zhong-wen-9.ctv
鳳凰衛視中文,https://stream1.freetv.fun/feng-huang-zhong-wen-3.ctv
鳳凰衛視中文[geo-blocked],https://stream1.freetv.fun/feng-huang-wei-shi-zhong-wen-1.ctv
鳳凰衛視中文,https://stream1.freetv.fun/feng-huang-zhong-wen---r-2.m3u8
鳳凰衛視中文,https://stream1.freetv.fun/feng-huang-zhong-wen---r-1.m3u8
鳳凰衛視中文,https://stream1.freetv.fun/feng-huang-zhong-wen-2.m3u8
鳳凰衛視中文,https://stream1.freetv.fun/feng-huang-wei-shi-zhong-wen-3.ctv
鳳凰衛視中文,https://stream1.freetv.fun/feng-huang-zhong-wen-8.m3u8
鳳凰衛視中文[geo-blocked],https://stream1.freetv.fun/feng-huang-wei-shi-11.ctv
鳳凰香港[geo-blocked],https://stream1.freetv.fun/feng-huang-xiang-gang-12.ctv
鳳凰香港,https://stream1.freetv.fun/feng-huang-xiang-gang-11.ctv
鳳凰香港,https://stream1.freetv.fun/feng-huang-xiang-gang-5.ctv
鳳凰香港,https://stream1.freetv.fun/feng-huang-xiang-gang-9.m3u8
鳳凰香港,https://stream1.freetv.fun/feng-huang-xiang-gang-2.ctv
鳳凰香港,https://stream1.freetv.fun/feng-huang-wei-shi-xiang-gang-2.ctv
鳳凰香港,https://stream1.freetv.fun/feng-huang-xiang-gang---r-1.m3u8
鳳凰香港,https://stream1.freetv.fun/feng-huang-xiang-gang---r-3.m3u8
鳳凰香港,https://stream1.freetv.fun/feng-huang-xiang-gang---r-2.m3u8
鳳凰香港,https://stream1.freetv.fun/feng-huang-xiang-gang-3.ctv
鳳凰香港,https://stream1.freetv.fun/feng-huang-xiang-gang-6.m3u8
鳳凰香港[geo-blocked],https://stream1.freetv.fun/feng-huang-xiang-gang-4.ctv
鳳凰香港,https://stream1.freetv.fun/feng-huang-xiang-gang-14.m3u8
兒童,#genre#
Animax(HK),https://stream1.freetv.fun/cctv-5-ti-yu-sai-shi-9.m3u8
Animax(HK),https://stream1.freetv.fun/cctv-5-ti-yu-sai-shi-10.m3u8
Animax(HK),https://stream1.freetv.fun/cctv-5-ti-yu-sai-shi-4.m3u8
Animax(HK)[geo-blocked],https://stream1.freetv.fun/animax-9.ctv
Animax(HK),https://stream1.freetv.fun/animax-2.m3u8
Animax(HK),https://stream1.freetv.fun/cctv-5-ti-yu-sai-shi-6.m3u8
Animax(HK),https://stream1.freetv.fun/cctv-5-ti-yu-sai-shi-1.m3u8
Animax(HK),https://stream1.freetv.fun/cctv-5-ti-yu-sai-shi-3.m3u8
Animax(HK),https://stream1.freetv.fun/cctv-5-ti-yu-sai-shi-5.m3u8
Animax(HK),https://stream1.freetv.fun/cctv-5-ti-yu-sai-shi-7.m3u8
Animax(HK),https://stream1.freetv.fun/cctv-5-ti-yu-sai-shi-8.m3u8
Animax(HK),https://stream1.freetv.fun/cctv-5-ti-yu-sai-shi-11.m3u8
知識,#genre#
Discovery Kids,https://stream1.freetv.fun/discovery-kids-5.ctv
電影,#genre#
AXN(HK),https://stream1.freetv.fun/axn--r-3.m3u8
AXN(HK)[geo-blocked],https://stream1.freetv.fun/axn--r-4.m3u8
MOVIE MOVIE,https://stream1.freetv.fun/tvs-western-movie-2.m3u8
MOVIE MOVIE,https://stream1.freetv.fun/mytime-movie-network-4.m3u8
MOVIE MOVIE,https://stream1.freetv.fun/tvs-drive-in-movie-1.m3u8
MOVIE MOVIE,https://stream1.freetv.fun/mytime-movie-network-2.m3u8
MOVIE MOVIE,https://stream1.freetv.fun/xuan-yi-movie-1.ctv
MOVIE MOVIE,https://stream1.freetv.fun/movies-1.m3u8
MOVIE MOVIE,https://stream1.freetv.fun/paramount-movie-channel-1.m3u8
MOVIE MOVIE,https://stream1.freetv.fun/paramount-movie-channel-2.m3u8
MOVIE MOVIE,https://stream1.freetv.fun/mytime-movie-network-1.m3u8
MOVIE MOVIE,https://stream1.freetv.fun/xuan-yi-movie-2.ctv
MOVIE MOVIE,https://stream1.freetv.fun/tvs-drive-in-movie-2.m3u8
MOVIE MOVIE,https://stream1.freetv.fun/mytime-movie-network-5.m3u8
MOVIE MOVIE,https://stream1.freetv.fun/movies-2.m3u8
MOVIE MOVIE,https://stream1.freetv.fun/tvs-western-movie-1.m3u8
MOVIE MOVIE,https://stream1.freetv.fun/movie-sphere-1.m3u8
MOVIE MOVIE,https://stream1.freetv.fun/mytime-movie-network-3.m3u8
Popc[geo-blocked],https://stream1.freetv.fun/popc-3.ctv
Popc,https://stream1.freetv.fun/popc-5.m3u8
Popc[geo-blocked],https://stream1.freetv.fun/popc-4.m3u8
TVB亞洲劇,https://stream1.freetv.fun/tvbsya-zhou-14.m3u8
TVB亞洲劇,https://stream1.freetv.fun/tvbsya-zhou-15.m3u8
TVB亞洲劇,https://stream1.freetv.fun/tvbsya-zhou-8.m3u8
TVB亞洲劇,https://stream1.freetv.fun/tvbsya-zhou-11.m3u8
TVB星河(粵),https://stream1.freetv.fun/tvbxing-he-4.ctv
亞洲電影,https://stream1.freetv.fun/gong-fu-dian-ying-1.m3u8
周星馳專輯[geo-blocked],https://stream1.freetv.fun/zhou-xing-chi-2.m3u8
周星馳專輯[geo-blocked],https://stream1.freetv.fun/zhou-xing-chi-1.m3u8
明珠[geo-blocked],https://stream1.freetv.fun/ming-zhu-5.ctv
明珠,https://stream1.freetv.fun/ming-zhu-10.ctv
明珠,https://stream1.freetv.fun/ming-zhu-12.m3u8
明珠臺(備),https://stream1.freetv.fun/ming-zhu-3.ctv
明珠臺(備),https://stream1.freetv.fun/ming-zhu-9.m3u8
明珠臺(備),https://stream1.freetv.fun/ming-zhu-11.ctv
明珠臺(備),https://stream1.freetv.fun/ming-zhu-1.m3u8
明珠臺(備),https://stream1.freetv.fun/ming-zhu-2.ctv
美亞電影台[HK],https://stream1.freetv.fun/mei-ya-dian-ying---r-3.m3u8
鳳凰電影,https://stream1.freetv.fun/feng-huang-dian-ying-4.m3u8
鳳凰電影,https://stream1.freetv.fun/feng-huang-wei-shi-dian-ying-2.ctv
鳳凰電影[geo-blocked],rtmp://39.107.120.164/live/diyp_fhdy
新聞,#genre#
CCTV1(RTHK33)[ipv6],https://stream1.freetv.fun/ipv6-cctv-1-3.m3u8
CCTV1(RTHK33)[geo-blocked],https://stream1.freetv.fun/cctv1-6.ctv
CCTV1(RTHK33),https://stream1.freetv.fun/cctv1-30.ctv
CCTV1(RTHK33)[geo-blocked],https://stream1.freetv.fun/cctv1-73.ctv
CCTV1(RTHK33)[geo-blocked],https://stream1.freetv.fun/cctv1-57.ctv
CCTV1(RTHK33)[geo-blocked],https://stream1.freetv.fun/cctv1-5.m3u8
CCTV1(RTHK33),https://stream1.freetv.fun/cctv1-56.ctv
CCTV1(RTHK33),https://stream1.freetv.fun/cctv1-32.ctv
CCTV1(RTHK33)[ipv6],https://stream1.freetv.fun/ipv6-cctv1-62.m3u8
CCTV1(RTHK33)[geo-blocked],https://stream1.freetv.fun/cctv1-61.m3u8
CCTV1(RTHK33)[geo-blocked],https://stream1.freetv.fun/cctv1-82.m3u8
CCTV1(RTHK33),https://stream1.freetv.fun/cctv1--n-1.ctv
CCTV1(RTHK33),https://stream1.freetv.fun/cctv1-90.m3u8
CCTV1(RTHK33),https://stream1.freetv.fun/cctv1-64.m3u8
CCTV1(RTHK33),https://stream1.freetv.fun/cctv1-9.m3u8
CCTV1(RTHK33),https://stream1.freetv.fun/cctv1-79.m3u8
CCTV1(RTHK33),https://stream1.freetv.fun/cctv1-15.m3u8
CCTV1(RTHK33),https://stream1.freetv.fun/cctv1-78.ctv
CCTV1(RTHK33),https://stream1.freetv.fun/cctv1-3.m3u8
CCTV1(RTHK33)[ipv6],https://stream1.freetv.fun/ipv6-cctv1-50.m3u8
NOW 新聞臺[geo-blocked],https://stream1.freetv.fun/nowxin-wen-1.ctv
RTHK32,https://stream1.freetv.fun/rthk32-1.m3u8
RTHK32,https://stream1.freetv.fun/rthk32-5.m3u8
RTHK32[geo-blocked],https://stream1.freetv.fun/rhk-32-1.ctv
RTHK32,https://stream1.freetv.fun/rthk32--r-1.m3u8
RTHK32,https://stream1.freetv.fun/rthk32--r-2.m3u8
RTHK32,https://stream1.freetv.fun/rthk32--r-3.m3u8
港臺電視32,https://stream1.freetv.fun/gang-tai-dian-shi--32-3.ctv
無線新聞台,https://stream1.freetv.fun/wu-xian-xin-wen-2.m3u8
無線新聞台,https://stream1.freetv.fun/wu-xian-xin-wen-4.m3u8
無線新聞台,https://stream1.freetv.fun/wu-xian-xin-wen-3.ctv
無線新聞台,https://stream1.freetv.fun/wu-xian-xin-wen-10.m3u8
無線新聞臺,https://stream1.freetv.fun/wu-xian-xin-wen-14.ctv
鳳凰資訊HD,https://stream1.freetv.fun/feng-huang-zi-xun-2.m3u8
鳳凰資訊HD,https://stream1.freetv.fun/feng-huang-zi-xun---r-3.m3u8
鳳凰資訊HD,https://stream1.freetv.fun/feng-huang-zi-xun---r-2.m3u8
鳳凰資訊HD,https://stream1.freetv.fun/feng-huang-zi-xun-24.ctv
鳳凰資訊HD,https://stream1.freetv.fun/feng-huang-zi-xun-15.m3u8
鳳凰資訊HD,https://stream1.freetv.fun/feng-huang-zi-xun-20.ctv
鳳凰資訊HD,https://stream1.freetv.fun/feng-huang-zi-xun-9.ctv
鳳凰資訊HD[geo-blocked],https://stream1.freetv.fun/feng-huang-zi-xun-14.ctv
其它,#genre#
snaap!,https://stream1.freetv.fun/snap-1.m3u8
劇集1臺[geo-blocked],https://stream1.freetv.fun/ju-ji-2.m3u8
星空衛視國際頻道[geo-blocked],https://stream1.freetv.fun/xing-kong-guo-ji-1.m3u8
甄子丹影視[geo-blocked],https://stream1.freetv.fun/zhen-zi-dan-dian-ying-2.ctv
甄子丹影視[geo-blocked],https://stream1.freetv.fun/zhen-zi-dan-dian-ying-1.ctv
甄子丹影視[geo-blocked],https://stream1.freetv.fun/zhen-zi-dan-dian-ying-4.ctv
運動,#genre#
Bein Sports 1(HK),https://stream1.freetv.fun/hse24-trend-1.m3u8
