

移动超清,#genre#
湖北卫视,http://112.27.235.94:8000/hls/41/index.m3u8
江西卫视,http://112.27.235.94:8000/hls/44/index.m3u8
内蒙古卫视,http://112.27.235.94:8000/hls/49/index.m3u8
山西卫视,http://112.27.235.94:8000/hls/45/index.m3u8
陕西卫视,http://112.27.235.94:8000/hls/43/index.m3u8
四川卫视,http://112.27.235.94:8000/hls/35/index.m3u8
云南卫视,http://112.27.235.94:8000/hls/40/index.m3u8
重温经典,http://112.27.235.94:8000/hls/50/index.m3u8
公共,http://112.27.235.94:8000/hls/23/index.m3u8
经济生活,http://112.27.235.94:8000/hls/22/index.m3u8
科创,http://112.27.235.94:8000/hls/20/index.m3u8
生活频道,http://112.27.235.94:8000/hls/19/index.m3u8
新闻,http://112.27.235.94:8000/hls/18/index.m3u8
新闻综合,http://112.27.235.94:8000/hls/21/index.m3u8
影视,http://112.27.235.94:8000/hls/24/index.m3u8
综艺体育,http://112.27.235.94:8000/hls/25/index.m3u8

移动线路,#genre#
CCTV-1,http://39.135.32.24:6610/PLTV/77777777/224/3221225654/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线#http://117.141.162.238:8181/tsfile/live/1107_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/057754/index.m3u8#http://117.72.194.224:6688/zb.php?id=cctv1
CCTV-2,http://39.135.32.24:6610/PLTV/77777777/224/3221225657/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线#http://117.141.162.238:8181/tsfile/live/1098_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/061465/index.m3u8#http://117.72.194.224:6688/zb.php?id=cctv2
CCTV-3,http://39.135.32.24:6610/PLTV/77777777/224/3221225713/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线#http://117.141.162.238:8181/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/830965/index.m3u8#http://117.72.194.224:6688/zb.php?id=cctv3
CCTV-4,http://39.135.32.24:6610/PLTV/77777777/224/3221225761/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线#http://117.141.162.238:8181/tsfile/live/1099_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/143097/index.m3u8#http://117.72.194.224:6688/zb.php?id=cctv4
CCTV-5,http://39.135.32.24:6610/PLTV/77777777/224/3221225660/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线#http://117.141.162.238:8181/tsfile/live/faacts/1130_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/930480/index.m3u8#http://117.72.194.224:6688/zb.php?id=cctv5
CCTV-5+,http://39.135.32.24:6610/PLTV/77777777/224/3221225712/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线#http://117.141.162.238:8181/tsfile/live/faacts/1100_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/470540/index.m3u8
CCTV-6,http://39.135.32.24:6610/PLTV/77777777/224/3221225715/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线#http://117.141.162.238:8181/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/520737/index.m3u8#http://117.72.194.224:6688/zb.php?id=cctv6
CCTV-7,http://39.135.32.24:6610/PLTV/77777777/224/3221225700/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线#http://117.141.162.238:8181/tsfile/live/faacts/1124_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/649185/index.m3u8#http://117.72.194.224:6688/zb.php?id=cctv7
CCTV-8,http://39.135.32.24:6610/PLTV/77777777/224/3221225716/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线#http://117.141.162.238:8181/tsfile/live/1074_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/235836/index.m3u8#http://117.72.194.224:6688/zb.php?id=cctv8
CCTV-9,http://39.135.32.24:6610/PLTV/77777777/224/3221225663/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线#http://117.141.162.238:8181/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/827648/index.m3u8#http://117.72.194.224:6688/zb.php?id=cctv9
CCTV-10,http://39.135.32.24:6610/PLTV/77777777/224/3221225704/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线#http://117.141.162.238:8181/tsfile/live/1101_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/502378/index.m3u8#http://117.72.194.224:6688/zb.php?id=cctv10
CCTV-11,http://39.135.32.24:6610/PLTV/77777777/224/3221225739/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线#http://117.141.162.238:8181/tsfile/live/1089_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/554982/index.m3u8#http://117.72.194.224:6688/zb.php?id=cctv11
CCTV-12,http://39.135.32.24:6610/PLTV/77777777/224/3221225645/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线#http://117.141.162.238:8181/tsfile/live/faacts/1132_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/422642/index.m3u8#http://117.72.194.224:6688/zb.php?id=cctv12
CCTV-13,http://39.135.32.24:6610/PLTV/77777777/224/3221225742/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线#http://117.141.162.238:8181/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/593087/index.m3u8#http://117.72.194.224:6688/zb.php?id=cctv13
CCTV-14,http://39.135.32.24:6610/PLTV/77777777/224/3221225648/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线#http://117.141.162.238:8181/tsfile/live/faacts/1126_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/271607/index.m3u8#http://117.72.194.224:6688/zb.php?id=cctv14
CCTV-15,http://39.135.32.24:6610/PLTV/77777777/224/3221225693/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线#http://117.141.162.238:8181/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/399438/index.m3u8#http://117.72.194.224:6688/zb.php?id=cctv15
CCTV-16,http://39.135.32.24:6610/PLTV/77777777/224/3221225937/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线#http://117.141.162.238:8181/tsfile/live/faacts/1111_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/246232/index.m3u8
CCTV-17,http://39.135.32.24:6610/PLTV/77777777/224/3221225766/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线#http://117.141.162.238:8181/tsfile/live/1115_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/299438/index.m3u8#http://117.72.194.224:6688/zb.php?id=cctv17
中国电影频道,http://117.141.162.238:8181/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://117.141.162.238:8181/tsfile/live/1121_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://117.141.162.238:8181/tsfile/live/1110_1.m3u8?key=txiptv&playlive=1&authid=0
CHC影迷电影,http://117.141.162.238:8181/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://117.141.162.238:8181/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
广东科教,http://117.141.162.238:8181/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
大湾区卫视,http://117.141.162.238:8181/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
广东影视,http://117.141.162.238:8181/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
岭南戏曲,http://117.141.162.238:8181/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://117.141.162.238:8181/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/915618/index.m3u8
广东新闻,http://117.141.162.238:8181/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
广东民生,http://117.141.162.238:8181/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
广东少儿,http://117.141.162.238:8181/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://117.141.162.238:8181/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
深圳都市,http://117.141.162.238:8181/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
深圳电视剧,http://117.141.162.238:8181/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
深圳体育,http://117.141.162.238:8181/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://117.141.162.238:8181/tsfile/live/faacts/1127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://117.141.162.238:8181/tsfile/live/faacts/1105_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/207246/index.m3u8
东方卫视,http://117.141.162.238:8181/tsfile/live/faacts/1102_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/060184/index.m3u8
深圳卫视,http://117.141.162.238:8181/tsfile/live/faacts/1131_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/671133/index.m3u8
浙江卫视,http://117.141.162.238:8181/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0#http://117.141.162.238:8181/tsfile/live/faacts/1129_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/925335/index.m3u8
北京卫视,http://117.141.162.238:8181/tsfile/live/faacts/1104_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/184577/index.m3u8
风云足球,http://117.141.162.238:8181/tsfile/live/1071_1.m3u8?key=txiptv&playlive=1&authid=0
架佳卡通,http://117.141.162.238:8181/tsfile/live/1072_1.m3u8?key=txiptv&playlive=1&authid=0
哈哈炫动,http://117.141.162.238:8181/tsfile/live/1076_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://117.141.162.238:8181/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0#http://117.141.162.238:8181/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/871086/index.m3u8
兵团卫视,http://117.141.162.238:8181/tsfile/live/1093_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://117.141.162.238:8181/tsfile/live/1094_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/897356/index.m3u8
优漫卡通,http://117.141.162.238:8181/tsfile/live/1096_1.m3u8?key=txiptv&playlive=1&authid=0
福建卫视,http://117.141.162.238:8181/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0
边延卫视,http://117.141.162.238:8181/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://117.141.162.238:8181/tsfile/live/faacts/1125_1.m3u8?key=txiptv&playlive=1&authid=0#http://117.141.162.238:8181/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/761325/index.m3u8
黑龙江卫视,http://117.141.162.238:8181/tsfile/live/faacts/1103_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/159311/index.m3u8
广东卫视,http://117.141.162.238:8181/tsfile/live/faacts/1106_1.m3u8?key=txiptv&playlive=1&authid=0#http://xxwx.yoesun.com/xxw/卫视4K.php?id=gd4k
天津卫视,http://117.141.162.238:8181/tsfile/live/faacts/1108_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/025564/index.m3u8
河南文物,http://117.141.162.238:8181/tsfile/live/1109_1.m3u8?key=txiptv&playlive=1&authid=0
新动漫,http://117.141.162.238:8181/tsfile/live/1112_1.m3u8?key=txiptv&playlive=1&authid=0
中华特产,http://117.141.162.238:8181/tsfile/live/1113_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://117.141.162.238:8181/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0#http://42.225.117.174:11199/tsfile/live/0110_1.m3u8#http://223.109.75.19:8000/337572/index.m3u8
先锋乒羽,http://117.141.162.238:8181/tsfile/live/1114_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://117.141.162.238:8181/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/892740/index.m3u8
天元围棋,http://117.141.162.238:8181/tsfile/live/1116_1.m3u8?key=txiptv&playlive=1&authid=0
收藏天下,http://117.141.162.238:8181/tsfile/live/1117_1.m3u8?key=txiptv&playlive=1&authid=0
优优宝贝,http://117.141.162.238:8181/tsfile/live/1118_1.m3u8?key=txiptv&playlive=1&authid=0
武术世界,http://117.141.162.238:8181/tsfile/live/1119_1.m3u8?key=txiptv&playlive=1&authid=0
生态环境,http://117.141.162.238:8181/tsfile/live/1120_1.m3u8?key=txiptv&playlive=1&authid=0
中国教育4,http://117.141.162.238:8181/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://117.141.162.238:8181/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/537964/index.m3u8
精彩影视,http://117.141.162.238:8181/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://117.141.162.238:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
风云剧场,http://117.141.162.238:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
怀旧剧场,http://117.141.162.238:8181/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
广西综艺,http://117.141.162.238:8181/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0#http://117.141.162.238:8181/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://117.141.162.238:8181/tsfile/live/faacts/1128_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.109.75.19:8000/973044/index.m3u8
广西都市,http://117.141.162.238:8181/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
广西新闻,http://117.141.162.238:8181/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
广西影视,http://117.141.162.238:8181/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://223.109.75.19:8000/498543/index.m3u8#http://49.235.65.250:600/neimeng/neimeng.php?id=nmws
厦门卫视,http://223.109.75.19:8000/959611/index.m3u8
宁夏卫视,http://223.109.75.19:8000/061088/index.m3u8
西藏卫视,http://223.109.75.19:8000/425518/index.m3u8#http://49.235.65.250:600/xizang/xizang.php?id=xzws
新疆体育,http://223.109.75.19:8000/191058/index.m3u8
卡酷少儿,http://223.109.75.19:8000/393102/index.m3u8
延边卫视,http://223.109.75.19:8000/915071/index.m3u8
南方卫视,http://223.109.75.19:8000/973487/index.m3u8
金鹰卡通,http://223.109.75.19:8000/868435/index.m3u8#http://223.109.75.19:8000/893184/index.m3u8
山西卫视,http://223.109.75.19:8000/578473/index.m3u8#http://cdn6.bkpcp.top/tl/tuiliu.php?id=sxiws
陕西卫视,http://223.109.75.19:8000/784142/index.m3u8#http://42.225.117.174:11199/tsfile/live/0136_1.m3u8
河北卫视,http://223.109.75.19:8000/419638/index.m3u8
重庆卫视,http://223.109.75.19:8000/645035/index.m3u8
山东卫视,http://223.109.75.19:8000/067624/index.m3u8
河南卫视,http://223.109.75.19:8000/330711/index.m3u8
辽宁卫视,http://223.109.75.19:8000/734558/index.m3u8
四川卫视,http://223.109.75.19:8000/940076/index.m3u8
东南卫视,http://223.109.75.19:8000/035961/index.m3u8
湖北卫视,http://223.109.75.19:8000/778621/index.m3u8
贵州卫视,http://223.109.75.19:8000/742800/index.m3u8
云南卫视,http://223.109.75.19:8000/637208/index.m3u8
青海卫视,http://223.109.75.19:8000/784090/index.m3u8

联通线路,#genre#
CCTV1,http://183.184.49.207:9003/hls/1/index.m3u8#http://221.7.175.154:8445/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://183.184.49.207:9003/hls/2/index.m3u8#http://221.7.175.154:8445/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://183.184.49.207:9003/hls/3/index.m3u8#http://221.7.175.154:8445/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://183.184.49.207:9003/hls/4/index.m3u8#http://171.118.160.38:9003/hls/4/index.m3u8
CCTV5,http://183.184.49.207:9003/hls/5/index.m3u8#http://221.7.175.154:8445/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://183.184.49.207:9003/hls/6/index.m3u8#http://221.7.175.154:8445/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://183.184.49.207:9003/hls/7/index.m3u8#http://221.7.175.154:8445/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://183.184.49.207:9003/hls/8/index.m3u8#http://221.7.175.154:8445/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://183.184.49.207:9003/hls/9/index.m3u8#http://221.7.175.154:8445/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://183.184.49.207:9003/hls/12/index.m3u8#http://171.118.160.38:9003/hls/12/index.m3u8
CCTV12,http://183.184.49.207:9003/hls/13/index.m3u8#http://221.7.175.154:8445/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://183.184.49.207:9003/hls/14/index.m3u8#http://221.7.175.154:8445/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://183.184.49.207:9003/hls/15/index.m3u8#http://221.7.175.154:8445/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://183.184.49.207:9003/hls/16/index.m3u8#http://171.118.160.38:9003/hls/16/index.m3u8
CCTV16,http://183.184.49.207:9003/hls/17/index.m3u8#http://171.118.160.38:9003/hls/17/index.m3u8
山西卫视,http://183.184.49.207:9003/hls/19/index.m3u8#http://221.7.175.154:8445/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://183.184.49.207:9003/hls/20/index.m3u8#http://171.118.160.38:9003/hls/20/index.m3u8
安徽卫视,http://183.184.49.207:9003/hls/21/index.m3u8#http://221.7.175.154:8445/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://183.184.49.207:9003/hls/22/index.m3u8#http://221.7.175.154:8445/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
福建卫视,http://183.184.49.207:9003/hls/24/index.m3u8
甘肃卫视,http://183.184.49.207:9003/hls/25/index.m3u8
广东卫视,http://183.184.49.207:9003/hls/26/index.m3u8#http://221.7.175.154:8445/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://183.184.49.207:9003/hls/27/index.m3u8#http://221.7.175.154:8445/tsfile/live/0113_2.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://183.184.49.207:9003/hls/28/index.m3u8
河北卫视,http://183.184.49.207:9003/hls/29/index.m3u8#http://221.7.175.154:8445/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://183.184.49.207:9003/hls/30/index.m3u8#http://221.7.175.154:8445/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://183.184.49.207:9003/hls/31/index.m3u8#http://221.7.175.154:8445/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://183.184.49.207:9003/hls/32/index.m3u8#http://221.7.175.154:8445/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://183.184.49.207:9003/hls/33/index.m3u8#http://221.7.175.154:8445/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://183.184.49.207:9003/hls/35/index.m3u8#http://171.118.160.38:9003/hls/35/index.m3u8
江西卫视,http://183.184.49.207:9003/hls/36/index.m3u8#http://221.7.175.154:8445/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://183.184.49.207:9003/hls/37/index.m3u8#http://221.7.175.154:8445/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙卫视,http://183.184.49.207:9003/hls/38/index.m3u8
宁夏卫视,http://183.184.49.207:9003/hls/39/index.m3u8
青海卫视,http://183.184.49.207:9003/hls/40/index.m3u8
黄河卫视,http://183.184.49.207:9003/hls/111/index.m3u8
CCTV9,http://221.7.175.154:8445/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://221.7.175.154:8445/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://221.7.175.154:8445/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文,http://221.7.175.154:8445/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0$广西/北海/联通
凤凰资讯,http://221.7.175.154:8445/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰影视,http://221.7.175.154:8445/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$浙江官方  
深圳卫视,http://221.7.175.154:8445/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://171.118.160.38:9003/hls/23/index.m3u8
重温经典,http://221.7.175.154:8445/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://221.7.175.154:8445/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://221.7.175.154:8445/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://221.7.175.154:8445/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://221.7.175.154:8445/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
兵团卫视,http://221.7.175.154:8445/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷卡通,http://221.7.175.154:8445/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://221.7.175.154:8445/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://221.7.175.154:8445/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0

电信线路,#genre#
CCTV1,http://www.lanyue168.cn:61201/udp/239.1.1.7:8007#http://dxf.us.kg:61201/udp/239.1.1.7:8007#http://lanyue168.cn:61201/udp/239.1.1.7:8007#http://89922050.xyz:61201/udp/239.1.1.7:8007
CCTV2,http://www.lanyue168.cn:61201/udp/239.1.1.8:8008#http://dxf.us.kg:61201/udp/239.1.1.8:8008#http://lanyue168.cn:61201/udp/239.1.1.8:8008#http://89922050.xyz:61201/udp/239.1.1.8:8008
CCTV3,http://www.lanyue168.cn:61201/udp/239.1.1.9:8009#http://dxf.us.kg:61201/udp/239.1.1.9:8009#http://lanyue168.cn:61201/udp/239.1.1.9:8009#http://89922050.xyz:61201/udp/239.1.1.9:8009
CCTV4,http://www.lanyue168.cn:61201/udp/239.1.1.10:8010#http://dxf.us.kg:61201/udp/239.1.1.10:8010#http://lanyue168.cn:61201/udp/239.1.1.10:8010#http://89922050.xyz:61201/udp/239.1.1.10:8010
CCTV5,http://www.lanyue168.cn:61201/udp/239.1.1.11:8011#http://dxf.us.kg:61201/udp/239.1.1.11:8011#http://lanyue168.cn:61201/udp/239.1.1.11:8011#http://89922050.xyz:61201/udp/239.1.1.11:8011
CCTV5+,http://dxf.us.kg:61201/udp/239.1.1.12:8012#http://lanyue168.cn:61201/udp/239.1.1.12:8012#http://www.lanyue168.cn:61201/udp/239.1.1.12:8012#http://89922050.xyz:61201/udp/239.1.1.12:8012
CCTV6,http://lanyue168.cn:61201/udp/239.1.1.13:8013#http://dxf.us.kg:61201/udp/239.1.1.13:8013#http://www.lanyue168.cn:61201/udp/239.1.1.13:8013#http://89922050.xyz:61201/udp/239.1.1.13:8013
CCTV7,http://89922050.xyz:61201/udp/239.1.1.14:8014#http://www.lanyue168.cn:61201/udp/239.1.1.14:8014#http://dxf.us.kg:61201/udp/239.1.1.14:8014#http://lanyue168.cn:61201/udp/239.1.1.14:8014
CCTV8,http://www.lanyue168.cn:61201/udp/239.1.1.15:8015#http://dxf.us.kg:61201/udp/239.1.1.15:8015#http://89922050.xyz:61201/udp/239.1.1.15:8015#http://lanyue168.cn:61201/udp/239.1.1.15:8015
CCTV9,http://dxf.us.kg:61201/udp/239.1.1.16:8016#http://lanyue168.cn:61201/udp/239.1.1.16:8016#http://www.lanyue168.cn:61201/udp/239.1.1.16:8016#http://89922050.xyz:61201/udp/239.1.1.16:8016
CCTV10,http://www.lanyue168.cn:61201/udp/239.1.1.17:8017#http://dxf.us.kg:61201/udp/239.1.1.17:8017#http://lanyue168.cn:61201/udp/239.1.1.17:8017#http://89922050.xyz:61201/udp/239.1.1.17:8017
CCTV11,http://89922050.xyz:61201/udp/239.1.1.18:8018#http://dxf.us.kg:61201/udp/239.1.1.18:8018#http://lanyue168.cn:61201/udp/239.1.1.18:8018#http://www.lanyue168.cn:61201/udp/239.1.1.18:8018
