声明,#genre#
CCTV4中文国际,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=2025102614002979734e78e5044702b0b2b1a0cdca8095&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20251026140029&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=106.13.250.90&SecurityKey=20251026140029&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=c4805dd25cdd5f3b1e680a23369ac61f&ddCalcu=fc14e682c01a509d6d32352cad0d856fe31b
CCTV5体育,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?msisdn=202510261400298ebd2b440ff14825b2c64913064866a7&mdspid=&spid=699004&netType=0&sid=5500516171&pid=2028597139&timestamp=20251026140029&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=106.13.250.90&SecurityKey=20251026140029&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=b72ca8e833bf13e2a5df23acd6de57fc&ddCalcu=cbf7e7225c1ea0d86ed8c3a33b2ff1d35ea2
CCTV5+体育赛事,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5plusnew/1200/index.m3u8?msisdn=202510261400291f159e6193c347afa3aa56115141f6aa&mdspid=&spid=699004&netType=0&sid=5500516288&pid=2028597139&timestamp=20251026140029&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=106.13.250.90&SecurityKey=20251026140029&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=d4c5752d9a36f33330e31c1417a86451&ddCalcu=1d54e4c2651870a5721d491ac3163fe30333
CCTV6电影,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=202510261400308b2d8224431f40138b280648cf211a51&mdspid=&spid=699004&netType=0&sid=5500212872&pid=2028597139&timestamp=20251026140030&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=106.13.250.90&SecurityKey=20251026140030&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=6cf42de0405dc33c2a4eeb381095d61f&ddCalcu=f61ce6f2d445209d0e108430b5edec43a32c
CCTV7国防军事,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/51/index.m3u8?msisdn=202510261400302c81a2dce7af4be7b019ec17fe99f0fa&mdspid=&spid=699004&netType=0&sid=5501083622&pid=2028597139&timestamp=20251026140030&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=106.13.250.90&SecurityKey=20251026140030&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=769e3a0aac354b80f19cbcdaebb0c842&ddCalcu=2746e892ce3030bab0eaaadcc3b5c49b18f0
CCTV8电视剧,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?msisdn=202510261400307348d4d3ee0a49279c6e1604740e580d&mdspid=&spid=699004&netType=0&sid=5500212868&pid=2028597139&timestamp=20251026140030&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=106.13.250.90&SecurityKey=20251026140030&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=8b36182677185249782e30acc615e733&ddCalcu=383be732e645101862c6c7a70138e5228479
CCTV9纪录,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv9hd/51/index.m3u8?msisdn=20251026140030e4608af0a7ac4e43a9331b7dd6f02d65&mdspid=&spid=699004&netType=0&sid=5501083624&pid=2028597139&timestamp=20251026140030&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168140&ParentNodeID=-99&assertID=5501083624&client_ip=106.13.250.90&SecurityKey=20251026140030&promotionId=&mvid=5102910384&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=a70529a84238a87a40a602031369761f&ddCalcu=fa17e602753920693a18340223086aa8074a
CCTV10科教,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?msisdn=2025102614003003065864622c4f3c80ae73d68d2c1cbf&mdspid=&spid=699004&netType=0&sid=5500212874&pid=2028597139&timestamp=20251026140030&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878405&ParentNodeID=-99&assertID=5500212874&client_ip=106.13.250.90&SecurityKey=20251026140030&promotionId=&mvid=5100001696&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=5a3ed9e01c6dc30a93432f8db6f3c9c3&ddCalcu=35cae932ce43d0f96eb0d18cf62d3c43309a
CCTV11戏曲,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv11hd/51/20200103/index.m3u8?msisdn=20251026140030f408cd1d780f4ec58cb6d26d8308d7a3&mdspid=&spid=699004&netType=0&sid=5500988610&pid=2028597139&timestamp=20251026140030&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=667987558&ParentNodeID=-99&assertID=5500988610&client_ip=106.13.250.90&SecurityKey=20251026140030&promotionId=&mvid=5102751362&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=11f7f288e02f7c3a65bd86866b8b31f7&ddCalcu=71f1e1f2377bf082b8686e80628fd7bc536a
CCTV12社会与法,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv12hd/51/index.m3u8?msisdn=202510261400309b4b894f100f4243a7eb4f930cc737d0&mdspid=&spid=699004&netType=0&sid=5501083627&pid=2028597139&timestamp=20251026140030&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168185&ParentNodeID=-99&assertID=5501083627&client_ip=106.13.250.90&SecurityKey=20251026140030&promotionId=&mvid=5102910389&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=96b6ebb521a958fbefd3fced3d3de635&ddCalcu=5936e6b2e63de03bdb35d2e1caf935d8ffeb
CCTV13新闻,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/cctv13/2000/index.m3u8?msisdn=20251026140030d1e226fede3e4801af734bb259acf4c9&mdspid=&spid=699004&netType=0&sid=2202208864&pid=2028597139&timestamp=20251026140030&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807423&ParentNodeID=-99&assertID=2202208864&client_ip=106.13.250.90&SecurityKey=20251026140030&promotionId=&mvid=2202208864&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=1e382872cd10d9dfcee667ea477bdc33&ddCalcu=313eec32d88b20787742aced71606de9edcf
CCTV14少儿,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv14hd/2000/index.m3u8?msisdn=20251026140030bd9fe3ea4f1e4209846b886aae55ed44&mdspid=&spid=699004&netType=0&sid=5500212875&pid=2028597139&timestamp=20251026140030&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878440&ParentNodeID=-99&assertID=5500212875&client_ip=106.13.250.90&SecurityKey=20251026140030&promotionId=&mvid=5100001697&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=37df9e50fba98c97ea36bdcfa9f90bd6&ddCalcu=63d7ebd20f4990fe95a0ffcbdab9683ca9e7
CCTV15音乐,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv15hd/51/index.m3u8?msisdn=20251026140030a1c75aed74d54fcc9df2a789efe6f0ec&mdspid=&spid=699004&netType=0&sid=5501083628&pid=2028597139&timestamp=20251026140030&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168223&ParentNodeID=-99&assertID=5501083628&client_ip=106.13.250.90&SecurityKey=20251026140030&promotionId=&mvid=5102910391&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=ba0c6e56f171e2c3e905fc829b40dcfc&ddCalcu=cbfaec02dc30604eb5962f81c7f15e029ce3
CCTV17农业农村,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv17hd/51/index.m3u8?msisdn=20251026140030a038e51babbe4307b04a473d43919911&mdspid=&spid=699004&netType=0&sid=5501083631&pid=2028597139&timestamp=20251026140030&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168256&ParentNodeID=-99&assertID=5501083631&client_ip=106.13.250.90&SecurityKey=20251026140030&promotionId=&mvid=5102910396&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=9104852bf3fa9cc04f5efe058b5147eb&ddCalcu=b9e1e70244318055b28b5f03effae95cfc40
CCTV4欧洲,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4ouhd/51/index.m3u8?msisdn=20251026140030de6e43e8c01641afa5935c95aba43a52&mdspid=&spid=699004&netType=0&sid=2200179315&pid=2028597139&timestamp=20251026140030&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807419&ParentNodeID=-99&assertID=2200179315&client_ip=106.13.250.90&SecurityKey=20251026140030&promotionId=&mvid=2200179315&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=87e4cb3a652d303b139f46801d39a412&ddCalcu=2817e4e2a489c03bd31a0685624df390331b
CCTV4美洲,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4meihd/51/index.m3u8?msisdn=20251026140030024c96af6f004958bc5192d0eb689ab7&mdspid=&spid=699004&netType=0&sid=2200179344&pid=2028597139&timestamp=20251026140030&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807416&ParentNodeID=-99&assertID=2200179344&client_ip=106.13.250.90&SecurityKey=20251026140030&promotionId=&mvid=2200179344&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=6b11631d89fbb905f3718ed947d18ea6&ddCalcu=66abee12818160d3714d98d9ef8b1b7930f5
CGTN外语纪录,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/doc/1000/index.m3u8?msisdn=202510261400300cb44d05307649bb9b9b0d5e0cfa4cb0&mdspid=&spid=699004&netType=0&sid=2200179356&pid=2028597139&timestamp=20251026140030&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006487&ParentNodeID=-99&assertID=2200179356&client_ip=106.13.250.90&SecurityKey=20251026140030&promotionId=&mvid=2200179356&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=4c7144a4f82f9cce213f359556faad91&ddCalcu=149ced72a19a40f46a545f98523ff93c1c2e
CGTN阿拉伯语,http://gslbmgsplive.miguvideo.com/envivo_v/SD/cctv/alabo/1000/index.m3u8?msisdn=20251026140030e26af2b641e94dba8be444e844527347&mdspid=&spid=699004&netType=0&sid=2200179303&pid=2028597139&timestamp=20251026140030&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609154345&ParentNodeID=-99&assertID=2200179303&client_ip=106.13.250.90&SecurityKey=20251026140030&promotionId=&mvid=2200179303&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=d7b3ebed9b01b8b270cff74a00aa8be7&ddCalcu=7de7ebb2839ae0ab0e0da94b70f1fbc80b72
CGTN西班牙语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/xibanya/1000/index.m3u8?msisdn=20251026140030a0b0b0c78bf6429db7f865db4b7c1a4b&mdspid=&spid=699004&netType=0&sid=2200179337&pid=2028597139&timestamp=20251026140030&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006450&ParentNodeID=-99&assertID=2200179337&client_ip=106.13.250.90&SecurityKey=20251026140030&promotionId=&mvid=2200179337&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=2a8b5e1199e9a4f5b03184ef808f302a&ddCalcu=a22ae0823b9f508e0181f9e94e891a340fb5
CGTN法语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/fayu/1000/index.m3u8?msisdn=2025102614003115de102610aa46f8b5a8509a1989662c&mdspid=&spid=699004&netType=0&sid=2200179324&pid=2028597139&timestamp=20251026140031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006476&ParentNodeID=-99&assertID=2200179324&client_ip=106.13.250.90&SecurityKey=20251026140031&promotionId=&mvid=2200179324&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=d1de78b518b2b281387687fd2ca66cf1&ddCalcu=1df1ecd26e9670a8cb25d1f87b826b728831
CGTN俄语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/eyu/1000/index.m3u8?msisdn=202510261400316c1602068a264d22ac9d74cdcf8be324&mdspid=&spid=699004&netType=0&sid=2200179332&pid=2028597139&timestamp=20251026140031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006446&ParentNodeID=-99&assertID=2200179332&client_ip=106.13.250.90&SecurityKey=20251026140031&promotionId=&mvid=2200179332&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=f6dca0a268bb062903090fa35b8f7ad5&ddCalcu=5fd6ead27c9fa080ba5236a8fb0b90063209
老故事,http://gslbmgsplive.miguvideo.com/migu/kailu/cctvlaogushi/50/20231109/index.m3u8?msisdn=20251026140031822f4ebed8634e00844299e42c2a01dc&mdspid=&spid=699004&netType=0&sid=5910022002&pid=2028597139&timestamp=20251026140031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=884121956&ParentNodeID=-99&assertID=5910022002&client_ip=106.13.250.90&SecurityKey=20251026140031&promotionId=&mvid=5900006372&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=e2bb2b809f8417bda734554f0deb5f7b&ddCalcu=be72efb25b4b20ebd800f94f585441377bad
中学生,http://gslbmgsplive.miguvideo.com/migu/kailu/20210415/cctvzhongxuesheng/51/index.m3u8?msisdn=20251026140031f59351ab8c17452b8e7d0d8c5a1a94ac&mdspid=&spid=699004&netType=0&sid=5910019355&pid=2028597139&timestamp=20251026140031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=708869532&ParentNodeID=-99&assertID=5910019355&client_ip=106.13.250.90&SecurityKey=20251026140031&promotionId=&mvid=5900002149&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=74be900cf316c4771501ae216e099d67&ddCalcu=7764edb29e899000e06c1f23e1a61c045717
CGTN,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/cctvnews/1000/index.m3u8?msisdn=2025102614003151dbf134298b4a658ba6d7d08764183c&mdspid=&spid=699004&netType=0&sid=2202196407&pid=2028597139&timestamp=20251026140031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609017205&ParentNodeID=-99&assertID=2202196407&client_ip=106.13.250.90&SecurityKey=20251026140031&promotionId=&mvid=2202196407&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=60dfdb625bfab979771c42c54c580527&ddCalcu=7620e5d20f98d05bc64255cb2f4acb197779
体育,#genre#
五环传奇,http://gslbmgsplive.miguvideo.com/wd_r2/virtuallive/5102010211/150/index.m3u8?msisdn=20251026140031fa0e189fabfa4703bc968084743419fc&mdspid=&spid=800033&netType=0&sid=5500462658&pid=2028597139&timestamp=20251026140031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=707671890&ParentNodeID=-99&assertID=5500462658&client_ip=106.13.250.90&SecurityKey=20251026140031&promotionId=&mvid=5102010211&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=04c04c698b2a7aea0970beedde329fb6&ddCalcu=60b4efc29072403ce6d9d8ebe2ba077a9e0a
赛事最经典,http://gslbmgsplive.miguvideo.com/migu/kailu/saishijingdian/51/20250514/index.m3u8?msisdn=20251026140031e1e52999d0494547b53762a9652fc362&mdspid=&spid=699004&netType=0&sid=5500592947&pid=2028597139&timestamp=20251026140031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=646596895&ParentNodeID=-99&assertID=5500592947&client_ip=106.13.250.90&SecurityKey=20251026140031&promotionId=&mvid=5101034296&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=d7d34f9d134252f8db84695b50703935&ddCalcu=5d37e9d23360407f095db15394624582bfd8
掼蛋精英赛,http://gslbmgsplive.miguvideo.com/wd_r4/virtuallive/5101059662/150/index.m3u8?msisdn=20251026140031e3dcdce4f1664778a3c2e4eb941f559c&mdspid=&spid=800033&netType=0&sid=5500341085&pid=2028597139&timestamp=20251026140031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631354620&ParentNodeID=-99&assertID=5500341085&client_ip=106.13.250.90&SecurityKey=20251026140031&promotionId=&mvid=5101059662&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=18a3a8748cf2ba0fe44313ee366c2860&ddCalcu=0168e8a2231ca0686734e8ec3f123b4a40ef
体坛名栏汇,http://gslbmgsplive.miguvideo.com/migu/kailu/titanminglan/51/20250514/index.m3u8?msisdn=202510261400313e36bb9aba70493bb3a8defc3987ca84&mdspid=&spid=699004&netType=0&sid=5500315687&pid=2028597139&timestamp=20251026140031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=629943305&ParentNodeID=-99&assertID=5500315687&client_ip=106.13.250.90&SecurityKey=20251026140031&promotionId=&mvid=5101034219&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=f184a300e5e31e58c35245bc9dcad768&ddCalcu=8f61e782d49aa0c3d090ceb55e43215e35c8
四海钓鱼,http://gslbmgsplive.miguvideo.com/wd_r4/peoplecn/shdiaoyu/1200/index.m3u8?msisdn=20251026140032425efe7a1b4f4227957b2bf3dd8b47f5&mdspid=&spid=600697&netType=0&sid=5910022184&pid=2028597139&timestamp=20251026140032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=637444975&ParentNodeID=-99&assertID=5910022184&client_ip=106.13.250.90&SecurityKey=20251026140032&promotionId=&mvid=5100132656&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=1553241cadaccff076c1fa81c8707d77&ddCalcu=7175ed527370207481cc1a8daafc1ccf6f70
咪咕24小时体育台,http://gslbmgsplive.miguvideo.com/wd_r2/virtuallive/tysy201903/75/index.m3u8?msisdn=2025102614003231a4007ac28040fbb272d95b32a27d59&mdspid=&spid=800033&netType=0&sid=5500751211&pid=2028597139&timestamp=20251026140032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=654102378&ParentNodeID=-99&assertID=5500751211&client_ip=106.13.250.90&SecurityKey=20251026140032&promotionId=&mvid=5102223687&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=0441a6346713f27edae76f579b619e79&ddCalcu=9074ee429141a066b3947657f1637fe2a7de
陕西体育休闲频道,http://gslbmgsplive.miguvideo.com/migu/kailu/sxtyxx/51/20250804/index.m3u8?msisdn=2025102614003203476c7ec90d4d13ab94fbec9a50c4b9&mdspid=&spid=600572&netType=0&sid=5910022189&pid=2028597139&timestamp=20251026140032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=956909356&ParentNodeID=-99&assertID=5910022189&client_ip=106.13.250.90&SecurityKey=20251026140032&promotionId=&mvid=5900006712&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=642326d05aed10bb6bd40205abcdf973&ddCalcu=3674e922f36d20c6bda0550a2e0d41d0bb6b
24小时城市联赛轮播台,http://gslbmgsplive.miguvideo.com/migu/lunbo/ouzhoubei/51/20240603/index.m3u8?msisdn=20251026140032293a6f1525c84a53bbcb45d04f52a1fc&mdspid=&spid=800033&netType=0&sid=5910022136&pid=2028597139&timestamp=20251026140032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=915512915&ParentNodeID=-99&assertID=5910022136&client_ip=106.13.250.90&SecurityKey=20251026140032&promotionId=&mvid=5900006618&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=3bfc33e800890c266214bc599af51a94&ddCalcu=439beaf21c5530f3ae989050c8b9401c2266
卫视,#genre#
东方卫视,http://gslbmgsplive.miguvideo.com/wd_r4/dfl/dongfangwshd/1200/index.m3u8?msisdn=2025102614003278f5359b1c624992ab7ffc6fd0f26c9e&mdspid=&spid=600697&netType=0&sid=5910022185&pid=2028597139&timestamp=20251026140032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=651632648&ParentNodeID=-99&assertID=5910022185&client_ip=106.13.250.90&SecurityKey=20251026140032&promotionId=&mvid=5100043384&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=67fc60f7b5f90f14dbeeec34383fab5c&ddCalcu=c657ebf2ac1f60308f374b35cfe9e0efb1d4
江苏卫视,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/jiangsuhd/1200/index.m3u8?msisdn=20251026140032995c11b85aa84e23b66bcb5103ec9905&mdspid=&spid=699067&netType=0&sid=5500199408&pid=2028597139&timestamp=20251026140032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=623899368&ParentNodeID=-99&assertID=5500199408&client_ip=106.13.250.90&SecurityKey=20251026140032&promotionId=&mvid=5100156802&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=85b3f2d8b674d383027243dc983f7b15&ddCalcu=5815ebb2733ff0328d98cbd637442d732803
