太极☯直播经典电视公告,#genre#
香港卫视频道,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8
香港卫视台,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
香港佛陀,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
唯心电视,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/playlist.m3u8
生命电视,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
美亚电视C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
TAIWANPlus,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8
RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
RTHK35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
半岛新闻,https://live-hls-web-aje.getaj.net/AJE/01.m3u8
海峡两岸,http://hls.cntv.myhwcdn.cn/asp/hls/1200/0303000a/3/default/93dafada4e35457788319f02f5063529/1200.m3u8
Pet,https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg01076-lightningintern-petclub-samsungnz/playlist.m3u8
1989香港小姐竞选,http://jsmov2.a.yximgs.com/bs3/video-hls/5259922993058236574_hlsb.m3u8
法国时尚,https://fashs043.cloudycdn.services/scte/africa/playlist.m3u8
時尚台FTV,http://80.94.54.42/fashiontv/stream/playlist.m3u8
法国时尚4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8

太极☯直播河对面,#genre#

民视,rtmp://f13h.mine.nu/sat/tv051
台视,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
东森超视,rtmp://f13h.mine.nu/sat/tv331
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741
TVBS新闻,rtmp://f13h.mine.nu/sat/tv551
东森财经新闻,rtmp://f13h.mine.nu/sat/tv571
ELTA体育1,rtmp://f13h.mine.nu/sat/md051
ELTA体育2,rtmp://f13h.mine.nu/sat/md041
TVBS欢乐,rtmp://f13h.mine.nu/sat/tv421
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
中华小家,http://61.221.215.25:8800/hls/40/index.m3u8
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
49号频道,http://61.221.215.25:8800/hls/49/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
TVBS,http://61.221.215.25:8800/hls/9/index.m3u8
nhk,http://61.221.215.25:8800/hls/51/index.m3u8
D-box,http://61.221.215.25:8800/hls/54/index.m3u8
LISTEN,http://61.221.215.25:8800/hls/58/index.m3u8
人间卫視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
台湾番薯台,https://epg.pw/stream/51cb56342f39e6110b315b4d3c3391ef7b96e4b8cb91bd1e0670393a6da2755f.m3u8
大爱1,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱2,https://epg.pw/stream/2b383d639b6b2eade22f2d085141a38ae48a98f24b8a06f485e23f7211bbf909.m3u8
澳门賽馬,https://live.mastvnet.com/lsdream/zT65oep/1500/live.m3u8

太极☯直播央视卫视咪咕①,#genre#

CCTV-1综合,http://8.146.211.219:9387/live_tv?pid=375af69d10b75ed47d71c184acfccb4a
CCTV-2财经,http://8.146.211.219:9387/live_tv?pid=9748481b3aa66a8e9e19f81af1999caa
CCTV-3综艺,http://8.146.211.219:9387/live_tv?pid=3e44e8aca97f1eb98d8785209a955e19
CCTV-4中文国际,http://8.146.211.219:9387/live_tv?pid=349cd50a632bc368cfc7863f2da4d0af
CCTV-4美洲,http://8.146.211.219:9387/live_tv?pid=84d1e174392d0ca6da0e1f3aef5df088
CCTV-4欧洲,http://8.146.211.219:9387/live_tv?pid=a7ce4cdf72fd456d6c8f03736db74db8
CCTV-5体育,http://8.146.211.219:9387/live_tv?pid=3f2dc5a5e14682109ae08ab0f8f10cbc
CCTV-5+体育赛事,http://8.146.211.219:9387/live_tv?pid=d199f3bfe2df0626d8810cddf758292a
CCTV-6电影,http://8.146.211.219:9387/live_tv?pid=9104bb583a2e6c84913f92ded7cd92ff
CCTV-7国防军事,http://8.146.211.219:9387/live_tv?pid=928de1eb1be341c91f7327358dc8a00b
CCTV-8电视剧,http://8.146.211.219:9387/live_tv?pid=52926546113436c92ec6ce37a0f8ef01
CCTV-9纪录,http://8.146.211.219:9387/live_tv?pid=866a1cdbdba14671e8365ac985b75f4c
CCTV-9doc,http://8.146.211.219:9387/live_tv?pid=fd9c7128b3f850e9ef5bc209164e84b7
CCTV-10科教,http://8.146.211.219:9387/live_tv?pid=da174e6a5209cdd715e71ae40ba20558
CCTV-11戏曲,http://8.146.211.219:9387/live_tv?pid=c62db943fccc234c13ec5db43c4e610c
CCTV-12社会与法,http://8.146.211.219:9387/live_tv?pid=c6ea31095202bd02acbd6ac93aab48ee
CCTV-13新闻,http://8.146.211.219:9387/live_tv?pid=1f653f5577f4b87a7fe9bcea90d60dd8
CCTV-14少儿,http://8.146.211.219:9387/live_tv?pid=0a089aa3b2c03bc824630e3d0467618c
CCTV-15音乐,http://8.146.211.219:9387/live_tv?pid=77e49f06c8eac36bf2c72ab359feabec
CCTV-17农业农村,http://8.146.211.219:9387/live_tv?pid=eb30bbe6c4299c6fa89268fa96795d72
CCTV-阿拉伯语,http://8.146.211.219:9387/live_tv?pid=964509bd5d1a28984b07956bf5fb7cbf
CCTV-俄语,http://8.146.211.219:9387/live_tv?pid=dcae76e2b9b3c6c3722b7805a56e93df
CCTV-法语,http://8.146.211.219:9387/live_tv?pid=f611ad5d32fa52640d65cfe1039a2caf
CCTV-西班牙语,http://8.146.211.219:9387/live_tv?pid=2cc0ef2dcb22aa329bff239171a819cd
CGTN,http://8.146.211.219:9387/live_tv?pid=5a9c542f920bfcf5913947a7c3af0849
CHC影迷电影,http://8.146.211.219:9387/live_tv?pid=2a13c3a82a62a916bf6ae9c3d7596079
CHC动作电影,http://8.146.211.219:9387/live_tv?pid=ea39cdfe49466d8e98e355c70cb085a1
CHC家庭影院,http://8.146.211.219:9387/live_tv?pid=053fcf9682c1c7564bdc1836b95a2cfa
高清大片,http://8.146.211.219:9387/live_tv?pid=147c4de039d30bec8e25e9ad080eb032
新片放映厅,http://8.146.211.219:9387/live_tv?pid=43469453186f58a5a4d7e5f4f9d158bd
东方卫视,http://8.146.211.219:9387/live_tv?pid=35feea914a45dff0a52b7cf24a7706ae
海南卫视,http://8.146.211.219:9387/live_tv?pid=b046536dae115dfaaba045c483608b76
湖北卫视,http://8.146.211.219:9387/live_tv?pid=bffbc108cc2b43479259c9ba3581cc04
吉林卫视,http://8.146.211.219:9387/live_tv?pid=fbcd45c1e928fa33f8e55b49863aaeb7
江苏卫视,http://8.146.211.219:9387/live_tv?pid=f12c36d11c6564be6dfd241fbb1d00a6
江西卫视,http://8.146.211.219:9387/live_tv?pid=5d2370ba1836b1a6deffeac6a8c52055
青海卫视,http://8.146.211.219:9387/live_tv?pid=30ac3b8c02470510af8619c1f29049b3
陕西卫视,http://8.146.211.219:9387/live_tv?pid=2df2667f423db4b02c393f55e6a85fef
河南卫视,http://8.146.211.219:9387/live_tv?pid=8b5364be230bfb6127d4616ea1ba72b3
东南卫视,http://8.146.211.219:9387/live_tv?pid=3ac1149986d9e09aa1d8dbc6210869ae
大湾区卫视,http://8.146.211.219:9387/live_tv?pid=84019be66058396b63cf7cdd5a3fcb9c

太极☯直播央视卫视咪咕②,#genre#

CCTV-1,http://goo.bkpcp.top/mg/cctv1
CCTV-2,http://goo.bkpcp.top/mg/cctv2
CCTV-3,http://goo.bkpcp.top/mg/cctv3
CCTV-4,http://goo.bkpcp.top/mg/cctv4
CCTV-5,http://goo.bkpcp.top/mg/cctv5
CCTV-5+,http://goo.bkpcp.top/mg/cctv5p
CCTV-6,http://goo.bkpcp.top/mg/cctv6
CCTV-7,http://goo.bkpcp.top/mg/cctv7
CCTV-8,http://goo.bkpcp.top/mg/cctv8
CCTV-9,http://goo.bkpcp.top/mg/cctv9
CCTV-10,http://goo.bkpcp.top/mg/cctv10
CCTV-11,http://goo.bkpcp.top/mg/cctv11
CCTV-12,http://goo.bkpcp.top/mg/cctv12
CCTV-13,http://goo.bkpcp.top/mg/cctv13
CCTV-14,http://goo.bkpcp.top/mg/cctv14
CCTV-15,http://goo.bkpcp.top/mg/cctv15
CCTV-16,http://home.kuaidi521.com:35455/gaoma/cctv16.m3u8
CCTV-17,http://goo.bkpcp.top/mg/cctv17
辽宁卫视,http://goo.bkpcp.top/mg/lnws
广东卫视,http://goo.bkpcp.top/mg/gdws
浙江卫视,http://goo.bkpcp.top/mg/zjws
河南卫视,http://goo.bkpcp.top/mg/hnws
吉林卫视,http://goo.bkpcp.top/mg/jlws
陕西卫视,http://goo.bkpcp.top/mg/sxws
海峡卫视,http://goo.bkpcp.top/mg/hxws
宁夏卫视,http://goo.bkpcp.top/mg/nxws
云南卫视,http://goo.bkpcp.top/mg/ynws
东方卫视,http://goo.bkpcp.top/mg/dfws
重庆卫视,http://goo.bkpcp.top/mg/cqws
内蒙古卫视,http://goo.bkpcp.top/mg/nmws
甘肃卫视,http://goo.bkpcp.top/mg/gsws
青海卫视,http://goo.bkpcp.top/mg/qhws
山东卫视,http://goo.bkpcp.top/mg/sdws
湖北卫视,http://goo.bkpcp.top/mg/hubws
江西卫视,http://goo.bkpcp.top/mg/jxws
江苏卫视,http://goo.bkpcp.top/mg/jsws
大湾区卫视,http://goo.bkpcp.top/mg/dwqws
广西卫视,http://goo.bkpcp.top/mg/gxws
贵州卫视,http://goo.bkpcp.top/mg/gzws
新疆卫视,http://goo.bkpcp.top/mg/xjws
西藏卫视,http://goo.bkpcp.top/mg/xzws
海南卫视,http://goo.bkpcp.top/mg/hinws

太极☯直播央视卫视频道,#genre#

CCTV-1,http://8.146.211.219:9387/live_tv?pid=d332416db9aeb320a864259227b0aabb
CCTV-2,http://8.146.211.219:9387/live_tv?pid=2792ac78f3c6e5ff0fc13ccce798ef9e
CCTV-3,http://8.146.211.219:9387/live_tv?pid=92683b50183418ecb22b5367708d4b7b
CCTV-4,http://8.146.211.219:9387/live_tv?pid=706902653a7b4ba59e0e6ae62e40e9f0
CCTV-5,http://8.146.211.219:9387/live_tv?pid=2744ede0cba8db0c3b812442b6004976
CCTV-5+,http://8.146.211.219:9387/live_tv?pid=42f98745cf996fc8bc3577ca9b13e468
CCTV-6,http://8.146.211.219:9387/live_tv?pid=149b3b4994355038fabf1bbcc413e509
CCTV-7,http://8.146.211.219:9387/live_tv?pid=c34f966664f44d13e9c569304458e7ee
CCTV-8,http://8.146.211.219:9387/live_tv?pid=633e9b392a3096adf582970be4064bc7
CCTV-9,http://8.146.211.219:9387/live_tv?pid=90b8004bbf43c638b7e59ff9ef11c097
CCTV-10,http://8.146.211.219:9387/live_tv?pid=58dfd7fb627b93fa0f828f66b02c52af
CCTV-11,http://8.146.211.219:9387/live_tv?pid=0a371cbf47f0fb00ad7c9b33125d7b04
CCTV-12,http://8.146.211.219:9387/live_tv?pid=9492619824896f7a45077ec1ad75b15a
CCTV-13,http://8.146.211.219:9387/live_tv?pid=7358d1a62fed2f22b5204fbf3178cdfa
CCTV-14,http://8.146.211.219:9387/live_tv?pid=06e85e8260408565223708741d497885
CCTV-15,http://8.146.211.219:9387/live_tv?pid=5074e9dcb59660210f55e2d833f981ef
CCTV-16,http://8.146.211.219:9387/live_tv?pid=3166fa8d972cf7205455bfaf2b05003b
CCTV-17,http://8.146.211.219:9387/live_tv?pid=d6c36b4bbd9658ccec93110255426ae8
CCTV-4美洲,http://8.146.211.219:9387/live_tv?pid=70568ed8673123d21c86988120f63bc1
CCTV-4欧洲,http://8.146.211.219:9387/live_tv?pid=c1388d7c704659ee0bbbcee95d1c3a6f
江苏卫视,http://8.146.211.219:9387/live_tv?pid=f9fa9ac9c4a951c8b670a893e509a40f
东方卫视,http://8.146.211.219:9387/live_tv?pid=3e4883f677ca1ed3455a44ab0a459dff
广东卫视,http://8.146.211.219:9387/live_tv?pid=ff18c2f2b0471cf160df4e35c95bfbe7
海南卫视,http://8.146.211.219:9387/live_tv?pid=7d2e499e61098a52e254ea03ea1bc030
河南卫视,http://8.146.211.219:9387/live_tv?pid=58ccbec4b1e968360db3c070bbd38ad3
湖北卫视,http://8.146.211.219:9387/live_tv?pid=7f5a75cdfb04985e82e563828f287523
吉林卫视,http://8.146.211.219:9387/live_tv?pid=b02a825a166983e7ebda183de7a554b4
江西卫视,http://8.146.211.219:9387/live_tv?pid=eb798405c29136af8e7dae1fb25a8f3c
青海卫视,http://8.146.211.219:9387/live_tv?pid=8c78539b9108455c071b18b64b2006e5
山西卫视,http://8.146.211.219:9387/live_tv?pid=c154ac6278505609302bdb93ee467bfe
陕西卫视,http://8.146.211.219:9387/live_tv?pid=bbb07df0f2d1e02feb8b88dbbe9beb56
西藏卫视,http://8.146.211.219:9387/live_tv?pid=7e8480faff80fa95d01ca3b16f9ba8c1
新疆卫视,http://8.146.211.219:9387/live_tv?pid=cc0304fe9c58049a35ade6cff1d61c04
兵团卫视,http://8.146.211.219:9387/live_tv?pid=969eaf950b876e02c01bfb17af72bc48
内蒙古卫视,http://8.146.211.219:9387/live_tv?pid=67233c67150ed044f26be946dff0b544
北京卫视,http://8.146.211.219:9387/live_tv?pid=5e22d694ee9b8fd756b8af557fa94910
浙江卫视,http://8.146.211.219:9387/live_tv?pid=e89311d2ebb44c89f5c1f894cb583def
CHC影迷电影,http://8.146.211.219:9387/live_tv?pid=a939b122f4a3202fe17508be8bfe4ead
CHC动作电影,http://8.146.211.219:9387/live_tv?pid=12d4c44e8b83c4be1669988c7e81fc36
CHC家庭影院,http://8.146.211.219:9387/live_tv?pid=da11f1aabc31055fd6017ee1526c16ac

太极☯直播央视卫视极速,#genre#

CCTV-1综合,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV-2财经,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV-3综艺,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV-4中文国际,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV-5体育,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV-5+体育赛事,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV-6电影,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV-7国防军事,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV-8电视剧,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
CCTV-9纪录,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9
CCTV-10科教,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV-11戏曲,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
CCTV-12社会与法,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12
CCTV-13新闻,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13
CCTV-14少儿,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14
CCTV-15音乐,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15
CCTV-16奥运,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16
CCTV-17农业农村,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17
CHC家庭影院,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jtyy
CHC动作电影,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dzdy
CHC影迷电影,http://cdn6.bkpcp.top/tl/tuiliu.php?id=ymdy
浙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws
广东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gdws
江苏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws
东方卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws
陕西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sxws
江西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jxws
湖北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hubws
吉林卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jlws
青海卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=qhws
河南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hnws
东南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dnws
海南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hinws
湖南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws
北京卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws
天津卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=tjws
重庆卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cqws
黑龙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hljws
吉林卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jlws
辽宁卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=lnws
内蒙古卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=nmgws
宁夏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=nxws
甘肃卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gsws
河北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hbws
山西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sxiws
山东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws
安徽卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=ahws
深圳卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws
广西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gxws
贵州卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gzws
四川卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=scws
新疆卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=xjws
西藏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=xzws

太极☯直播央视卫视移动,#genre#

CCTV-1HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226016/.m3u8
CCTV-2HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225588/.m3u8
CCTV-3HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226021/.m3u8
CCTV-4HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226007/.m3u8
CCTV-5HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226019/.m3u8
CCTV-5+HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225603/.m3u8
CCTV-6HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226010/.m3u8
CCTV-7HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225733/.m3u8
CCTV-8HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226008/.m3u8
CCTV-9HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225734/.m3u8
CCTV-10HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225730/.m3u8
CCTV-11HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225597/.m3u8
CCTV-12HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225731/.m3u8
CCTV-13HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226537/.m3u8
CCTV-13HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226571/.m3u8
CCTV-14HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225732/.m3u8
CCTV-15HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225601/.m3u8
CCTV-16HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226100/.m3u8
CCTV-17HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225765/.m3u8
北京卫视HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225728/.m3u8
东方卫视HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225735/.m3u8
天津卫视HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225740/.m3u8
深圳卫视HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225739/.m3u8
重庆卫视HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225618/.m3u8
湖南卫视HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225610/.m3u8
浙江卫视HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225612/.m3u8
广东卫视HD,http://39.134.67.134/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226248/.m3u8
江苏卫视HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225613/.m3u8
安徽卫视HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226391/.m3u8
辽宁卫视HD,http://39.134.67.134/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226546/.m3u8
吉林卫视HD,http://39.134.67.134/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226397/.m3u8
四川卫视HD,http://39.134.67.6/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226338/.m3u8
江西卫视HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226344/.m3u8
广西卫视HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226380/.m3u8
山西卫视HD,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225624/.m3u8
