提示,#genre#
中国|CCTV4 新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XZ9pUH&tk=cl177bPI6scY
中国|CCTV-7 军事农业,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=MYrMGq&tk=cl177bPI6scY
中国|CCTV-8 电视剧 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=IUETj6&tk=cl177bPI6scY
中国|CCTV-9 记录 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=nefTBO&tk=cl177bPI6scY
中国|CCTV-10 科教 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XbXF32&tk=cl177bPI6scY
中国|CCTV-11 戏曲,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=TSE97m&tk=cl177bPI6scY
中国|CCTV-12 社会与法,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=JVk919&tk=cl177bPI6scY
中国|CCTV-13 新闻频道,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=BmnjsF&tk=cl177bPI6scY
中国|CCTV-14 少儿,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=DcUVHa&tk=cl177bPI6scY
中国|CCTV-6,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=RT9gYH&tk=cl177bPI6scY
中国|CCTV-15 音乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Aq3yHJ&tk=cl177bPI6scY
中国|湖南卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=O3L16f&tk=cl177bPI6scY
中国|浙江卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gpEFKx&tk=cl177bPI6scY
中国|江苏卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=pNMR23&tk=cl177bPI6scY
中国|深圳卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=nE8mHr&tk=cl177bPI6scY
中国|福建东南卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=vl1cbr&tk=cl177bPI6scY
中国|广东南方卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=WLoSSE&tk=cl177bPI6scY
中国|广东卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=RbLxC8&tk=cl177bPI6scY
中国|北京卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=mSyNjK&tk=cl177bPI6scY
中国|珠江台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Gv0wGi&tk=cl177bPI6scY
中国|广西卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=O2824a&tk=cl177bPI6scY
中国|湖北卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=lAt6Do&tk=cl177bPI6scY
中国|四川卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=j6Qj0T&tk=cl177bPI6scY
中国|东方卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=sPYb3k&tk=cl177bPI6scY
中国|CGTN,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=cFORu4&tk=cl177bPI6scY
中国|凤凰卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ZWahTm&tk=cl177bPI6scY
中国|凤凰资讯,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=LqZij8&tk=cl177bPI6scY
中国|CCTV-5 体育频道,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uNezqo&tk=cl177bPI6scY
中国|CCTV-5+ 体育赛事 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=R9fPAt&tk=cl177bPI6scY
体育,#genre#
体育频道|Astro Premier League 1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wQaJ62&tk=cl177bPI6scY
体育频道|Astro EPL 1 backup,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=9NjETr&tk=cl177bPI6scY
体育频道|Astro Premier League 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=cvuk2v&tk=cl177bPI6scY
体育频道|Astro Grandstand,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uhOytY&tk=cl177bPI6scY
体育频道|Astro Football,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=I6yYun&tk=cl177bPI6scY
体育频道|Astro Sports Plus,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=zvisld&tk=cl177bPI6scY
体育频道|Astro Badminton 1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=oiKsPP&tk=cl177bPI6scY
体育频道|Astro Badminton 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=br88rG&tk=cl177bPI6scY
体育频道|Astro W-Sports,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=mwLSIj&tk=cl177bPI6scY
体育频道|Supersports 1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=NQW5Wi&tk=cl177bPI6scY
体育频道|Supersports 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=hZagm1&tk=cl177bPI6scY
体育频道|Supersports 3,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=WnIYC3&tk=cl177bPI6scY
体育频道|Supersports 4,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=vstvnE&tk=cl177bPI6scY
体育频道|WWE,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=iXo9Cz&tk=cl177bPI6scY
体育频道|Fight Sports,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=m12qqG&tk=cl177bPI6scY
体育频道|NBA TV,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=u1ZZiN&tk=cl177bPI6scY
体育频道|Astro Cricket,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QIEH0l&tk=cl177bPI6scY
体育频道|Astro Golf,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=sybhwO&tk=cl177bPI6scY
体育频道|Tnt Sports 1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1m5Orb&tk=cl177bPI6scY
体育频道|TNT Sports 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=on2Wdy&tk=cl177bPI6scY
体育频道|TNT Sports 3,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=9XnFy5&tk=cl177bPI6scY
体育频道|TNT Sports 4,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=bKEeHQ&tk=cl177bPI6scY
体育频道|Sony Ten 1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=BEqJDR&tk=cl177bPI6scY
体育频道|Sony Ten 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Qzl5we&tk=cl177bPI6scY
体育频道|Sony Ten 3,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=feko6G&tk=cl177bPI6scY
体育频道|SPOTV 1 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=DT0xxn&tk=cl177bPI6scY
体育频道|SPO TV 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=8nqGKh&tk=cl177bPI6scY
体育频道|Skysports F1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2Gx4aw&tk=cl177bPI6scY
体育频道|Skysports Cricket,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CdHxJs&tk=cl177bPI6scY
体育频道|Skysports EPL,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ceqTX8&tk=cl177bPI6scY
体育频道|Skysports Main Event,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qFameZ&tk=cl177bPI6scY
体育频道|Skysports News,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=HdfkZ8&tk=cl177bPI6scY
体育频道|Skysports Mix,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=E4NnTd&tk=cl177bPI6scY
体育频道|CCTV-5 体育频道,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=OcVYYT&tk=cl177bPI6scY
体育频道|CCTV-5+ 体育赛事 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fvfHMW&tk=cl177bPI6scY
体育频道|爱尔达体育2台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Zca0Bw&tk=cl177bPI6scY
体育频道|爱尔达体育3台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=llkfyN&tk=cl177bPI6scY
体育频道|Rugby Pass TV,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ZeQ3zh&tk=cl177bPI6scY
体育频道|RTM Sports HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Jjy6J9&tk=cl177bPI6scY
体育频道|Arena,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=EZImfn&tk=cl177bPI6scY
体育频道|Arena 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=zU19Ki&tk=cl177bPI6scY
体育频道|BolaArena 1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=I21Pr9&tk=cl177bPI6scY
体育频道|BolaArena 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=eTnLFX&tk=cl177bPI6scY
体育频道|Astro Beinsports 1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=pn5IYC&tk=cl177bPI6scY
体育频道|Astro Beinsports 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=o4Kzs9&tk=cl177bPI6scY
体育频道|Astro Beinsports 3,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dw8UWE&tk=cl177bPI6scY
台湾,#genre#
台湾|TVBS News 新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fnWeKx&tk=cl177bPI6scY
台湾|TVBS 欢乐台 （备份）,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=etESdP&tk=cl177bPI6scY
台湾|TVBS HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=F6FHvm&tk=cl177bPI6scY
台湾|中天新闻 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=U8Kjd5&tk=cl177bPI6scY
台湾|中天娱乐 CTI Entertaiment,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=hGB0xq&tk=cl177bPI6scY
台湾|中天综合 CTI Metro,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=iSAnQq&tk=cl177bPI6scY
台湾|中天亚洲台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Esm1oB&tk=cl177bPI6scY
台湾|台视 TTV HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=vGgVUZ&tk=cl177bPI6scY
台湾|台视新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=askKZw&tk=cl177bPI6scY
台湾|台视综合台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=y6HctT&tk=cl177bPI6scY
台湾|中视 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=LlCmrl&tk=cl177bPI6scY
台湾|中视新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=woTBNi&tk=cl177bPI6scY
台湾|民视 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=nOHP8I&tk=cl177bPI6scY
台湾|民视新闻台 FTV News,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=97eMYJ&tk=cl177bPI6scY
台湾|民视台湾台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1w5f6y&tk=cl177bPI6scY
台湾|华视 CTS HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=oaVhbA&tk=cl177bPI6scY
台湾|公视 CTV,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=EpKE6G&tk=cl177bPI6scY
台湾|八大第一 GTV First,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=90YWqg&tk=cl177bPI6scY
台湾|八大综合 GTV Metro,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0hGww9&tk=cl177bPI6scY
台湾|八大戏剧 GTV Drama,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=VQhE5f&tk=cl177bPI6scY
台湾|八大娱乐 GTV Entertainment,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ehYOr7&tk=cl177bPI6scY
台湾|HBO_HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=yBKoJa&tk=cl177bPI6scY
台湾|HBO_HITS,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=oAAXjC&tk=cl177bPI6scY
台湾|Hollywood Movies,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fLK4HP&tk=cl177bPI6scY
台湾|三立台湾 Sanli Taiwan,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=h6HCL7&tk=cl177bPI6scY
台湾|三立戏剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=9lXbR7&tk=cl177bPI6scY
台湾|三立综合 Sanli Metro,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=omYdK2&tk=cl177bPI6scY
台湾|三立都会台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=BmMMLs&tk=cl177bPI6scY
台湾|东森新闻 ETTV News,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wMASgJ&tk=cl177bPI6scY
台湾|CINEMAX,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=KzY7it&tk=cl177bPI6scY
台湾|东森综合 ETTV Metro,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=hUHVsB&tk=cl177bPI6scY
台湾|东森戏剧 ETTV Drama,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uU65Kh&tk=cl177bPI6scY
台湾|东森超视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1bFlCN&tk=cl177bPI6scY
台湾|东森财经新闻 ETTV Business,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=KLYhrn&tk=cl177bPI6scY
台湾|寰宇财经,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Ayw7Mj&tk=cl177bPI6scY
台湾|寰宇新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=n2Qa5Z&tk=cl177bPI6scY
台湾|公视2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GOtYtB&tk=cl177bPI6scY
台湾|大爱1台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=YcepuF&tk=cl177bPI6scY
台湾|非凡新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=chJe0d&tk=cl177bPI6scY
台湾|龙华戏剧 Lunghua Drama,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=F1GXTQ&tk=cl177bPI6scY
台湾|龙华经典台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=WA4fjt&tk=cl177bPI6scY
台湾|龙华偶像,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=tOofrv&tk=cl177bPI6scY
台湾|AXN Taiwan,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1s80yM&tk=cl177bPI6scY
台湾|靖天国际台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=itrJSu&tk=cl177bPI6scY
台湾|年代新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fC7vDB&tk=cl177bPI6scY
台湾|纬来日本台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=8dUmXv&tk=cl177bPI6scY
台湾|纬来电影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=RMWuuZ&tk=cl177bPI6scY
台湾|纬来体育台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6dKUhv&tk=cl177bPI6scY
台湾|纬来综合台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=EIrj5k&tk=cl177bPI6scY
台湾|纬来育乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ukkqeH&tk=cl177bPI6scY
台湾|纬来精彩,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=yYqDVR&tk=cl177bPI6scY
台湾|好消息 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fDe7Kw&tk=cl177bPI6scY
台湾|大爱2台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2I8MDF&tk=cl177bPI6scY
台湾|亚洲美食,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=HTGS5K&tk=cl177bPI6scY
台湾|美食星球,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=xOgNH9&tk=cl177bPI6scY
台湾|亚洲旅游 TLC Asia,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=56xzTe&tk=cl177bPI6scY
台湾|东森电影 ETTV Movie,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Gd7k6x&tk=cl177bPI6scY
台湾|阿里郎 Arirang,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QFDi1X&tk=cl177bPI6scY
台湾|博斯运动 1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=S4Dksw&tk=cl177bPI6scY
台湾|博斯运动 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dSeSzH&tk=cl177bPI6scY
台湾|博斯高球2 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=g3HKD6&tk=cl177bPI6scY
台湾|博斯网球 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=t2F7ie&tk=cl177bPI6scY
台湾|东森洋片 ETTV Western,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=VBWYyC&tk=cl177bPI6scY
台湾|龙华洋片 Lunghua Western,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=MKagmR&tk=cl177bPI6scY
台湾|博斯无限,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=pu3zcI&tk=cl177bPI6scY
台湾|MTV Live,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gZtgbX&tk=cl177bPI6scY
台湾|龙详时代,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7gvqAM&tk=cl177bPI6scY
台湾|EYETV 旅游,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gO88zt&tk=cl177bPI6scY
台湾|靖天卡通台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=YdJuzg&tk=cl177bPI6scY
台湾|EYETV 戏剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=hzCfoN&tk=cl177bPI6scY
台湾|卫视中文台 Star Movies Chinese,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=yjOavo&tk=cl177bPI6scY
台湾|东森幼幼 Yoyo TV,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=D5iNV8&tk=cl177bPI6scY
台湾|卫视电影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=FHTH9E&tk=cl177bPI6scY
台湾|美亚电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=oWcmvH&tk=cl177bPI6scY
台湾|爱尔达影剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1oGLO4&tk=cl177bPI6scY
台湾|爱尔达综合台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=muMpLx&tk=cl177bPI6scY
台湾|星卫电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=EyazMU&tk=cl177bPI6scY
台湾|爱尔达影剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=KlMYdf&tk=cl177bPI6scY
台湾|AFC 亚洲旅游台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=w28QaP&tk=cl177bPI6scY
台湾|爱尔达体育2台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=B29exG&tk=cl177bPI6scY
台湾|爱尔达体育3台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=AeJomb&tk=cl177bPI6scY
电影,#genre#
电影频道|HBO_HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=vgciN8&tk=cl177bPI6scY
电影频道|HBO_HITS,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=L5Y2dW&tk=cl177bPI6scY
电影频道|Hollywood Movies,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=oMfTZO&tk=cl177bPI6scY
电影频道|CCTV-6,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ff55Rf&tk=cl177bPI6scY
电影频道|CINEMAX,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=yYdwAF&tk=cl177bPI6scY
电影频道|Cinemax,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=IMGnDp&tk=cl177bPI6scY
电影频道|AXN Taiwan,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=3P40bu&tk=cl177bPI6scY
电影频道|大爱2台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=zG2qZu&tk=cl177bPI6scY
电影频道|东森电影 ETTV Movie,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=S27hWC&tk=cl177bPI6scY
电影频道|东森洋片 ETTV Western,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=8ZDTn2&tk=cl177bPI6scY
电影频道|龙华洋片 Lunghua Western,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=lMjHeF&tk=cl177bPI6scY
电影频道|Animax,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7IrHVP&tk=cl177bPI6scY
电影频道|龙详时代,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=mrRayy&tk=cl177bPI6scY
电影频道|Movies Now HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6WZCBS&tk=cl177bPI6scY
电影频道|Star Movies HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=3x4XgR&tk=cl177bPI6scY
电影频道|卫视中文台 Star Movies Chinese,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=x1FYua&tk=cl177bPI6scY
电影频道|HBO Family,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qc0CyW&tk=cl177bPI6scY
电影频道|Hits,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=cqo429&tk=cl177bPI6scY
电影频道|Warner TV,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GfEG7R&tk=cl177bPI6scY
电影频道|卫视电影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=O4KEMI&tk=cl177bPI6scY
电影频道|HBO HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6pYbNx&tk=cl177bPI6scY
电影频道|美亚电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Vn2d2f&tk=cl177bPI6scY
电影频道|HBO Signature,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=lioG1v&tk=cl177bPI6scY
电影频道|HBO Hits,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XzOi6t&tk=cl177bPI6scY
电影频道|星卫电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=to8o5R&tk=cl177bPI6scY
电影频道|SCM,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=aTKvSh&tk=cl177bPI6scY
电影频道|Dreamworks,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=hEK9o7&tk=cl177bPI6scY
电影频道|Thrill,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0MweGy&tk=cl177bPI6scY
电影频道|Hits Movie,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=v7zOtP&tk=cl177bPI6scY
电影频道|One,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=FAJ1Ew&tk=cl177bPI6scY
电影频道|tvN Movie,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uWci1z&tk=cl177bPI6scY
电影频道|Celestial Classic,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=X38Dge&tk=cl177bPI6scY
电影频道|Celestial Movies HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=se8a1j&tk=cl177bPI6scY
电影频道|Axn HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=vVC9dP&tk=cl177bPI6scY
电影频道|Paramount Network,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=k2ymNw&tk=cl177bPI6scY
电影频道|Astrol Kplus,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ay0sSA&tk=cl177bPI6scY
电影频道|Rock Actions,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gQgCD9&tk=cl177bPI6scY
电影频道|Rock Entertainment,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=RrTZKI&tk=cl177bPI6scY
纪录,#genre#
