电影台IPV4,#genre#
经典电影,http://tc-tct.douyucdn2.cn/dyliveflv1a/85894rmovieChow_2000p.m3u8
经典电影台,http://ali.hlspull.yximgs.com/live/asdfg32522.flv
重温经典,http://43.141.130.51/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
重温经典,http://43.141.130.33/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
1905电影-国内,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/MlpEUkJnUHUxeUtqaGwzKzR4azMzZWRIdGJWTCt2S0pwTnZZU0JOR1NKcHRhU0xsSmdIVFBRPT0=/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
1905电影-国内,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/MlpEUkJnUHUxeUtqaGwzKzR4azMzZWRIdGJWTCt2S0pwTnZZU0JOR1NKcGVFU0RRMno2cklnPT0=/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
CHC动作电影,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/Y0o1RTNxK3N2T0FZWTJubEpYQjBxcEpvTHY1WTRYUE94ZnNOTkJPNDEyRktFdnpmcVRQSTB5VFRZYVZKVmg4QTVmcVUwUHpDMVRRPQ==/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
CHC动作电影,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QndXc2ZsVm9uelBaOENxWmNQR0VkUE92c2pEaFJKbGxIcHloTkliWVZDTXFjWlIvR1g3SkJJZkxmTytGY3VEaDVFb0ZhSlJkSjJtMWFhMHFaNXYyREM2/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
CHC动作电影,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/dDQzNWh4UWkrK3ZZMk5xWGRRSUdVT0xUc1ZYdkptWHJMQUhSNDlMUS83Z0YvZFNMWGdjc3UwU2dYUUZTbVZFLzYxbGhnNkxTSWF3PQ==/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
CHC动作电影,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QndXc2ZsVm9uelBaNnNLUXVoT09rU2VwdVVWLzVObURyV2UrUnh1dFVOVFYvdkxvV2MybW9OMk42MU5FUUZpUU5nWWpYRzZVZmFUY3dicFQ4bVp3dFFn/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
CHC动作电影,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/Y0o1RTNxK3N2T0RiYlA0NFRBNC81RFptWEZuSjY3Q3EzZjhadlA4VFJCK0hDMjczbkU2dFNHbG1IZVR5TFg1RnZ2Tjc4U0xOK216WTd3QlBJMGt6NkN1WTNWR1V1V09w/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
CHC动作电影,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/Y0o1RTNxK3N2T0NVa1EwZDRWeWRzd2hFRGovU1o0aGg0NHZsRk4zZFovSW9hUHJTeEtjcm5nQVAxZDRqVkY3Ng==/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
CHC家庭影院,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/Y0o1RTNxK3N2T0FZWTJubEpYQjBxcEpvTHY1WTRYUE94ZnNOTkJPNDEyRktFdnpmcVRQSTA2RHRvNmhUcHhRSHBVMDNvWFhESTRNPQ==/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
CHC家庭影院,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/Y0o1RTNxK3N2T0RiYlA0NFRBNC81RFptWEZuSjY3Q3EzZjhadlA4VFJCOEc3L1lIUDlEQW40Q2NBbmRJeEdCcXVaVU10djFaS25YcndZbVNUdEo5bFJGMEcrZEtPWGZC/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
CHC家庭影院,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/Y0o1RTNxK3N2T0NVa1EwZDRWeWRzd2hFRGovU1o0aGg0NHZsRk4zZFovSWJUaHpnbTlkcU5XMDNWOTc5MmhMRQ==/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
CHC家庭影院,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/dDQzNWh4UWkrK3ZZMk5xWGRRSUdVT0xUc1ZYdkptWHJMQUhSNDlMUS83Z0YvZFNMWGdjc3U4STdIam5SM3dUT2M1ODU0dmVVelhjPQ==/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
CHC家庭影院,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QndXc2ZsVm9uelBaNnNLUXVoT09rU2VwdVVWLzVObURyV2UrUnh1dFVOVFY4V3E4YXVadENZS1JZKzZ0NjJockZDUUw5RS9zTi9MQjNsellDWnhJMGky/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
CHC高清电影,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/Y0o1RTNxK3N2T0NVa1EwZDRWeWRzd2hFRGovU1o0aGg0NHZsRk4zZFovS0NiMUJpM2w3akJ0U0hmaEI3SDlGLw==/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
CHC高清电影,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/Y0o1RTNxK3N2T0FZWTJubEpYQjBxcEpvTHY1WTRYUE94ZnNOTkJPNDEyRktFdnpmcVRQSTAxZjA1L21OVmo4RXREd3VtdUhTZUJRPQ==/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
CHC高清电影,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/dDQzNWh4UWkrK3ZZMk5xWGRRSUdVT0xUc1ZYdkptWHJMQUhSNDlMUS83Z0YvZFNMWGdjc3U2alFsOGNGbVdNV203blRWcktpcjRjPQ==/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
CHC高清电影,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/ZDZPVnBpbFBxNkdVUWxCNy9EWklpNUFHb1NMR3Z1Y3dJZFNQYm9tSmxnY29wTWlLeXVDcGEwSlV2MFptZDVxQ04vWW9zV3hIdDR3PQ==/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
凌儿影院,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QndicEt3bHRhSUZjemhCUFZMZlpoV3JsZWdnYUdFVjJUYkJjSHk4Zm9LMVp3PT0=/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
可乐影院,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QndicEt3bHRhSUZjemhCUFZMZlpoV3JsZWdnYUdFVjJUWWpvNW1VakpVSEF3PT0=/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
吃米滴虫,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QndicEt3bHRhSUZjemhCUFZMZlpoV3JsZWdnYUdFVjJUYTFGeHNwWUxFRlJBPT0=/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
吃米滴虫,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QndicEt3bHRhSUZjemhCUFZMZlpoV3JsZWdnYUdFVjJUWWVSaWd1emlVbkRRPT0=/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
吃米滴虫,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QndicEt3bHRhSUZjemhCUFZMZlpoV3JsZWdnYUdFVjJUWklJbm5zL0JIRXVXdm8wK3RhdkN6M0tXVW9VOGVaNkNmMmNrUXJvbnY0VUVOTmw2a2VPT0F0UGJJRFpVTlNtZThPRi9iNGp4SjBrQT09/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
恐怖惊悚,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QndicEt3bHRhSUZjemhCUFZMZlpoV3JsZWdnYUdFVjJUWmFGeGNhUEpuN1JBPT0=/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
星爷影院,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QndicEt3bHRhSUZjemhCUFZMZlpoV3JsZWdnYUdFVjJUWVQ3bm50ODgvZU9BPT0=/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
经典电影,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/VEEvVEQxMU50SHgxVDQ4ckVMUktsemdrWDNXWjVtNXIyUThGWVYrdWcvZnlsN1NkUmRlMTBEV2lacWxSM2Zvbw==/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
绝版电影,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/TWw5YjFQWGx6NEc1MEhjNXN0bU5NdHp5VlJWZjlyQ3U1b2Q1OTFGeU1zZ25jQWVUTytubnV3PT0=/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
萌小鬼片,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QndicEt3bHRhSUZjemhCUFZMZlpoV3JsZWdnYUdFVjJUWlFKUDN6eW5WdFFnPT0=/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
贝爷影厅,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QndicEt3bHRhSUZjemhCUFZMZlpoV3JsZWdnYUdFVjJUYWpsdFBCdStwNXZBPT0=/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
贝爷影厅,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QndicEt3bHRhSUZjemhCUFZMZlpoV3JsZWdnYUdFVjJUYWpsUWpCZzZpTzB4d25FUDFqOU5CK05HdFlVMmwxb0VtdU9rdzl3blhYMm1mYmZrWnRtazlpemNNK0JvVmpDNFdnOXBMcUNBZm9mQT09/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
邵氏影院,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QndicEt3bHRhSUZjemhCUFZMZlpoV3JsZWdnYUdFVjJUWTIyVjIzQWpHZkFRPT0=/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
华语电视,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/clhJb3JRVE5WRHJMeHV6YW1MSTc2U0F6RkJHSGpGSzBqcTg2b0lGL3I0RW40WlRVdGZtMUppakpsWVI3eDVoRlJMVXN3Zm9lT3YvMmxZLzNkencxcFE9PQ==/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
华语电视,http://iptv.yjxfz.com:80/ShenQiHelper/tv/play/clhJb3JRVE5WRHJMeHV6YW1MSTc2U0F6RkJHSGpGSzBqcTg2b0lGL3I0RW40WlRVdGZtMUpseGNuTy8wN1RkUGt2QWdTMWtBUFVQbHEzcFlRTGFsVGc9PQ==/Bz3feRiR1Wtv4hBGglrQ6w==/txt/2
谍战剧场,http://rt4.orangevip.top:8999/rtp/232.0.0.203:1234
劲爆电影,http://rt4.orangevip.top:8999/rtp/232.0.0.155:1234
华语影院,http://www.pr666.site:4040/udp/239.255.30.193:8231
全球大片,http://www.pr666.site:4040/udp/239.255.30.196:8231$甘肃电信组播
星光影院,http://www.pr666.site:4040/udp/239.255.30.194:8231
华语影院,http://www.pr666.site:4040/udp/239.255.30.193:8231$甘肃电信组播
全球大片,http://www.pr666.site:4040/udp/239.255.30.196:8231
IPTV谍战剧场,http://www.dsmcloud.top:8888/udp/239.81.0.15:4056
谍战剧场,http://www.pr666.site:4040/udp/239.255.30.166:8231$甘肃电信组播
百事通华语影院,http://php.jdshipin.com:8880/bst.php?id=hyyy
百事通星光影院,http://php.jdshipin.com:8880/bst.php?id=xgyy
谍战剧场,http://php.jdshipin.com:8880/bst.php?id=dzjc8m/8000000
星光影院,http://php.jdshipin.com:8880/bst.php?id=xgyy8m/8000000
华语影院,http://php.jdshipin.com:8880/bst.php?id=hyyy8m/8000000
全球大片,http://php.jdshipin.com:8880/bst.php?id=qqdp8m/8000000




